Original,Part of,Translation
Apply this bonus to Knowledge (local),""," Perception"
Arms / Wrists,"",Arme
BONUS,WILL SAVE|BONUS,BONUS
ft,30 ft,m
When adjacent,Paired Opportunists    When adjacent,wenn nebeneinander
2d6 / 3d8,"",2W6 / 3W8
Disable Device,"",Mechanismus ausschalten
Using a ship’s masts and rigging to your advantage,"",make an Acrobatics check to charge or bull rush
Bonus applies to CMD against|grapple,1," overrun or trip"
Check Penalty,"",Rüstungsmalus
d8 / 2d8,"",W8 / 2W8
Spend 10 minutes preparing an elaborate tea ceremony," Inspire Competence"," and 4 rounds per person performing the ceremony"
Damage Reduction,"",Schadenszreduzierung
hp,"",TP
Ignore damage reduction up to,Penetrating Strike    Ignore damage reduction up to 5/—,Ignoriere Schadensreduktion bis
Gain the benefit of Enlarge Person|Costs 2 rounds of rage per round,1," and become exhausted|rather than fatigued when rage ends."
Ignore total cover,1," fire around corners -"
INT,+ INT| per level,IN
Weapon Focus  (,"",Waffenfokus  (
Against humanoids who are not members of barbarian tribes|When dealing with barbarians,1," add this bonus to Diplomacy instead"
Apply this bonus to Craft (calligraphy),""," Diplomacy"
Clothes / Body,"",Körper
MELEE ATTACK,MELEE ATTACK|BONUS,NAHKAMPFANGRIFF
Reroll an Acrobatics,1," Climb or Fly check at"
ATTACK,SINGLE ATTACK,ANGRIFF
die,"",Würfel
While raging,1," deal additional damage:"
against flanking,Back to Back    +2 to AC against flanking,gegen in die Zange nehmen
When casting a spell and attempting a melee attack against the same target,1," choose:"
ANIMAL COMPANION,"",TIERGEFÄHRTE
Bonus Spells,"",Bonuszauber
Charge the same foe as an ally,Coordinated Charge    Charge the same foe as an ally,Auf den selben Gegner stürmen wie ein Verbündeter
Disable Traps,"",Fallen entschärfen
MONEY,"",VERMÖGEN
Move 5ft immediately,""," +2 AC against triggering attackAlternatively"
rks,"",Ränge
EFFECTS,CRITICAL EFFECTS,EFFEKTE
ENERGY,ENERGY|ROLL,ENERGIE
gp,"",GM
INSPIRE COMPETENCE,"",LIED DES ERFOLGS
Bonus applies to saving throws against fear,""," energy drain"
Untrained,"",Ungeübt
Use this DC for Splash reflex saves,2,|Discovery fortitude saves etc.
d10 / 3d6,"",W10  3W6
Exhausting Critical,"",Entkräftet
Racial," Talente"," Feats"
.|The monk is utterly destroyed,""," and can never be revived.|His name can never be spoken or written down again"
ft,"",m
3d8,"",3W8
cp,"",KM
DEFENCE,COMBAT MANEUVRE|DEFENCE,Bewusstlos
Grant a single ally within 30ft: Diamond Body,""," Diamond Soul"
RANGE,CHANNEL|RANGE,REICHWEITE
Select a bonus feat from this list at 3rd," 16th and 19th levels:"," 8th"
Feet,"",Füße
Platinum,"",Platin
+1 hp or skill rank per level,"",+1 TP oder Fertigkeitsrang pro Stufe
-4 initiative,11," 20% miss chance when attacking|-4 on opposed Perception|automatically fail Perception checks for sound"
DC 15|The bird roams and forages on its own,1," and returns at a set time."
When an attack would reduce a target to 0hp or below," used on another target or|target is next reduced to 0hp.",|opt to make the target surrender. Target is reduced to 0hp
BONUS,WILD EMPATHY|BONUS,BONUS
Extra damage dice,Vital Strike    Extra damage dice,Extra Schadenswürfel
Temp,"",Temp.
EVIL DAMAGE,EVIL DAMAGE|BONUS,HÖHERER SCHADEN
SNEAK DAMAGE,SNEAK DAMAGE|BONUS,SCHADEN
• Can see through invisibility,""," concealment and evenmagical darkness| • Cannot see colours"
An unused luck bonus can be maintained |as long as you remain conscious,1," but it |cannot be maintained while performing."
Cannot rage,19," run or charge|while fatigued."
Mass Cure Serious Wounds|Removes the fatigued," kränkelnd und erschüttert auf"," sickened and shaken conditions"
MELEE|ATTACK,"",FERNKAMPF|ANGRIFF
Player,"",Spieler
Apply instant metamagic,1," this ends the performance"
From level 12,1," an Archaeologist can take Advanced Talents"
Morale Bonus,Morale Bonus    Inspire Courage and similar,Moral Bonus
Depending on your race,""," you typically get to pick one favoured class"
REF,"",REFLEX
Allocate these scores to your six stats:|Strength,|Intelligence," Dexterity"
Concealment and no penalty when prone,2,|stand up from prone immediately
FAVOURED ENEMIES,"",Erzfeinde
FORTITUDE DC,MASTER STRIKE|FORTITUDE DC,ZÄHIGKEIT SG
Once per combat: remain at 1 hp,""," reroll to confirm a|critical hit"
Gust Of Wind,1,"  play for 5 rounds to extend for 1 minute"
Threat range,"",Bedrohungsbereich
CLASSES,"",KLASSEN
From level 11,""," when you hit an evil humanoid with an|attack of opportunity"
HEALING,HEALING|HIT POINTS,HEILT
Sleight of Hand,"",Fingerfertigkeit
against charge attacks,1,|attack and damage against charging creatures
COMBAT MANOEUVRE,COMBAT MANOEUVRE|BONUS,KAMPFMANÖVER
DEX,"",GE
Feats,"",Talente
SOOTHING PERFORMANCE,"",ERFRISCHENDER AUFTRITT
Take ally’s result on reflex save,Duck and Cover    Take ally’s result on reflex save,Nutze REF Wurf eines Verbündeten für dich selbst
Use,Weapon Finesse  Use DEX for melee attack,Nutze
Use 5 styles at once,1," enter 5 stances as a free action"
FLAT-FOOTED,FLAT-FOOTED|CMD,AUF DEM FALSCHEN FUSS
No speed penalty on slopes,2," rubble or scree"
to,Shield Wall    +1 / +2 to AC when both using shields,auf die
Armour|Check|Penalty,"",Rüstungs-|malus|
As a swift action once a day,1," create a 20ft-radius aura of|luck allowing yourself and all allies to take the better of two|rolls for attacks and saving throws.|Aura lasts"
Critical Focus,"",Kritischer-Treffer-Fokus
When attempting to pick a pocket," roll a Bluff check to prevent them noticing."," the mark must roll theirPerception check before your Sleight of Hand"
Creature Name,"",Kreaturenname
Extend the duration of a spell,1," without|increase in spell level or casting time."
Gold,"",Gold
Heal,"",Heilkunde
KNOWN SPELLS,"",BEKANNTE ZAUBER
Once per day,2," while fighting a challenge:| • all weapons (except criticals) do minimum damage| • remain conscious and not staggered below 0 hp| • cannot be killed by weapons except by target"
PER DAY,DURATION|PER DAY,PRO TAG
Serious Wounds,"",Schwere Wunden
+2 to Knowledge (nature) and Survival,Nature Sense|+2 to Knowledge (nature) and Survival,+2 auf Wissen (Natur) und Überlebenskunst
BAB,"",GAB
On a successful sneak attack,1," forgo 1d6 damage to attempt todemoralise the foe with an Intimidate check.|Forgo one or more additional d6 to gain"
30ft cone of fire,1," deals 2d6 damage -"
Battle dances only affect the dancer,1," not their allies or enemies"
Channel Positive Energy,"",POSITIVE ENERGIE FOKUSSIEREN
COMBAT MANOEUVRE,COMBAT MANOEUVRE|DEFENCE,KAMPFMANÖVER-
Dodge|Modifier,"",Ausweich-|modifikator
FEATS & SPECIAL ABILITIES,"",TALENTE & BESONDERE FÄHIGKEITEN
Select a bonus feat for your style at 2nd," 14th and 18th levels:"," 6th"
CHANNEL,CHANNEL|RANGE,FOKUSSIEREN
When using Spell Combat and casting defensively,1," you may take|an additional penalty to attack in return for a bonus to casting|Concentration checks."
Bonus to caster level checks,1," Concentration and spell attacks|to allies within 30ft who can see and hear you"
Once per day," skill checks and ability checks"," for one turn gain a bonus to attack"
DC 15 Knowledge (nature) check to discern a creature’s health,1,|manoeuvrability and general behaviour from their tracks.
DIRGE OF DOOM,"",KLAGELIED
Item,"",Gegenstand
Suggest actions to one already fascinated creature,"",Einem bereits faszinierten Gegner ene Handlung vorschlagen
As a full round action make one attack,""," if it successfully deals sneak attack damage (or is in a surprise round)"
Smiting damage bonus applies double for a|successful strike against good outsiders,""," |good dragons"
(DRUID),"",(DRUIDE)
Also affects animals and undead animals,2," at a -4 penalty"
ARMOUR CHECK|PENALTY,ARMOUR CHECK|PENALTY REDUCTION,RÜSTUNGS-|MALUS
REFLEX BONUS,TRAP SENSE|REFLEX BONUS,REFLEX BONUS
Base|Attack|Bonus,"",Grund-|angriffs-|bonus
Knowledge - INT|Profession - WIS,"",Wissen - IN|Beruf - WE
Suggest actions to already fascinated creatures,"",Bereits faszinierten Gegnern ene Handlung vorschlagen
VALUABLE ITEMS,"",WERTGEGENSTÄNDE
ATTACK,ATTACK ACTIONS,ANGRIFF
Cause enemies within 30ft to become shaken,"",Erschüttert Gegner in 9m Reichweite
Climb,"",Klettern
Comedy,"",Komik
DEITY,"",GOTTHEIT
Dorjes," Components"," Power stones"
HUNTER’S BOND,"",BUND DES JÄGERS
less for a light weapon),Off-hand weapon    (2 less for a light weapon),weniger bei leichter Waffe)
MONK,"",Mönch
Salvaging a magical item takes one day,1," and recovers the a value|equal to the cost of the materials that can be used to craft other|items. It cannot be spent."
Low light vision,2," or darkvision 30ft"
Total,"",Gesamt
ARMOUR CLASS,FLAT-FOOTED ARMOUR CLASS,RÜSTUNGSKLASSE
Change a poison’s type between contact,""," ingested"
MALE,"",MÄNNLICH
Ranger bonus feats can be taken without the normal pre-requisites,20,|but only apply when not wearing heavy armour.
Shield AC,"",Schild RK
Damage reduction,2," withstand deep pressure"
Never age,1," spontaneously reincarnate"
CHARGES,"",LADUNGEN
CMB,Coordinated Manoeuvres    +2 to CMB,KMB
INITIATIVE,INITIATIVE BONUS,INITIATIVE
+4 to saves against disease and the abilities|of monstrous humanoids,2,|damage reduction against swarms
Ability Modifier = (Total Ability Score - 10) ÷ 2    (Round down),"",Attributsmodifikator = (Attributswert - 10) ÷ 2    (abrunden)
If taking a level of a favoured class,""," pick a bonus hit point or skill rank.|Some classes may make available other options"
Special properties,"",Besondere Eigenschaften
SUBTOTAL,SUBTOTAL BUFFS & TEAMWORK,ZWISCHENSUMME
Tiring Critical,"",Erschöpft
to,Coordinated Manoeuvres    +2 to CMB,auf den
Cost,"",Kosten
Bards can wear light armour without risking|spell failure.,20,Barden können leichte Rüstungen tragen|ohne Zauberpatzer zu riskieren
Damage is half fire,""," half bludgeoning.|Targets in the area of the barrage may make areflex save for half damange"
On successfully dealing sneak attack damage,1," forgo 1d6 of the damage to make the target sickened."
Max AC DEX,"",Max. GE-Bonus 
REGULAR PAYMENTS,"",REGELMÄSSIGE ZAHLUNGEN
Belts,"",Gürtel
Bluff," Einschüchtern"," Intimidate"
Burrow Speed,"",Grabend
Misc,"",Sonstiges
Use your altered defence as a free action,""," even when not|your turn"
25,2,000 people
BRAVERY,"",TAPFERKEIT
levels higher.|Double the power’s effect radius,1," and its visual intensity.|Anyone touching you during a perfect surge suffers 1d4 fire damage."
2 × (d10 +,2 × (d10 + CON) temporary hit points,2 x (W10 +
Any number per round,Improved Cleaving Finish    Any number per round,unbegrenzt oft pro Runde
For each point regained,1," gain an immediate saving throw|against one disease."
to all saving throws per adjacent ally,Shake It Off    +1 to all saving throws per adjacent ally,auf alle RW probenachbartem Verbündetem
Ability|Modifier,"",Attributs-|modifikator
Apply this bonus to saving throws against|mind-affecting effects,1," including fear effects"
LORE MASTER,"",GELEHRTER
Take 20 Today,"",Heute genutzt
Using perfect surge triggers psychic enervation for 1d4 rounds.|Also lose power points or hp equal to manifester level +10,1," and take 2 points burn to every ability score."
Weapon|Training,"",Waffen-|training
When detected while using Stealth (but not visible),1," make a Bluff check to convince the target that the noise was something innocent.|This does not work twice on the same target."
You get a number of skill ranks from your class,1," to which you add|your intelligence modifier. Allocate these ranks to skills.|Remember that class skill get"
5,2,000 people
ATTACK FEATS,"",ANGRIFFSTALENTE
For a number of rounds equal to the spell level,2,|provoke attacks of opportunity when casting any|spell.
GOOD,"",GUT
KNOWLEDGE,KNOWLEDGE |BONUS,WISSENS-
Use bonus in place of...,"",Nutze Bonus anstatt von...
Domain Spell,"",Domänenzauber
BARD,"",BARDE
Special Ammo,"",Spezialmunition
Weapon Mastery,Weapon Mastery    Increased critical range and always confirm critical hits,Waffenmeisterschaft
AC,"",RK
Spells|Known,"",Zauber|Bekannt
1,2,000 people
100,2,000 people
bonus to AC,1,-2
Barbarian|Level,"",Barbaren-|stufe
Bonus applies to saving throws against Bardic Performance," Schallangriffe und|sprachabhängige Effekte"," sonic|and language-dependent effects."
INITIATIVE,"",INITIATIVE
NATURE BOND,"",BUND MIT DER NATUR
On confirming a critical hit and dealing sneak attackdamage,1," you can make a foe frightened."
TAKE 10,"",10 NEHMEN
When making a full round attack,1," make one extra attack |at your highest attack bonus"
Bonus to Initiative," Perception"," Climb"
Grant,Broken Wing Gambit    Grant +2/+2,Gewähre
Debts,"",SCHULDEN
Druid Level,"",Druidenstufe
Favoured class,"",Bevorzugte Klasse 
Mass Spell Level,"",Massen-Zaubergrad
Other items,"",Andere Gegenstände
Temp CMB,"",Temp. KMB
+4 saves against charms and figments,1," +CHA to Will saves"
Gain the benefit of both trances for up to|5 mins,1," provided you maintain psionic focus"
Properties,"",Eigenschaften
Ranks,"",Ränge
SHIELD,"",SCHILD
Apply this bonus to Bluff,1,|Sleight of Hand and Stealth
CMB,Tandem Trip    When ally is adjacent,KMB
Disable|Device,"",Mechanism.|ausschalten
DIVINE BOND,"",GÖTTLICHER BUND
MERCIES,"",GNADEN
Traits are aspects of your background that can add depth to a character.|Ask your GM if you get to pick any traits,1," and if so how many.|A common allocation is:"
ATTACK,ATTACK|BONUS,ANGRIFF
