Original,Part of,Translation
Level,"",Stufe
Misc,"",Sonstiges
CHA,"",CH
WIS,"",WE
DEX,"",GE
INT,"",IN
ft,"",m
PREPARED SPELLS,"",VORBEREITETE ZAUBER
sq,"",Fe
Domain Spell,"",Domänenzauber
Caster|Level,"",Zauber-|stufe
STR,"",ST
(Round down),"",(abrunden)
AC,"",RK
Spell|Save DC,"",Zauber|Rettungs SG
SPELLS,"",ZAUBER
Spells|per day,"",Zauber|pro Tag
Base|Spells,"",Grund-|zauber
rds,"",Runden
DC,"",SG
Rogue|Level,"",Schurken|Stufe
CON,"",KO
Ranger|Level,"",Waldläufer-|stufe
Barbarian|Level,"",Barbaren-|stufe
SCROLLS,"",SCHRIFTROLLEN
Concentration,"",Konzentration
POTIONS,"",TRÄNKE
Monk|Level,"",Mönch-|stufe
Druid|Level,"",Druiden-|stufe
CHAOTIC,"",CHAOTISCH
EVIL,"",BÖSE
LAWFUL,"",RECHTSCHAFFEN
GOOD,"",GUT
Paladin|Level,"",Paladin-|stufe
lb,"",Pfd.
Attack Bonus,"",ANGRIFFSBONUS
Damage,"",Schaden
Range,"",Reichweite
(Round up),"",(aufrunden)
Critical,"",Kritisch
Bard|Level,"",Barden-|stufe
d6,"",W6
Monk Level,"",Mönchstufe
Bonus Spells,"",Bonuszauber
Spell Save DC = 10 + WIS + Spell Level,"",Zauber Rettungs SG = 10 + WE + Zaubergrad
Type,"",Art
Size|Modifier,"",Größen-|modifikator 
RAGE!,"",KAMPFRAUSCH!
CHARGES,"",LADUNGEN
hp,"",TP
Granted Power,"",Verliehene Fähigkeiten
WANDS,"",ZAUBERSTÄBE
Name,"",Name
Evasion,"",Entrinnen
Uses|per day,"",Einsetzbar|pro Tag
WILD EMPATHY,"",TIEREMPATHIE
Domain,"",Domäne
WIS - 4,"",WE - 4
WIS - 12,"",WE - 12
WIS - 8,"",WE - 8
WILD EMPATHY,WILD EMPATHY|BONUS,TIEREMPATHIE
BONUS,WILD EMPATHY|BONUS,BONUS
Druid Level,"",Druidenstufe
