Original,Part of,Translation
Bonus Spells,Bonus Spells|WIS,Bonus Spreuken
WIS,Bonus Spells|WIS,WIJS
No action this round|Lose,No action this round|Lose DEX bonus to AC; -2 AC,Geen actie deze ronde
DEX,No action this round|Lose DEX bonus to AC; -2 AC,BEH
bonus to,No action this round|Lose DEX bonus to AC; -2 AC,bonus aan
bonus to AC; -2,No action this round|Lose DEX bonus to AC; -2 AC,bonus aan PK; -2
AC,No action this round|Lose DEX bonus to AC; -2 AC,PK
WILD EMPATHY,WILD EMPATHY|BONUS,WILDE EMPATHIE 
BONUS,WILD EMPATHY|BONUS,BONUS
ARCANE SPELL FAILURE,ARCANE SPELL FAILURE THRESHOLD,ARCANE SPREUK MISLUKKING
THRESHOLD,ARCANE SPELL FAILURE THRESHOLD,TREDE
Nature Sense,Nature Sense|+2 to Knowledge (nature) and Survival,Natuur Zintuig
+2 to Knowledge (nature) and Survival,Nature Sense|+2 to Knowledge (nature) and Survival,+2 op Kennis (natuur) en Overleven
TOUCH,TOUCH ARMOUR CLASS,AANRAKEN
ARMOUR CLASS,TOUCH ARMOUR CLASS,PANTSER KLASSE
CONSTITUTION|SCORE,CONSTITUTION|SCORE|BONUS,CONSTITUTIE|SCORE
BONUS,CONSTITUTION|SCORE|BONUS,BONUS
SNEAK DAMAGE,SNEAK DAMAGE|BONUS,SLUIP SCHADE
BONUS,SNEAK DAMAGE|BONUS,BONUS
TRAP SENSE,TRAP SENSE|BONUS,VALSTRIK ZINTUIG
BONUS,TRAP SENSE|BONUS,BONUS
FLAT-FOOTED,FLAT-FOOTED ARMOUR CLASS,PLATTE VOETEN
ARMOUR CLASS,FLAT-FOOTED ARMOUR CLASS,PANTSER KLASSE
Cost:,Cost: 1 pt,Kost:
1 pt,Cost: 1 pt,1 pt
STRENTH|SCORE,STRENTH|SCORE|BONUS,KRACHT|SCORE
BONUS,STRENTH|SCORE|BONUS,BONUS
Wild Shape,Wild Shape|Become any small or medium animal,Wilde Vorm
Become any small or medium animal,Wild Shape|Become any small or medium animal,Word eender welk klein of medium creatuur
+10 to move at full speed,"",+10 om aan volledige snelheid te bewegen
BARBARIAN,"",BARBAAR
+ Level,"",+ Level
(Round up),"",(Naar boven afgerond)
"Begin or switch a bardic performance as a move action,|rather than as a standard action.","","Begin of verander een bard optreden als een bewegingsactie,|in plaats van als een standaard actie."
Bard|Level,"",Bard|Level
ARMOUR CLASS,"",PANTSER KLASSE
Barbarian|Level,"",Barbaar|Level
AC,"",PK
5ft,"",5ft
Advanced Talents,"",Geavanceerde Talenten
2d8,"",2d8
(Round down),"",(Naar beneden afgerond)
Bonus Spells,"",Bonusspreuken
Bonus|Points,"",Bonus|Punten
10ft,"",10ft
Ability|Score,"",Vaardigheid|Score
BAB,"",BAB
1d8,"",1d8
ABILITIES,"",VAARDIGHEDEN
Base|Spells,"",Basis|Spreuken
at half speed,"",aan halve snelheid
Attack Bonus,"",Aanvalsbonus
2d6,"",2d6
Ability|Modifier,"",Vaardigheid|
Ammo,"",Munitie
ATTACKS,"",AANVALLEN
ANIMAL COMPANION,"",HUISDIER
Bard Level,"",Bard Level
Bonus|Feats,"",Bonus|Prestaties
(ROGUE),"",(BOEF)
BONUS FEATS,"",BONUS PRESTATIES
4ft,"",4ft
A successful sneak attack can also deliver one of:| • Sleep for 1d4 hours| • Paralysed for 2d6 rounds| • Slain,"",Een succesvolle sluip aanval kan ook:| • Slaap for 1d4 uren| • Verlamd voor 2d6 ronden| • Geslacht  
Base|Attack Bonus,"",Basis|Aanval Bonus
