Original,Part of,Translation
Bonus Spells,"",Conjuros Adicionales
Disable Device,"",Inutilizar Mecanismo
JACK OF ALL TRADES,"",HOMBRE PARA TODO
PARTY FUNDS,"",FONDOS DEL GRUPO
UNREST,UNREST LEVEL,NIVEL
Damage Reduction 1/,Damage Reduction 1/?,Reducción Daño 1/
PORTRAIT,"",RETRATO
Use,Weapon Finesse  Use DEX for melee attack,Usar
Acrobatics DC = Opponent’s,Acrobatics DC = Opponent’s CMD,CD Acrobacias = Del oponente
Buffs,"",Bufos
Enemies are frightened and flee your performance,"",Enemigos se asustan y huyen de tu canción
Healing,"",Curación
HOSTILE,"",HOSTIL
Knowledge: Aeronautics,"",Saber: Aeronáutica
Magic stone,"",Piedra mágica
Nerfs,"",Nerfeos
SPECIAL MOUNT,"",MONTURA DIVINA
Your starting languages,"",Tus lenguajes iniciales
economy,"Enforce rural justice - If vacant, -4 economy",economía
Good Cleric,"",Clérigo Bueno
Improved Uncanny Dodge,"",Esquiva Asombrosa Mejorada
Judgements|Today,"",Juicios|Hoy
1 ki point,Treat unarmed attacks as magic weapons|Increase range of a thrown object 20ft - 1 ki point,1 punto ki
CMB,"As part of a full attack, make additional|combat manoeuvres at a penalty to CMB.",BMC
COMBAT ABILITIES,"",APTITUDES DE COMBATE
DMG,"",DAÑO
DRUID,"",DRUÍDA
Evolutions,"",EVOLUCIONES
No penalty for using an improvised weapon,"",Sin penal. por usar un arma improvisada
PER DAY,REDIRECTION|PER DAY,AL DÍA
(BARBARIAN),"",(BÁRBARO)
Aberration,"",Aberración
BONUS,SNEAK DAMAGE|BONUS,FURTIVO
Sing,"",Canto
Today,"",Hoy
TRUE JUDGEMENT,"",JUICIO VERDADERO
Components,"",Componentes
Great Cleave,Great Cleave    Any number of extra attacks per round,Gran Hendedura
Hero,"",Héroe
LYCANTHROPIC EMPATHY,"",EMPATÍA LICANTRÓPICA
TOUCH,TOUCH ARMOUR CLASS,CLASE DE ARMADURA
WEAPON TRAINING,"",ENTR. EN ARMAS
A successful strike with smite evil|bypasses damage reduction.,"",Un golpe que acierta con Castigar el Mal|sobrepasa la reducción del daño
Evasion,"",Evasión
Immortality,"",Inmortalidad
or,+2 spell save DC  or  +2 against spell resistance  or  +2 to attack,o
Bards can use all knowledge skills untrained,"",Los bardos pueden usar todas las habilidades de saberes sin que sean entrenadas
CONFUSION,"",CONFUSIÓN
Improved Vital Strike,"",Golpe vital mejorado
Ring,"",Anillo
"UMD,","","UOM,"
(Round down),"",(Redondear abajo)
1d4,1d2 ? 1d3 ? 1d4 ? 1d6 ? 1d8 ? 2d6 ? 3d6 ? 4d6 ? 6d6 ? 8d6 ? 12d6,1d4
Can make knowledge checks untrained.,"",Puede hacer pruebas de Saber sin entrenar.
COMBAT|MANOEUVRE,COMBAT|MANOEUVRE|BONUS,BONUS|MANIOBRA
Disguise,"",Disfrazarse
Ignore damage reduction up to 5/—,Penetrating Strike    Ignore damage reduction up to 5/—,Ignora reducción de daño hasta 5/—
Justice,"",Justicia
WIS,(WIS minimum 1),SAB
3d8,1d10 → 2d8 → 3d8 → 4d8 → 6d8 → 8d8 → 12d8,3d8
FEATS,CURRENT|FEATS,DOTES
Lawful:,Lawful: +2 Economy,Legal:
Saving throw bonus,"",Bonus Tiros Salvación
Your size and size modifier,"",Tu tamaño y modificador de tamaño
CRITICAL,CRITICAL EFFECTS,EFECTOS
TACTICIAN,"",TÁCTICO
Attribute|scores,"",Puntuación|Atributos
Cleave,Cleave    Extra attack if you hit,Hendedura
POWERS,RAGE! POWERS |KNOWN,CONOCIDOS
Affiliation,"",Afiliación
instead of,Use WIS instead of DEX for attacks with a bow,en vez de
PER DAY,RAGE!  DURATION|PER DAY,AL DÍA
Shield Wall,Shield Wall    +1 / +2 to AC when both using shields,Muro de Escudos
Sickened,"",Indispuesto
When flanking,Outflank    When flanking,Cuando flanquea
"When making a full-round attack, get one additional attack in return for a -2 penalty","Rapid Shot    When making a full-round attack, get one additional attack in return for a -2 penalty","Cuando hace un ataque de asalto completo, obtiene un ataque adicional con penal. -2"
Avoid all damage on successful reflex save,"",Evita todo daño con Salv. Ref. Con éxito
Dodge,"",Esquiva
Spring Attack,"",Ataque elástico
Strength,"",Fuerza
2 × (d10 +,"2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save",2 x (d10 +
Campaign,"",Campaña
Cleric Level,"",Nivel de Clérigo
CON,"",CON
Deflection|Modifier,"",Mod de|Desvío
Flaming,"",Flámigera
NATURE BOND,"",VÍNCULO CON NATURALEZA
Round,"",Asalto
CODE OF HONOUR,"",CÓDIGO DE HONOR
Ranger|Level,"",Nivel de|Explorador
(Round up),"",(Redondear arriba)
BONUS,DEVICE|BONUS,BONUS
Heavy Armour Proficiency,"",Competencia con armadura pesada
ZEN ARCHER,"",ARQUERO ZEN
One skill|rank,"",Un rango|habilidad
Strength Score|Penalty:,Strength Score|Penalty: -2,Penal. Punt.|Fuerza
CMD,"This bonus can be applied to each manoeuvre only twice, once|to CMB and once to CMD.",BMC
Light,"",Ligero
POOL,ENHANCEMENT|POOL,RESERVA
Acrobatics skill +4,"",Habilidad Acrobacias +4
CHA - 8,"",CAR - 8
"Diplomacy, Perception","","Diplomacia, Percepción"
Enhancement,"",Mejora
+2bp,"+2 stability, +2bp consumption",+2bp
30ft,Half of Ranger’s|Favoured Enemy|bonus granted to|allies within 30ft,30 pies
Act in surprise round if ally can act,Lookout    Act in surprise round if ally can act,Actuas en asalto sorpresa si el aliado puede
PRESTIGE CLASS,"",CLASE DE PRESTIGIO
SAVING THROWS,"",TIROS DE SALVACIÓN
Trap Sense +1,"",Sentido de las Trampas +1
Charge the same foe as an ally,Coordinated Charge    Charge the same foe as an ally,Carga contra el mismo objetivo que el aliado
Ensures the will of the people,"Ensures the will of the people - If vacant, -2 loyalty +1 unrest at upkeep and no bonus from festivals",Asegura la voluntad del pueblo
BASIC DAMAGE,"",Daño Básico
DIAMOND SOUL,"",ALMA DIAMANTINA
Resist Nature’s Lure,Resist Nature’s Lure|+4 to saves against the fey and plants,Resistir la atracción de la Naturaleza
15ft,"",15ft
A successful strike with smite evilbypasses damage reduction.,"",Un golpe exitoso con castigar el mal sobrepasa la reducción de daño.
