Original,Part of,Translation
FORTITUDE,FORTITUDE SAVE,JET DE
SAVE,FORTITUDE SAVE,VIGUEUR
WILD EMPATHY,WILD EMPATHY|BONUS,BONUS
BONUS,WILD EMPATHY|BONUS,D'EMPATHIE SAUVAGE
INITIATIVE,INITIATIVE|BONUS,INITIATIVE
BONUS,INITIATIVE|BONUS,BONUS
QUIVER,QUIVER DAYS,CARQUOIS
DAYS,QUIVER DAYS,JOURS
TRAP SENSE,TRAP SENSE|BONUS,SENS DES PIEGES
BONUS,TRAP SENSE|BONUS,BONUS
(which grants,(which grants +24 to Acrobatics),(qui donne 
to Acrobatics),(which grants +24 to Acrobatics),à Acrobaties)
STUNNING FIST,STUNNING FIST|TODAY,COUP ETOURDISSANT
TODAY,STUNNING FIST|TODAY,AUJOURD'HUI
WILL,WILL SAVE,VOLONTE
SAVE,WILL SAVE,SAUVEGARDE
KNOWLEDGE,KNOWLEDGE |BONUS,CONNAISSANCE
BONUS,KNOWLEDGE |BONUS,BONUS
Strength Score|Penalty:,Strength Score|Penalty: -2,Score de Force|Pénalité
Cost:,Cost: 1 pt,Coût :
1 pt,Cost: 1 pt,1 pt
CON,+ CON| per level,CON
per level,+ CON| per level,par niveau
FLAT-FOOTED,FLAT-FOOTED|CMD,PRIS AU DEPOURVU
CMD,FLAT-FOOTED|CMD,DMD
Level,25’+ 5’ × (Level ÷ 2),Niveau
Level,400’+ 40’ × Level,Niveau
No action this round|Lose,No action this round|Lose DEX bonus to AC; -2 AC,Pas d'action ce tour-ci|Per le bonus de
DEX,No action this round|Lose DEX bonus to AC; -2 AC,DEX
bonus to,No action this round|Lose DEX bonus to AC; -2 AC,à la
AC,No action this round|Lose DEX bonus to AC; -2 AC,CA
DAMAGE,DAMAGE|BONUS,DOMMAGES
BONUS,DAMAGE|BONUS,BONUS
ATTACK,ATTACK|BONUS,ATTAQUE
BONUS,ATTACK|BONUS,BONUS
Venom Immunity,Venom Immunity|Immune to all poisons,Immunité aux venins
Immune to all poisons,Venom Immunity|Immune to all poisons,Immunité à tous les poisons
Nature Sense,Nature Sense|+2 to Knowledge (nature) and Survival,Instinct naturel
+2 to Knowledge (nature) and Survival,Nature Sense|+2 to Knowledge (nature) and Survival,+2 en Connaissances (Nature) et Survie
RAGE!,RAGE!|Duration,RAGE !
Duration,RAGE!|Duration,DUREE
RAGE!,RAGE! POWERS,POUVOIRS DE
POWERS,RAGE! POWERS,RAGE !
Acrobatics DC = 5 + Opponent’s,Acrobatics DC = 5 + Opponent’s CMD,DD d'Acrobaties = 5 + Adversaire
CMD,Acrobatics DC = 5 + Opponent’s CMD,DMD
Slow Fall,Slow Fall Any distance,Chute ralentie
Any distance,Slow Fall Any distance,Toute distances
DC,DC 25,DD
DC,DC 15,DD
WILL,WILL SAVE DC,VOLONTE
SAVE DC,WILL SAVE DC,JET DE SAUVEGARDE
REFLEX,REFLEX SAVE,RÉFLEXES
SAVE,REFLEX SAVE,SAUVEGARDE
Damage Reduction 3/,Damage Reduction 3/―,Réduction de dégâts 3/
Fast Movement,Fast Movement +60 ft,Déplacement accéléré
+60 ft,Fast Movement +60 ft,+18 m
Trackless Step,"Trackless Step|Leave no trail, unless deliberately",PASSAGE SANS TRACES
"Leave no trail, unless deliberately","Trackless Step|Leave no trail, unless deliberately","Vous ne laissez pas de traces, sauf délibérement"
TALENTS,TALENTS|KNOWN,TALENTS
KNOWN,TALENTS|KNOWN,CONNUS
Level,100’+ 10’ × Level,Niveau
STRENTH|SCORE,STRENTH|SCORE|BONUS,FORCE|SCORE
BONUS,STRENTH|SCORE|BONUS,BONUS
CMD,CMD BONUS,DMD
BONUS,CMD BONUS,BONUS
SPELL,SPELL RESISTANCE,RÉSISTANCE
RESISTANCE,SPELL RESISTANCE,À LA MAGIE
POWER POINTS,POWER POINTS|MAX COST,POINTS DE POUVOIR
MAX COST,POWER POINTS|MAX COST,COUT MAX
SPECIALITY,SPECIALITY SCHOOL,Spécialisation
SCHOOL,SPECIALITY SCHOOL,École 
Slow Fall,Slow Fall 20 ft,Chute ralentie
20 ft,Slow Fall 20 ft,6 m
TRAP SENSE,TRAP SENSE|REFLEX BONUS,SENS DES PIEGES
REFLEX BONUS,TRAP SENSE|REFLEX BONUS,BONUS DE REFLEXES
Fast Movement,Fast Movement +40 ft,Déplacement accéléré
+40 ft,Fast Movement +40 ft,+12 m
WIS,(WIS minimum 1),SAG
minimum 1),(WIS minimum 1),minimum 1)
POWER,POWER|PER DAY,POUVOIR
PER DAY,POWER|PER DAY,PAR JOUR
FASCINATE,FASCINATE|MAX AUDIENCE,FASCINER
MAX AUDIENCE,FASCINATE|MAX AUDIENCE,AUDIENCE MAX
ATTACK,ATTACK BONUS,ATTAQUE
BONUS,ATTACK BONUS,BONUS
Knowledge -,Knowledge - INT|Profession - WIS,Connaissances - 
INT,Knowledge - INT|Profession - WIS,INT
Profession -,Knowledge - INT|Profession - WIS,Profession -
WIS,Knowledge - INT|Profession - WIS,SAG
loyalty,+1 loyalty,loyauté
TAKE 20,TAKE 20 PER DAY,FAIRE 20
PER DAY,TAKE 20 PER DAY,PAR JOUR
WIS,Bonus Spells|WIS,SAG
DAMAGE,DAMAGE|REDUCTION,DOMMAGES
REDUCTION,DAMAGE|REDUCTION,REDUCTION
FLAT-FOOTED,FLAT-FOOTED ARMOUR CLASS,PRIS AU DEPOURVU
ARMOUR CLASS,FLAT-FOOTED ARMOUR CLASS,CLASSE D'ARMURE
SNEAK DAMAGE,SNEAK DAMAGE|BONUS,BONUS DE DÉGÂTS
BONUS,SNEAK DAMAGE|BONUS,D'ATTAQUE SOURNOISE
CONSTITUTION|SCORE,CONSTITUTION|SCORE|BONUS,SCORE de|CONSTITUTION
BONUS,CONSTITUTION|SCORE|BONUS,BONUS
DEFLECTION,DEFLECTION|BONUS,DEFLECTION
BONUS,DEFLECTION|BONUS,BONUS
Treated as an Outsider,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,Considéré comme Planaire
Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,Immunisé à Charme Personne et autres effets qui|ciblent les non-planaires.|Réduction de Dommages
10/chaotic,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,10/chaotique
HEALING,HEALING|HIT POINTS,SOINS
HIT POINTS,HEALING|HIT POINTS,POINTS DE VIE
INT,+ INT| per level,INT
per level,+ INT| per level,par niveau
MIGHTY,MIGHTY RAGE!,MAITRE
RAGE!,MIGHTY RAGE!,RAGE!
Slow Fall,Slow Fall 80 ft,Chute ralentie
80 ft,Slow Fall 80 ft,24 m
STUNNING FIST,STUNNING FIST|PER DAY,COUP ETOURDISSANT
PER DAY,STUNNING FIST|PER DAY,PAR JOUR
ETHERIAL,ETHERIAL|ROUNDS,ETHERE
ROUNDS,ETHERIAL|ROUNDS,TOURS
RAGE!,RAGE!  DURATION|PER DAY,RAGE !
DURATION,RAGE!  DURATION|PER DAY,DUREE
PER DAY,RAGE!  DURATION|PER DAY,PAR JOUR
(which grants,(which grants +16 to Acrobatics),(qui donne
to Acrobatics),(which grants +16 to Acrobatics),à Acrobaties)
Slow Fall,Slow Fall 30 ft,Chute ralentie
30 ft,Slow Fall 30 ft,9 m
Use monk level in place of,Use monk level in place of BAB for calculating CMB,Utiliser votre Niveau de Moine à la Place de
BAB,Use monk level in place of BAB for calculating CMB,BBA
for calculating,Use monk level in place of BAB for calculating CMB,Pour calculer
CMB,Use monk level in place of BAB for calculating CMB,BMO
COMBAT MANOEUVRE,COMBAT MANOEUVRE|BONUS,MANOEUVRE DE COMBAT
BONUS,COMBAT MANOEUVRE|BONUS,BONUS
FOES,FOES|PER DAY,ENNEMIS
PER DAY,FOES|PER DAY,PAR JOUR
(which grants,(which grants +12 to Acrobatics),(qui donne
to Acrobatics),(which grants +12 to Acrobatics),à Acrobaties)
Fast Movement,Fast Movement +50 ft,Déplacement accéléré
+50 ft,Fast Movement +50 ft,+15 m
Cost:,Cost: 2 pt,Coût:
2 pt,Cost: 2 pt,2 pts
Class|Skills,Class|Skills|+3,Classe|Compétences
RAGE!,RAGE! POWERS |KNOWN,POUVOIRS DE
POWERS,RAGE! POWERS |KNOWN,RAGE !
KNOWN,RAGE! POWERS |KNOWN,CONNUS
DURATION,DURATION|PER DAY,DUREE
PER DAY,DURATION|PER DAY,PAR JOUR
Damage Reduction 5/,Damage Reduction 5/―,Réduction de dégâts 5/
Slow Fall,Slow Fall 50 ft,Chute ralentie
50 ft,Slow Fall 50 ft,15 m
WILL,WILL|SAVE DC,VOLONTE
WILL|SAVE,WILL|SAVE DC,VOLONTE|SAUVEGARDE
DC,WILL|SAVE DC,DD
TOUCH,TOUCH ARMOUR CLASS,CONTACT
ARMOUR CLASS,TOUCH ARMOUR CLASS,CLASSE D'ARMURE
Fast Movement,Fast Movement +30 ft,Déplacement accéléré
+30 ft,Fast Movement +30 ft,+9 m
(which grants,(which grants +8 to Acrobatics),(qui donne
to Acrobatics),(which grants +8 to Acrobatics),à Acrobaties)
Slow Fall,Slow Fall 70 ft,Chute ralentie
70 ft,Slow Fall 70 ft,21 m
MAX POWER,MAX POWER|LEVEL,POUVOIR MAX
LEVEL,MAX POWER|LEVEL,NIVEAU
DC,DC 20,DD
COMBAT MANOEUVRE,COMBAT MANOEUVRE|DEFENCE,MANOEUVRES DE COMBAT
DEFENCE,COMBAT MANOEUVRE|DEFENCE,DEFENSE
Damage Reduction 2/,Damage Reduction 2/―,Réduction de dégâts 2/
Fast Movement,Fast Movement +10 ft,Déplacement accéléré
+10 ft,Fast Movement +10 ft,+3 m
FATIGUED,FATIGUED|DURATION,FATIGUE
DURATION,FATIGUED|DURATION,DUREE
GREATER,GREATER RAGE!,SUPERIEURE
RAGE!,GREATER RAGE!,RAGE!
Dexterity Score|Penalty:,Dexterity Score|Penalty: -2,Score de dextérité|Pénalité:
CHANNEL,CHANNEL|RANGE,CANALISATION
RANGE,CHANNEL|RANGE,PORTEE
Slip magically between spaces -,Slip magically between spaces - 2 ki points,Se faufile magiquement dans les espaces -
2 ki points,Slip magically between spaces - 2 ki points,2 points de ki
Heal your own wounds -,Heal your own wounds - 2 ki points,Soigner ses blessures - 
2 ki points,Heal your own wounds - 2 ki points,2 points de Ki
Damage Reduction 1/,Damage Reduction 1/―,Réduction de dégâts 1/
Slow Fall,Slow Fall 90 ft,Chute ralentie
90 ft,Slow Fall 90 ft,27 m
BASE|ATTACK,BASE|ATTACK BONUS,BASE|A L'ATTAQUE
BONUS,BASE|ATTACK BONUS,BONUS
MASTER STRIKE,MASTER STRIKE|FORTITUDE DC,COUP DE MAÎTRE
Tireless,Tireless RAGE!,Sans Fatigue
RAGE!,Tireless RAGE!,RAGE!
EVIL DAMAGE,EVIL DAMAGE|BONUS,BONUS AUX DOMMAGES
BONUS,EVIL DAMAGE|BONUS,CONTRE LE MAL
(which grants,(which grants +20 to Acrobatics),(qui donne 
to Acrobatics),(which grants +20 to Acrobatics),à Acrobaties)
saving throws against enchantment,+2 saving throws against enchantment,jets de sauvegarde contre l'enchantement
