Original,Part of,Translation
BARBARIAN!,URBAN|BARBARIAN!,BARBAR!
spell save DC,+2 spell save DC  or  +2 against spell resistance  or  +2 to attack,RW gegen Zauber (SG)
Mighty,Mighty RAGE!,Mächtiger
RAGE!,Mighty RAGE!,KAMPFRAUSCH!
PER DAY,CHANNEL PER DAY,PRO TAG
+2 to Knowledge (dungeoneering) and Survival,Cavesense|+2 to Knowledge (dungeoneering) and Survival,+2 auf Wissen(Gewölbekunde) und Überlebenskunst
Woodland Stride,Woodland Stride|Move through undergrowth at normal speed|and taking no damage,Unterholz durchqueren
Move through undergrowth at normal speed|and taking no damage,Woodland Stride|Move through undergrowth at normal speed|and taking no damage,Mit voller Bewegungsrate durchs Unterholz bewegen|und dadurch keinen Schaden nehmen
ENERGY,ENERGY|ROLL,ENERGIE
ROLL,ENERGY|ROLL,WURF
Guides higher learning and magic,"Guides higher learning and magic – If vacant, -4 economy"," 	Kümmert sich um Bildung und Magie im Reich"
"– If vacant,","Guides higher learning and magic – If vacant, -4 economy","– Wenn unbesetzt,"
economy,"Guides higher learning and magic – If vacant, -4 economy",Wirtschaft
DURATION,FRIENDLY ATTITUDE|DURATION,DAUER
ARMOUR|CLASS,ARMOUR|CLASS|PENALTY,RÜSTUNGS-|KLASSE
PENALTY,ARMOUR|CLASS|PENALTY,MALUS
POWER POINTS,POWER POINTS|MAX COST,MACHTPUNKTE
MAX COST,POWER POINTS|MAX COST,MAX. KOSTEN
Vital Strike,Vital Strike    Extra damage dice,Konzentrierter Schlag
Extra damage dice,Vital Strike    Extra damage dice,Zusätzlicher Schadenswürfel
Intelligence or Wisdom nerf -,Intelligence or Wisdom nerf -2 points,Intelligenz- oder Weisheits-Nerf -
Shake It Off,Shake It Off    +1 to all saving throws per adjacent ally,Abschütteln
to all saving throws per adjacent ally,Shake It Off    +1 to all saving throws per adjacent ally,auf alle RW pro benachbartem Verbündeten
Use monk level in place of,Use monk level in place of BAB for calculating CMB,Nutze die Stufe des Mönchs anstatt des
BAB,Use monk level in place of BAB for calculating CMB,GAB
for calculating,Use monk level in place of BAB for calculating CMB,zum Ermitteln des
CMB,Use monk level in place of BAB for calculating CMB,KMB
"Become fey, gain damage reduction","Become fey, gain damage reduction 5 /cold iron","Werde ein Feenwesen, erhalte Schadensreduzierung"
5 /cold iron,"Become fey, gain damage reduction 5 /cold iron",5/kaltgeschm. Eisen
CASTER LEVEL,CASTER LEVEL|CHECK BONUS,ZAUBERSTUFEN
Off-hand weapon,Off-hand weapon    (crossbow only),Zweithand
(crossbow only),Off-hand weapon    (crossbow only),(nur Armbrust)
Manyshot,Manyshot    Shoot two arrows simultaneously,Mehrfachschuss
Shoot two arrows simultaneously,Manyshot    Shoot two arrows simultaneously,2 Pfeile gleichzeitig abschiessen
Wild Shape,Wild Shape|Become any small or medium animal or ooze,Tiergestalt
INTIMIDATE,INTIMIDATE|BONUS,EINSCHÜCHTERN
2/day,"Wyrd Mastery 2/day, Bonus Feat",2/Tag
COMBAT MANOEUVRE,COMBAT MANOEUVRE|BONUS,KAMPFMANÖVER
BONUS,COMBAT MANOEUVRE|BONUS,BONUS
Two-weapon Fighting,Two-weapon Fighting   Penalty for wielding two weapons reduced to -4 / -4,Kampf mit zwei Waffen
Penalty for wielding two weapons reduced to -4 / -4,Two-weapon Fighting   Penalty for wielding two weapons reduced to -4 / -4,Mali beim Kampf mit zwei Waffen reduziert auf -4 / -4
TAKE 20,TAKE 20 PER DAY,20 NEHMEN
PER DAY,TAKE 20 PER DAY,PRO TAG
DURATION,DURATION|PER DAY,DAUER
PER DAY,DURATION|PER DAY,PRO TAG
No action this round|Lose,No action this round|Lose DEX bonus to AC; -2 AC,Keine Aktion diese Runde|Verliere
DEX,No action this round|Lose DEX bonus to AC; -2 AC,Ge
bonus to,No action this round|Lose DEX bonus to AC; -2 AC,Bonus zu
AC,No action this round|Lose DEX bonus to AC; -2 AC," RK"
HEXES,HEXES    Claim and abandon hexes,HEXAFELDER
Claim and abandon hexes,HEXES    Claim and abandon hexes,Beanspruche und entwickle Hexafelder
DURATION,CONFUSION|DURATION,DAUER
"economy,","+1 economy, -1 loyalty","auf Wirtschaft,"
loyalty,"+1 economy, -1 loyalty",auf Treue
natural armour,Toughness and +1 natural armour,Natürliche Rüstung
FORTITUDE,FORTITUDE SAVE,ZÄHIGKEIT
SAVE,FORTITUDE SAVE,RETTUNGSWURF
Greater Penetrating Strike,Greater Penetrating Strike    Ignore damage reduction up to    10/—,Mächtiger Durchschlagender Hieb
Ignore damage reduction up to,Greater Penetrating Strike    Ignore damage reduction up to    10/—,Ignoriere Schadensreduzierung bis zu
ft,30 ft,m
PER DAY,DISCERN LIES|PER DAY,PRO TAG
DURATION,SURGING|EUPHORIA|DURATION,DAUER
DURATION,SERENITY|DURATION,DAUER
4d6,Drunken Strength 4d6,4W6
Damage Reduction 1/,Damage Reduction 1/―,Schadensreduzierung 1/
PER DAY,ELEMENTAL FIST|PER DAY,PRO TAG
WILD EMPATHY,WILD EMPATHY|BONUS,TIEREMPATHIE
BONUS,WILD EMPATHY|BONUS,BONUS
Fast Movement,Fast Movement +50 ft,Schnelle Bewegung
+50 ft,Fast Movement +50 ft,+15 m
Natural armour bonus to,Natural armour bonus to AC|(does not stack with natural armour),Bonus der natürlichen Rüstung addieren zu
(does not stack with natural armour),Natural armour bonus to AC|(does not stack with natural armour),(nicht kumulativ mit Natürlicher Rüstung)
Acrobatics DC = 5 + Opponent’s,Acrobatics DC = 5 + Opponent’s CMD,Akrobatik SG = 5 + Gegnerische
CMD,Acrobatics DC = 5 + Opponent’s CMD,KMV
RAGE,"If you fail a will save against a mind-affecting effect,|at the start of your next turn you can try again.|If you succeed, you RAGE and are CONFUSED.",KAMPFRAUSCH
Improved snap shot,Improved snap shot    AoO with a ranged weapon within 15ft,Gelegenheitsschuss
AoO with a ranged weapon within,Improved snap shot    AoO with a ranged weapon within 15ft,Gelegenheitsangriffe mit Fernwaffe innerhalb von
15ft,Improved snap shot    AoO with a ranged weapon within 15ft,"4,5m"
Improved Devastating Strike,Improved Devastating Strike  +2 per die,Verbesserter Vernichtender Schlag
per die,Improved Devastating Strike  +2 per die,pro Würfel
(which grants,(which grants +24 to Acrobatics checks for jumping),(gibt
to Acrobatics checks for jumping),(which grants +24 to Acrobatics checks for jumping),Akrobatik für Sprünge)
Treat unarmed attacks as magic weapons|Increase range of a thrown object,Treat unarmed attacks as magic weapons|Increase range of a thrown object 20ft - 1 ki point,Behandle unbewaffnete Angriffe als magische Waffe|Erhöhe Reichweite eines Wurfobjekts
ARMOUR,ARMOUR CLASS,RÜSTUNGS-
CLASS,ARMOUR CLASS,KLASSE
Hammer the Gap,Hammer the Gap    On a successful attack,Immer feste drauf
On a successful attack,Hammer the Gap    On a successful attack,bei erfolgreichem Angriff
MAX HIT DICE,TO DESTROY CREATURE |MAX HIT DICE,MAX TW
