"File","Count","Complete","Completeness %"
"Character Info - Simple","80","40","50"
"Character Info - simple","80","40","50"
"Inventory without","49","4","8"
"Inventory","55","4","7"
"Character Info","96","40","42"
"Blank Character Info","26","20","77"
"Animal Companion","60","32","53"
"Wild Shape","28","18","64"
"Party Funds","22","0","0"
"Combat - Simple","52","33","63"
"Combat - simple","52","33","63"
"Bard","23","1","4"
"Cleric","22","1","5"
"Paladin","23","3","13"
"Ranger","12","1","8"
"Sorcerer","8","0","0"
"Monk","58","3","5"
"Combat","67","38","57"
"Druid","10","0","0"
"Wizard","9","0","0"
"Spell Book (Dense)","2","1","50"
"Spell Book (Large)","3","1","33"
"Spell Book","3","1","33"
