Original,Part of,Translation
= 1d8 +,= 1d8 + (,= 1d8 +
Craft -,Craft - INT|Perform - CHA,Artigianato - 
INT,Craft - INT|Perform - CHA,INT
Perform -,Craft - INT|Perform - CHA,Intrattenere - 
CHA,Craft - INT|Perform - CHA,CAR
GRAPPLE,GRAPPLE BONUS,BONUS
BONUS,GRAPPLE BONUS,AFFERRARE
JUDGEMENTS,JUDGEMENTS|PER DAY,GIUDIZI
PER DAY,JUDGEMENTS|PER DAY,al GIORNO
SHARE FAVOURED ENEMY,SHARE FAVOURED ENEMY|DURATION,CONDIVIDERE NEMICO PRESCELTO
DURATION,SHARE FAVOURED ENEMY|DURATION,DURATA
Lightning Reload,"Lightning Reload    Reload as a swift action once per round (with Rapid Reload, free action)",Ricarica Fulminea
"Reload as a swift action once per round (with Rapid Reload, free action)","Lightning Reload    Reload as a swift action once per round (with Rapid Reload, free action)",Ricarica come azione veloce 1/round (Con Ricarica Rapida azione gratuita)
-1 hp,"Restore life to -1 hp, within 1 round of death",-1 pf
", within","Restore life to -1 hp, within 1 round of death",", entro"
1 round,"Restore life to -1 hp, within 1 round of death",1 round
Move through undergrowth at normal speed|and taking no damage,Woodland Stride|Move through undergrowth at normal speed|and taking no damage,Muoversi attraverso il sottobosco alla velocità|normale senza subire danni
Cost:,Cost: 1 pt per range increment,Costo:
1 pt per range increment,Cost: 1 pt per range increment,1 punto per ogni incremento di gittata
SAVING,SAVING|THROW DC,CD TIRI
THROW DC,SAVING|THROW DC,SALVEZZA
BANE,BANE|PER DAY,ANATEMA
PER DAY,BANE|PER DAY,al GIORNO
Shake It Off,Shake It Off    +1 to all saving throws per adjacent ally,Scuotere via
to all saving throws per adjacent ally,Shake It Off    +1 to all saving throws per adjacent ally,a tutti i tiri salvezza per ogni alleato adiacente
Improved Back to Back,Improved Back to Back    +2 to ally’s AC,Schiena contro Schiena Migliorato
to ally’s,Improved Back to Back    +2 to ally’s AC,alla CA
AC,Improved Back to Back    +2 to ally’s AC,dell'alleato
Slow Fall,Slow Fall 40 ft,Caduta lenta
40 ft,Slow Fall 40 ft,12 m
Damage Reduction 5/,Damage Reduction 5/―,Riduzione del Danno 5/
ARCANE SPELL FAILURE,ARCANE SPELL FAILURE THRESHOLD,SOGLIA FALLIMENTO
THRESHOLD,ARCANE SPELL FAILURE THRESHOLD,INC. ARCANI
TOUCH,TOUCH AC,CA
AC,TOUCH AC,CONTATTO
BONUS,WILD EMPATHY BONUS,BONUS
Slow Fall,Slow Fall Any distance,Caduta lenta
Any distance,Slow Fall Any distance,qualunque distanza
HEALING POINTS,HEALING POINTS|PER DAY,PUNTI GUARITI
PER DAY,HEALING POINTS|PER DAY,PER GIORNO
BONUS,BONUS|FEATS,BONUS
INITIATIVE,INITIATIVE BONUS,INIZIATIVA
BONUS,INITIATIVE BONUS,BONUS
TOUCH,TOUCH ARMOUR CLASS,CONTATTO
ARMOUR CLASS,TOUCH ARMOUR CLASS,CLASSE ARMATURA
d6,d6 +,d6
FEAT SHARING,FEAT SHARING|DURATION,CONDIVIS. TALENTO
DURATION,FEAT SHARING|DURATION,DURATA
Dexterity Score|Penalty:,Dexterity Score|Penalty: -2,Punteggio di Destrezza|Penalità:
Pistol-whip,"Pistol-whip    Surprise melee attack.  One handed: d6/d4  Two handed: d10/d8Also, CMB to knock prone",Colpo di Calcio
"Surprise melee attack.  One handed: d6/d4  Two handed: d10/d8Also, CMB to knock prone","Pistol-whip    Surprise melee attack.  One handed: d6/d4  Two handed: d10/d8Also, CMB to knock prone","Attacco in mischia a sorpresa. 1 mano: 1d6/d1d4. 2 mani: 1d10/1d8|Se riesce, BMC per buttare a terra"
Precise Strike,Precise Strike    When flanking,Colpo Preciso
When flanking,Precise Strike    When flanking,Durante fiancheggiamento
TALENTS,TALENTS|KNOWN,TALENTI
KNOWN,TALENTS|KNOWN,CONOSCIUTI
ATTACK,ATTACK|PENALTY,ATTACCO
CHANNEL,CHANNEL|PER DAY,INCANALARE
PER DAY,CHANNEL|PER DAY,AL GIORNO
Great Cleave,Great Cleave    Any number of extra attacks per round,Incalzare Potenziato
Any number of extra attacks per round,Great Cleave    Any number of extra attacks per round,Qualsiasi numero di att extra per round
BASE ATTACK,BASE ATTACK BONUS,ATTACCO BASE
BONUS,BASE ATTACK BONUS,BONUS
Improved Two-weapon Fighting,Improved Two-weapon Fighting    Second attack with your off-hand weapon,Combattere con Due Armi Migliorato
Second attack with your off-hand weapon,Improved Two-weapon Fighting    Second attack with your off-hand weapon,Secondo attacco con l'arma secondaria
Improved Devastating Strike,Improved Devastating Strike  +2 per die,Colpo Devastante Migliorato
per die,Improved Devastating Strike  +2 per die,per dado
Allied Spellcaster,Allied Spellcaster    +2 to overcome spell resistance,Incantatore alleato
Chaotic:,Chaotic: +2 Loyalty,Caotico: 
Loyalty,Chaotic: +2 Loyalty,Lealtà
"You get a number of skill ranks from your class, to which you add|your intelligence modifier. Allocate these ranks to skills.|Remember that class skill get","You get a number of skill ranks from your class, to which you add|your intelligence modifier. Allocate these ranks to skills.|Remember that class skill get +3 only if you have at least one rank.","Ottieni un numero di gradi abilità dalla tua classe, ai quali aggiungi|il tuo modificatore di intelligenza. Spendi questi gradi per le abilità.|Ricorda che ottieni il bonus di classe"
only if you have at least one rank.,"You get a number of skill ranks from your class, to which you add|your intelligence modifier. Allocate these ranks to skills.|Remember that class skill get +3 only if you have at least one rank.",solo se hai almeno un grado.
ATTACK,ATTACK|BONUS,ATTACCO
ft,30 ft,m
"economy,","+1 economy, -1 loyalty","Economia, "
loyalty,"+1 economy, -1 loyalty",Lealtà
+10 ft,Speed +10 ft,+3m
Wild Empathy,Wild Empathy|Improve the attitude of an animal,Empatia selvatica
Improve the attitude of an animal,Wild Empathy|Improve the attitude of an animal,Migliora l'atteggiamento di un animale
AURA,AURA|DURATION,AURA
QUIVER,QUIVER DAYS,DURATA
DAYS,QUIVER DAYS,PALMO
"stability,","+4 stability, +8bp consumption","stabilità,"
+8bp,"+4 stability, +8bp consumption",+8 consumo
consumption,"+4 stability, +8bp consumption",bp
3 /day,Spirit form  3 /day; Spirit who walks,3/gg
; Spirit who walks,Spirit form  3 /day; Spirit who walks,; Spirito che cammina
BONUS,TEMP ATTACK|BONUS,BONUS
Paired Opportunists,Paired Opportunists    When adjacent,Doppi Opportunisti
When adjacent,Paired Opportunists    When adjacent,Quando vicini
Cleave,Cleave    Extra attack if you hit,Incalzare
Extra attack if you hit,Cleave    Extra attack if you hit,Attacco extra se si colpisce
Level,400’+ 40’ × Level,Livello
Evil:,Evil: +2 Economy,Malvagio:
Economy,Evil: +2 Economy,Economia
"economy,","+3 economy, -4 loyalty","Economia,"
loyalty,"+3 economy, -4 loyalty",Lealtà
2 ki points,Reflex save to avoid damage - 2 ki points,2 punti ki
Acrobatics DC = Opponent’s,Acrobatics DC = Opponent’s CMD,CD Acrobazia = 
CMD,Acrobatics DC = Opponent’s CMD,DMC Avversario
FEAT SHARING,FEAT SHARING|PER DAY,CONDIVIS. TALENTO
PER DAY,FEAT SHARING|PER DAY,al GIORNO
Fast Movement,Fast Movement +10 ft,Movimento veloce
+10 ft,Fast Movement +10 ft,3 m
ARCANE SPELL FAILURE,ARCANE SPELL FAILURE|THRESHOLD,SOGLIA FALLIMENTO
THRESHOLD,ARCANE SPELL FAILURE|THRESHOLD,INCANTESIMI ARCANI
Slow Fall,Slow Fall 90 ft,Caduta lenta
90 ft,Slow Fall 90 ft,27 m
AURAS,AURAS KNOWN,AURE
Lookout,Lookout    Act in surprise round if ally can act,In Guardia
Act in surprise round if ally can act,Lookout    Act in surprise round if ally can act,Agire in round sorpresa se può un alleato
Bastard Sword,Bastard Sword *,Spada Bastarda
TRAP SENSE,TRAP SENSE|BONUS,PERCEPIRE TRAPPOLE
BONUS,TRAP SENSE|BONUS,BONUS
ENHANCEMENT,CURRENT WEAPON|ENHANCEMENT,POTENZIAMENTO
BASE|ATTACK,BASE|ATTACK|BONUS,BONUS|ATTACCO
BONUS,BASE|ATTACK|BONUS,BASE
2 × (d10 +,"2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save",2 x (d10 +
CON,"2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save",COS
") temporary hit points,|+2 attack, +1 fortitude save","2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save",") pf temporanei,|+2 attacco, +1 TS Tempra"
Duck and Cover,Duck and Cover    Take ally’s result on reflex save,Al Riparo
Take ally’s result on reflex save,Duck and Cover    Take ally’s result on reflex save,Si prende il risultato di un alleato a salvz su riflessi
"stability,","+3 stability, +4bp consumption","stabilità,"
+4bp,"+3 stability, +4bp consumption",+4 consumo
consumption,"+3 stability, +4bp consumption",bp
Improved Feint Partner,"Improved Feint Partner    When ally feints, gain AoO",Finta del Compagno Migliorata
"When ally feints, gain AoO","Improved Feint Partner    When ally feints, gain AoO","Quando un alleato finta, guadagni un AdO"
ETHERIAL,ETHERIAL|ROUNDS,ETEREO
ROUNDS,ETHERIAL|ROUNDS,ROUND
Startling Shot,"Startling Shot    On a miss, target is flat footed till its next turn",Colpo Sorprendente
"On a miss, target is flat footed till its next turn","Startling Shot    On a miss, target is flat footed till its next turn","Sbagliando il tiro, il bersaglio è impreparato fino al suo prossimo turno"
Spell Recall,Spell Recall|Reprepare any spell already cast today,Ricordare Incantesimi
Reprepare any spell already cast today,Spell Recall|Reprepare any spell already cast today,Ricorda un incantesimo già lanciato oggi
BONUS,FLURRY ATTACK BONUS,BONUS
+30 ft,Fast Movement +30 ft,9 m
Off-hand weapon,Off-hand weapon    (2 less for a light weapon),Arma mano-secndria
less for a light weapon),Off-hand weapon    (2 less for a light weapon),meno per un arma leggera)
30 ft / 6 sq,Default range increment|30 ft / 6 sq.,9m / 6q
Weapon Finesse,Weapon Finesse  Use DEX for melee attack,Arma Accurata
Use,Weapon Finesse  Use DEX for melee attack,Usa
DEX,Weapon Finesse  Use DEX for melee attack,DES
for melee attack,Weapon Finesse  Use DEX for melee attack,per attacchi in mischia
Two-weapon Rend,"Two-weapon Rend    If you hit with both weapons, do an extra 1d10 + (STR × 1½) damage",Attacco Lacerante a Due Armi
"If you hit with both weapons, do an extra 1d10 + (","Two-weapon Rend    If you hit with both weapons, do an extra 1d10 + (STR × 1½) damage","Se colpisci con entrambe le armi, infliggi 1d10+("
STR,"Two-weapon Rend    If you hit with both weapons, do an extra 1d10 + (STR × 1½) damage",FOR
× 1½) damage,"Two-weapon Rend    If you hit with both weapons, do an extra 1d10 + (STR × 1½) damage",x 1.5) danni extra
Improved Spell Recall,Improved Spell Recall|Prepare any known spell as a swift action,Ricordare Incantesimi Migliorato
Prepare any known spell as a swift action,Improved Spell Recall|Prepare any known spell as a swift action,Prepara un inc. conosciuto come azione veloce
MAX POWER,MAX POWER|LEVEL,LIVELLO MAX
LEVEL,MAX POWER|LEVEL,POTERE
COMBAT|MANEUVRE,COMBAT|MANEUVRE|BONUS,BONUS|MANOVRE in
BONUS,COMBAT|MANEUVRE|BONUS,COMBATTIMENTO
FASCINATE,FASCINATE|MAX AUDIENCE,AFFASCINARE
MAX AUDIENCE,FASCINATE|MAX AUDIENCE,PUBBLICO MAX
ARMOUR|CLASS,ARMOUR|CLASS|PENALTY,PENALITA'
PENALTY,ARMOUR|CLASS|PENALTY,CA
RAGE!,RAGE!|Duration,IRA!
Duration,RAGE!|Duration,Durata
30ft,Half of Ranger’s|Favoured Enemy|bonus granted to|allies within 30ft,9 m
Tireless,Tireless RAGE!,IRA
