"File","Count","Complete","Completeness %"
"Character Info","63","62","98"
"Barbarian - Character Info","64","62","97"
"Ranger - Character Info","66","61","92"
"Psionics - Character Info","64","62","97"
"NPC Group","26","24","92"
"Party","25","25","100"
"Animal Companion","62","62","100"
"NPC","63","60","95"
"Shaman","67","2","3"
"Witch Hunter","95","5","5"
"Cavalier","33","11","33"
"Inquisitor","57","15","26"
"Eidolon","58","47","81"
"Ronin","59","12","20"
"Samurai","54","12","22"
"Panther Warrior","44","24","55"
"Wild Shape","29","26","90"
"Lycanthrope","41","21","51"
"Character Background - Extra","28","6","21"
"Character Background","23","6","26"
"Combat","50","49","98"
"Monk - Combat (without Flurry of Blows)","53","47","89"
"Barbarian - Combat","49","46","94"
"Monk - Combat","57","47","82"
"Ranger - Combat","50","48","96"
"Eidolon - Combat","46","44","96"
"Kingdom","133","3","2"
"Paladin","20","12","60"
"Antipaladin","20","11","55"
"Oath against Corruption","31","13","42"
"Oath against Fiends","30","12","40"
"Oath against Savagery","31","12","39"
"Oath against the Wyrm","28","12","43"
"Oath against Undeath","28","12","43"
"Oath of Chastity","30","13","43"
"Oath of Loyalty","28","13","46"
"Oath of Vengeance","27","13","48"
"Oathbound Paladin","26","12","46"
"Deep Walker","26","11","42"
"Falconer","24","9","38"
"Horse Lord","39","11","28"
"Infiltrator","23","11","48"
"Shapeshifter","40","11","28"
"Skirmisher","15","6","40"
"Trapper","16","5","31"
"Ranger - Archery","37","11","30"
"Urban Ranger","24","11","46"
"Cryptic","75","8","11"
"Psychic Warrior","65","5","8"
"Wilder","55","6","11"
"High Guard","50","12","24"
"Imperial Man-at-arms","62","13","21"
"Khalid Asad","51","12","24"
"Protectorate Artillerist","69","12","17"
"Wyrdcaster","83","11","13"
"Ranger - Two-weapon fighting","39","11","28"
"Ranger","21","11","52"
"Witch","11","6","55"
"Savage Skald","66","53","80"
"Beast Master","20","9","45"
"Guide","26","11","42"
"Spirit Ranger","18","10","56"
"Trophy Hunter","31","8","26"
"Warden","19","9","47"
"Wild Stalker","25","11","44"
"Battle Scout","28","10","36"
"Ninja","34","7","21"
"Feats","14","7","50"
"Spell Book (Large)","25","5","20"
"Scout","22","5","23"
"Aegis","33","5","15"
"Psion (old)","42","4","10"
"Rogue","19","7","37"
"Psion","42","4","10"
"Apothecary","18","5","28"
"Wizard","11","5","45"
"Alchemist","23","5","22"
"Magus","75","12","16"
"Oracle","12","8","67"
"Summoner","30","7","23"
"Bard","57","56","98"
"Animal Speaker","69","55","80"
"Arcane Duelist","61","47","77"
"Archaeologist","65","57","88"
"Archivist","39","30","77"
"Celebrity","70","54","77"
"Court Bard","61","45","74"
"Daredevil","61","53","87"
"Demagogue","66","49","74"
"Cleric","33","33","100"
"Dervish Dancer","40","26","65"
"Detective","52","30","58"
"Dirge Bard","37","31","84"
"Geisha","57","54","95"
"Magician","32","24","75"
"Sandman","65","49","75"
"Sea Singer","39","31","79"
"Songhealer","38","35","92"
"Sound Striker","62","55","89"
"Street Performer","63","46","73"
"Blight Druid (Domain)","34","12","35"
"Blight Druid (Familiar)","33","9","27"
"Oath of Charity","24","10","42"
"Sorcerer","9","8","89"
"Crossblooded Sorcerer","9","8","89"
"Druid (Animal Companion)","34","9","26"
"Priest","18","15","83"
"Druid (Domain)","36","12","33"
"Armoured Hulk","40","6","15"
"Breaker","31","6","19"
"Brutal Pugilist","42","4","10"
"Drunken Brute","34","5","15"
"Elemental Kin","31","6","19"
"Hurler","30","7","23"
"Invulnerable Rager","21","5","24"
"Mounted Fury","33","6","18"
"Savage Barbarian","30","6","20"
"Scarred Rager","33","4","12"
"Sea Reaver","36","4","11"
"Superstitious Barbarian","46","6","13"
"Titan Mauler","38","6","16"
"True Primitive","30","5","17"
"Fighter","154","130","84"
"Urban Barbarian","32","5","16"
"Wild Rager","39","4","10"
"Soulknife","81","12","15"
"Fist of the Dragon","35","5","14"
"Barbarian","27","5","19"
"Gunslinger","104","9","9"
"Drunken Master","190","4","2"
"Flowing Monk","157","5","3"
"Hungry Ghost Monk","169","5","3"
"Ki Mystic","193","4","2"
"Manoeuvre Master","171","4","2"
"Martial Artist","191","4","2"
"Master of Many Styles","182","4","2"
"Monk of the Empty Hand","185","4","2"
"Monk of the Four Winds","169","4","2"
"Monk of the Healing Hand","186","4","2"
"Monk of the Lotus","163","4","2"
"Monk of the Sacred Mountain","172","3","2"
"Sensei","166","5","3"
"Sohei","128","6","5"
"Weapon Adept","165","4","2"
"Zen Archer","172","3","2"
"Cleric of the Kaga","23","22","96"
"Janissary","114","4","4"
"Monk","180","4","2"
"Artificer","56","3","5"
"Extract Formulae","3","1","33"
"Spell Book (Dense)","2","1","50"
"Spell Book - Extra","9","4","44"
"Spell Book","5","1","20"
"Timeline (Landscape)","4","1","25"
"Timeline (Portrait)","4","1","25"
"Inventory without","49","49","100"
"Inventory","43","43","100"
"Psionics - Inventory","44","42","95"
"Party Funds","23","14","61"
"Notes","0","0","NaN"
"Settlement","3","0","0"
"Hex C Fine Landscape","3","0","0"
"Hex C Landscape","3","0","0"
"Hex C Portrait","2","0","0"
"Hex D Fine Landscape","3","0","0"
"Timeline (Portrait - continued)","0","0","NaN"
