Frame number,Original,Translation,Count,Part of,Files,File count
2,Size|Modifier,Modificatore di Taglia,58,,"Animal Companion, Character Info, Combat, Barbarian - Character Info, Wild Shape, Monk - Combat, Ranger - Character Info, Ranger - Combat",8
4,Dodge|Modifier,Modificatore di Schivare,16,,"Animal Companion, Combat, Wild Shape, Monk - Combat, Ranger - Combat",5
5,BAB,BaB,28,,"Animal Companion, Combat, Wild Shape, Monk - Combat, Ranger - Combat",5
6,Base|Attack Bonus,Bonus Attacco Base,28,,"Animal Companion, Combat, Wild Shape, Monk - Combat, Ranger - Combat",5
8,Deflection|Modifier,Modificatore di Deflettere,24,,"Animal Companion, Combat, Wild Shape, Monk - Combat, Ranger - Combat",5
10,Misc,Altro,120,,"Animal Companion, Bard, Character Info, Cleric, Combat, Paladin, Rogue, Barbarian - Character Info, Druid (Animal Companion), Druid (Domain), Wild Shape, Monk - Combat, Monk, Ranger - Archery, Ranger - Character Info, Ranger - Combat, Ranger - Two-weapon fighting, Ranger",18
14,Morale|Bonus,Bonus di Morale,18,,"Animal Companion, Combat, Wild Shape, Monk - Combat, Ranger - Combat",5
15,CMD,DMC,26,,"Animal Companion, Combat, Wild Shape, Monk - Combat, Monk, Ranger - Combat",6
16,COMBAT MANOEUVRE|DEFENCE,,5,,"Animal Companion, Combat, Wild Shape, Monk - Combat, Ranger - Combat",5
16,COMBAT MANOEUVRE,DIFESA DA MANOVRA,5,COMBAT MANOEUVRE|DEFENCE,"Animal Companion, Combat, Wild Shape, Monk - Combat, Ranger - Combat",5
16,DEFENCE,IN COMBATTIMENTO,5,COMBAT MANOEUVRE|DEFENCE,"Animal Companion, Combat, Wild Shape, Monk - Combat, Ranger - Combat",5
17,CMB,BMC,18,,"Animal Companion, Combat, Wild Shape, Monk - Combat, Ranger - Combat",5
18,COMBAT MANOEUVRES,MANOVRA in COMBATTIMENTO,10,,"Animal Companion, Combat, Wild Shape, Monk - Combat, Ranger - Combat",5
19,DEX,DES,140,,"Animal Companion, Character Info, Combat, Fighter, Barbarian - Character Info, Wild Shape, Monk - Combat, Ranger - Character Info, Ranger - Combat",9
22,STR,FOR,82,,"Animal Companion, Character Info, Combat, Fighter, Barbarian - Character Info, Wild Shape, Monk - Combat, Monk, Ranger - Character Info, Ranger - Combat",10
24,Base|Attack,Attacco Base,8,,"Animal Companion, Wild Shape",2
31,COMBAT MANOEUVRE|BONUS,,4,,"Animal Companion, Combat, Wild Shape, Ranger - Combat",4
31,COMBAT MANOEUVRE,BONUS A MANOVRA,4,COMBAT MANOEUVRE|BONUS,"Animal Companion, Combat, Wild Shape, Ranger - Combat",4
31,BONUS,IN COMBATTIMENTO,4,COMBAT MANOEUVRE|BONUS,"Animal Companion, Combat, Wild Shape, Ranger - Combat",4
33,Ammo,Munizioni,18,,"Animal Companion, Combat, Monk - Combat, Ranger - Combat",4
34,ATTACKS,ATTACCHI,12,,"Animal Companion, Combat, Wild Shape, Monk - Combat, Ranger - Combat",5
35,Damage,Danno,54,,"Animal Companion, Combat, Wild Shape, Monk - Combat, Ranger - Combat",5
36,Critical,Critico,54,,"Animal Companion, Combat, Wild Shape, Monk - Combat, Ranger - Combat",5
37,sq,qs,110,,"Animal Companion, Combat, Inventory 2, Inventory, Wild Shape, Monk - Combat, Ranger - Combat",7
38,ft,mtrs,114,,"Animal Companion, Cleric, Combat, Inventory 2, Inventory, Wild Shape, Monk - Combat, Ranger - Combat",8
39,Range,Gittata,54,,"Animal Companion, Combat, Wild Shape, Monk - Combat, Ranger - Combat",5
46,Attack Bonus,Bonus di Attacco,54,,"Animal Companion, Combat, Wild Shape, Monk - Combat, Ranger - Combat",5
53,COMBAT,COMBATTIMENTO,4,,"Animal Companion, Wild Shape",2
55,Temp Damage,Danno Temporaneo,4,,Animal Companion,1
57,Temp Attack,Attacco Temporaneo,4,,Animal Companion,1
58,INIT,INIZ,12,,"Animal Companion, Combat, Wild Shape, Monk - Combat, Ranger - Combat",5
63,INITIATIVE BONUS,,6,,"Animal Companion, Combat, Wild Shape, Monk - Combat, Ranger - Combat",5
63,INITIATIVE,BONUS DI,6,INITIATIVE BONUS,"Animal Companion, Combat, Wild Shape, Monk - Combat, Ranger - Combat",5
63,BONUS,INIZIATIVA,6,INITIATIVE BONUS,"Animal Companion, Combat, Wild Shape, Monk - Combat, Ranger - Combat",5
64,BASE ATTACK,Attacco Base,12,,"Animal Companion, Combat, Monk - Combat, Ranger - Combat",4
65,Temp Speed,Velocità temporanea,10,,"Animal Companion, Combat, Wild Shape, Monk - Combat, Ranger - Combat",5
68,Climb Speed,Velocità di Scalare,8,,"Animal Companion, Combat, Monk - Combat, Ranger - Combat",4
71,Burrow Speed,Velocità di Scavare,2,,Animal Companion,1
74,Fly Speed,Velocità in Volo,8,,"Animal Companion, Combat, Monk - Combat, Ranger - Combat",4
