Frame number,Original,Translation,Count,Part of,File count,Files
1,FEATS & SPECIAL ABILITIES,TALENTI & CAPACITÀ SPECIALI,1,,16,"""\""Character Info\"""""
2,LANGUAGES,LINGUAGGI,1,,16,"""\""Character Info\"""""
3,SKILLS,ABILITÀ,1,,16,"""\""Character Info\"""""
4,CHARACTER,PERSONAGGIO,1,,16,"""\""Character Info\"""""
5,ABILITIES,STATISTICHE,1,,16,"""\""Character Info\"""""
6,MALE,MASCHIO,1,,16,"""\""Character Info\"""""
7,FEMALE,FEMMINA,1,,16,"""\""Character Info\"""""
8,Size|Modifier,Modificatore di Taglia,7,,26,"""\""Character Info\"", \""Combat\"""""
9,Size,Taglia,1,,16,"""\""Character Info\"""""
10,Race,Razza,1,,16,"""\""Character Info\"""""
11,Name,Nome,1,,16,"""\""Character Info\"""""
12,rks,grd,1,,16,"""\""Character Info\"""""
13,hp,pf,4,,26,"""\""Character Info\"", \""Combat\"""""
14,SURVIVAL,SOPRAVVIVENZA,1,,16,"""\""Character Info\"""""
15,Class|Skills,|+3,1,Class|Skills|+3,16,"""\""Character Info\"""""
16,Trained,Con addestramento,1,,16,"""\""Character Info\"""""
17,Track,Seguire tracce,1,,16,"""\""Character Info\"""""
18,INT,INT,11,,16,"""\""Character Info\"""""
19,CHA,CAR,9,,16,"""\""Character Info\"""""
20,Use Magical Device,Usare Oggetti Magici,1,,16,"""\""Character Info\"""""
21,STR,FOR,9,,26,"""\""Character Info\"", \""Combat\"""""
22,Swim,Nuotare,1,,16,"""\""Character Info\"""""
23,WIS,SAG,8,,26,"""\""Character Info\"", \""Combat\"""""
24,Knowledge: The Planes,Conoscenze: I Piani,1,,16,"""\""Character Info\"""""
25,Knowledge: Nature,Conoscenze: Natura,1,,16,"""\""Character Info\"""""
26,Knowledge: Religion,Conoscenze: Religioni,1,,16,"""\""Character Info\"""""
27,Knowledge: Dungeoneering,Conoscenze: Dungeon,1,,16,"""\""Character Info\"""""
28,Knowledge: Arcana,Conoscenze: Arcane,1,,16,"""\""Character Info\"""""
29,Survival,Sopravvivenza,1,,16,"""\""Character Info\"""""
30,DEX,DES,16,,26,"""\""Character Info\"", \""Combat\"""""
31,Stealth,Furtività,1,,16,"""\""Character Info\"""""
32,Spellcraft,Sapienza Magica,1,,16,"""\""Character Info\"""""
33,Sleight of Hand,Rapidità di mano,1,,16,"""\""Character Info\"""""
34,Sense Motive,Intuizione,1,,16,"""\""Character Info\"""""
35,+ Size|  diff x4,+ Taglia| diff x4,1,,16,"""\""Character Info\"""""
36,Ride,Cavalcare,1,,16,"""\""Character Info\"""""
37,Perception,Percezione,1,,16,"""\""Character Info\"""""
38,Linguistics,Linguistica,1,,16,"""\""Character Info\"""""
39,Intimidate,Intimidire,1,,16,"""\""Character Info\"""""
40,Heal,Guarire,1,,16,"""\""Character Info\"""""
41,Handle Animal,Addestrare Animali,1,,16,"""\""Character Info\"""""
42,Fly,Volare,1,,16,"""\""Character Info\"""""
43,Escape Artist,Artista della fuga,1,,16,"""\""Character Info\"""""
44,Disguise,Camuffare,1,,16,"""\""Character Info\"""""
45,Disable Device,Disattivare Congegni,1,,16,"""\""Character Info\"""""
46,Diplomacy,Diplomazia,1,,16,"""\""Character Info\"""""
47,Climb,Scalare,1,,16,"""\""Character Info\"""""
48,Bluff,Raggirare,1,,16,"""\""Character Info\"""""
49,Appraise,Valutare,1,,16,"""\""Character Info\"""""
50,INT,INT|,1,+ INT| per level,16,"""\""Character Info\"""""
50,per level,per livello,1,+ INT| per level,16,"""\""Character Info\"""""
51,CON,COS|,1,+ CON| per level,16,"""\""Character Info\"""""
51,per level,per livello,1,+ CON| per level,16,"""\""Character Info\"""""
52,+1 hp or skill rank per level,+1 hp o grd ablt per livello,1,,16,"""\""Character Info\"""""
53,Favoured class,Classe preferita,1,,16,"""\""Character Info\"""""
54,Acrobatics,Acrobazia,1,,16,"""\""Character Info\"""""
55,Untrained,Senza addest.,1,,16,"""\""Character Info\"""""
56,Hit Die,Dado Vita,1,,16,"""\""Character Info\"""""
57,Level|Adjustment,Adattamento|Per livello,1,,16,"""\""Character Info\"""""
58,Skill Ranks,Gradi Abilità,1,,16,"""\""Character Info\"""""
59,Armour|Check|Penalty,Penalità|a Prova|dell'Armat.,1,,16,"""\""Character Info\"""""
60,Misc,Altro,8,,26,"""\""Character Info\"", \""Combat\"""""
61,Skill|Bonus,Bonus|a Abilità,1,,16,"""\""Character Info\"""""
62,"Racial,|Feats","Talento|Razziale,",1,,16,"""\""Character Info\"""""
63,Ranks,Gradi,1,,16,"""\""Character Info\"""""
64,Knowledge - INT|Profession - WIS,Conoscenza-INT|Professione-SAG,1,,16,"""\""Character Info\"""""
65,Other skills:|Craft - INT|Perform - CHA,Altre ablt:|Artigian.-INT|Intrattenere-CAR,1,,16,"""\""Character Info\"""""
66,Level,Livello,1,,16,"""\""Character Info\"""""
67,CLASSES,CLASSI,1,,16,"""\""Character Info\"""""
68,Effective|Character|Level,Livello|Effettivo|del Personaggio,1,,16,"""\""Character Info\"""""
69,EVIL,MALVAGIO,1,,16,"""\""Character Info\"""""
70,GOOD,BUONO,1,,16,"""\""Character Info\"""""
71,CHAOTIC,CAOTICO,1,,16,"""\""Character Info\"""""
72,LAWFUL,LEGALE,1,,16,"""\""Character Info\"""""
73,CON,COS,4,,26,"""\""Character Info\"", \""Combat\"""""
74,Temp|Modifier,Modificatore|Temp,1,,16,"""\""Character Info\"""""
75,Temp|Score,Punteggio|Temp,1,,16,"""\""Character Info\"""""
76,Item|Bonus,Bonus|Dell'oggetto,1,,16,"""\""Character Info\"""""
77,Ability|Modifier,Modificatore|Della statist.,1,,16,"""\""Character Info\"""""
78,Ability|Score,Punteggio|Della statist.,1,,16,"""\""Character Info\"""""
79,Ability Modifier = (Total Ability Score - 10) ÷ 2    (Round down),Modific Statistc = (Punteg totl statistc -10) ÷ 2    (Arrotnd difetto),1,,16,"""\""Character Info\"""""
80,XP,Esperienza,1,,16,"""\""Character Info\"""""
81,Player,Giocatore,1,,16,"""\""Character Info\"""""
82,Campaign,Campagna,1,,16,"""\""Character Info\"""""
83,BAB,BaB,5,,8,"""\""Combat\"""""
84,Base|Attack Bonus,Bonus Attacco Base,5,,8,"""\""Combat\"""""
85,RANGED ATTACK,ATTACCO a DISTANZA,1,RANGED ATTACK|BONUS,8,"""\""Combat\"""""
85,BONUS,BONUS  ,1,RANGED ATTACK|BONUS,8,"""\""Combat\"""""
86,MELEE ATTACK,ATTACCO in MISCHIA,1,MELEE ATTACK|BONUS,8,"""\""Combat\"""""
86,BONUS,BONUS  ,1,MELEE ATTACK|BONUS,8,"""\""Combat\"""""
87,EFFECTS,EFFETTI,1,,8,"""\""Combat\"""""
88,ARMOUR CLASS,CLASSE ARMATURA,2,,8,"""\""Combat\"""""
89,HEALTH,SALUTE,1,,8,"""\""Combat\"""""
90,COMBAT ABILITIES,ABILITÀ di COMBATTIMENTO,1,,8,"""\""Combat\"""""
91,METAMAGIC,METAMAGIA,1,,8,"""\""Combat\"""""
92,FLAT-FOOTED,,1,FLAT-FOOTED|CMD,8,"""\""Combat\"""""
92,CMD,IMPREPARATO,1,FLAT-FOOTED|CMD,8,"""\""Combat\"""""
93,CMD,DMC,3,,8,"""\""Combat\"""""
94,Deflection|Modifier,Modificatore di Deflettere,3,,8,"""\""Combat\"""""
