Original,Part of,Translation
Level,"",Livello
Misc,"",Altro
CHA,"",CAR
WIS,"",SAG
DEX,"",DES
INT,"",INT
ft,"",m
PREPARED SPELLS,"",INCANTESIMI PREPARATI
sq,"",q
Domain Spell,"",Inc. di dominio
Caster|Level,"",Livello|incantatore
STR,"",FOR
(Round down),"",(Arrotondato per difetto)
AC,"",CA
Spell|Save DC,"",CD TS|Incantesimi
Base|Spells,"",Inc.|Base
SPELLS,"",INCANTESIMI
Spells|per day,"",Inc.|al giorno
rds,"",r
DC,"",CD
Rogue|Level,"",Livello|del Ladro
CON,"",COS
Ranger|Level,"",Livello|da Ranger
Barbarian|Level,"",Livello|da Barbaro
Concentration,"",Concentrazione
SCROLLS,"",PERGAMENE
POTIONS,"",POZIONI
Monk|Level,"",Livello|Monaco
Druid|Level,"",Livello|da Druido
EVIL,"",MALVAGIO
GOOD,"",BUONO
CHAOTIC,"",CAOTICO
LAWFUL,"",LEGALE
Paladin|Level,"",Liv|del Paladino
lb,"",kg
Attack Bonus,"",BONUS d'ATTACCO
Damage,"",Danno
Range,"",Gittata
(Round up),"",(per eccesso)
Critical,"",Critico
Bard|Level,"",Livello|Bardo
d6,"",d6
Monk Level,"",Livello da Monaco
Spell Save DC = 10 + WIS + Spell Level,""," CD TS Incantesimo = 10 + SAG + Liv. Incantesimo"
Bonus Spells,"",Inc. Bonus
Tier,"",Rango
Type,"",Tipo
Size|Modifier,"",Mod.|Taglia
RAGE!,"",IRA!
CHARGES,"",CARICHE
Level|Bonus,"",Livello|bonus
hp,"",pf
Granted Power,"",Poteri Donati
WANDS,"",BACCHETTE
Name,"",Nome
Evasion,"",Eludere
Uses|per day,"",Usi| al giorno
WILD EMPATHY,"",EMPATIA SELVAGGIA
Domain,"",Dominio
WIS - 4,"",SAG – 4
WIS - 12,"",SAG – 12
WIS - 8,"",SAG – 8
WILD EMPATHY,WILD EMPATHY|BONUS,BONUS
BONUS,WILD EMPATHY|BONUS,EMPATIA SELVAGGIA
Manifester|Level,"",Livello|psionico
Druid Level,"",Livello del Druido
ARCANE SPELL FAILURE,ARCANE SPELL FAILURE THRESHOLD,FALLIMENTO INCANTESIMI ARCANI
THRESHOLD,ARCANE SPELL FAILURE THRESHOLD,SOGLIA
ANIMAL COMPANION,"",COMPAGNO ANIMALE
Creature Type,"",Tipo di creatura
Speciality Spell,"",Incantesimo da specialista
No action this round|Lose,No action this round|Lose DEX bonus to AC; -2 AC,Nessuna azione questo round
DEX,No action this round|Lose DEX bonus to AC; -2 AC,Perde il bonus
bonus to,No action this round|Lose DEX bonus to AC; -2 AC,DES
AC,No action this round|Lose DEX bonus to AC; -2 AC,alla CA
Damage Reduction,"",Riduzione del Danno
CMD,"",DMC
+ Level,"",+ Livello
WILD SHAPE,"",FORMA SELVATICA
Properties,"",Proprietà
Track,"",Seguire tracce
Distance,"",Distanza
KNOWN SPELLS,"",INCANTESIMI CONOSCIUTI
Times Today,"",Volte oggi
Spell Save DC = 10 + CHA + Spell Level,"",CD TS Incantesimo = 10 + CAR + Liv. Incantesimo
Times per day,"",Volte al giorno
+10 to move at full speed,"",+3 m al movimento a velocità piena
5ft,"","1,5 m"
10ft,"",3 m
Spells|Known,"",Incantesimi|Conosciuti
at half speed,"",a metà velocità
ARMOUR CLASS,"",CLASSE ARMATURA
KI POOL,"",RISERVA KI
Bard Level,"",Livello del Bardo
Weight,"",Peso
NATURE BOND,"",LEGAME CON LA NATURA
Spell Resistance,"",Resistenza agli Incantesimi
Uncanny Dodge,"",Schivare prodigioso
Improved Uncanny Dodge,"",Schivare prodigioso migliorato
CHA - 12,"",CAR - 12
CHA - 8,"",CAR – 8
Nature Sense,Nature Sense|+2 to Knowledge (nature) and Survival,Senso della natura
+2 to Knowledge (nature) and Survival,Nature Sense|+2 to Knowledge (nature) and Survival,+2 a Conoscenza (Natura) e Sopravvivenza
BONUS FEATS,"",TALENTI BONUS
or,"",o
CHA - 4,"",CAR – 4
Timeless Body,"Timeless Body|No longer age, cannot be magically aged",Corpo senza tempo
"No longer age, cannot be magically aged","Timeless Body|No longer age, cannot be magically aged","Non invecchia, nemmeno magicamente"
Wild Empathy,Wild Empathy|Improve the attitude of an animal,Empatia selvatica
Improve the attitude of an animal,Wild Empathy|Improve the attitude of an animal,Migliora l'atteggiamento di un animale
2d8,"",2d8
Cleric|Level,"",Livello|del Chierico
FORTITUDE,FORTITUDE|SAVE DC,TEMPRA
FORTITUDE|SAVE,FORTITUDE|SAVE DC,SALVEZZA|TEMPRA
SAVE DC,FORTITUDE|SAVE DC,CD SALVEZZA
DC,FORTITUDE|SAVE DC,CD
Become any small or medium animal,Wild Shape|Become any small or medium animal,Trasformazione in un animale piccolo o medio
SPEED,"",VELOCITÀ 
d8,"",d8
Acrobatics,"",Acrobazia
BAB,"",BaB
Deflection|Modifier,"",Modificatore|Deviazione
2d6,"",2d6
Cost,"",Costo
Conditional Modifiers,"",Modificatori di circostanza
DRUID,"",DRUIDO
d10,"",d10
