"Original","Part of","Count","File","Volume","Game","Level"
"FEATS & SPECIAL ABILITIES","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Size|Modifier","","3","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Dodge|Modifier","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"BAB","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Base|Attack Bonus","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Deflection|Modifier","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Misc","","6","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Morale|Bonus","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"CMD","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"COMBAT MANOEUVRE","COMBAT MANOEUVRE|DEFENCE","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"DEFENCE","COMBAT MANOEUVRE|DEFENCE","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"CMB","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"COMBAT MANOEUVRES","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"DEX","","7","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"STR","","4","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Base|Attack","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"COMBAT MANOEUVRE","COMBAT MANOEUVRE|BONUS","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"BONUS","COMBAT MANOEUVRE|BONUS","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Ammo","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"ATTACKS","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Damage","","3","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Critical","","3","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"sq","","9","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"ft","","10","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Range","","3","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Attack Bonus","","3","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"COMBAT","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Temp Damage","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Temp Attack","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"INIT","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"INITIATIVE","INITIATIVE BONUS","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"BONUS","INITIATIVE BONUS","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"BASE ATTACK","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Temp Speed","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Climb Speed","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Burrow Speed","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Fly Speed","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Swim Speed","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"BASIC SPEED","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"HEALTH","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"hp","","3","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Non-lethal","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Wounds","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Dying","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Unconscious","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Stable","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"HIT POINTS","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"COMBAT ABILITIES","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"DEFENCE","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Damage Reduction","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Spell Resistance","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"ARMOUR CLASS","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"FLAT-FOOTED","FLAT-FOOTED ARMOUR CLASS","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"ARMOUR CLASS","FLAT-FOOTED ARMOUR CLASS","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"TOUCH","TOUCH ARMOUR CLASS","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"ARMOUR CLASS","TOUCH ARMOUR CLASS","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"AC","","4","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Temp AC","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Armour|& Shield","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"EFFECTS","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"SAVING THROWS","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
"Evasion","","1","Pathfinder/Core/Animal Companion","Core Rulebook","Pathfinder","1"
