"Frame number","Original","Translation","Count","Part of","File count","Files"
"0","d00","0","1","","1",""""""
"1","INVENTORY","1","5","","4","""Character Info - Simple"", ""Character Info - simple"", ""Inventory without"", ""Inventory"""
"2","ABILITIES","2","9","","6","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Wild Shape"""
"3","Value","3","10","","5","""Character Info - Simple"", ""Character Info - simple"", ""Inventory without"", ""Inventory"", ""Party Funds"""
"4","Weight","4","19","","8","""Character Info - Simple"", ""Combat - Simple"", ""Animal Companion"", ""Character Info - simple"", ""Combat - simple"", ""Inventory without"", ""Inventory"", ""Party Funds"""
"5","CHA","5","68","","10","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Bard"", ""Character Info - simple"", ""Cleric"", ""Paladin"", ""Ranger"", ""Sorcerer"""
"8","WIS","8","60","","11","""Character Info - Simple"", ""Character Info"", ""Druid"", ""Monk"", ""Blank Character Info"", ""Combat - Simple"", ""Combat"", ""Animal Companion"", ""Character Info - simple"", ""Cleric"", ""Combat - simple"""
"11","INT","11","60","","7","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Bard"", ""Character Info - simple"", ""Wizard"""
"14","DEX","14","101","","9","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Combat - Simple"", ""Combat"", ""Animal Companion"", ""Character Info - simple"", ""Combat - simple"", ""Wild Shape"""
"17","CON","17","37","","9","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Combat - Simple"", ""Combat"", ""Animal Companion"", ""Character Info - simple"", ""Combat - simple"", ""Wild Shape"""
"20","STR","20","51","","10","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Combat - Simple"", ""Combat"", ""Animal Companion"", ""Character Info - simple"", ""Combat - simple"", ""Monk"", ""Wild Shape"""
"23","Temp|Modifier","23","6","","4","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Character Info - simple"""
"24","Temp|Bonus","24","8","","6","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Wild Shape"""
"25","Item|Bonus","25","9","","6","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Wild Shape"""
"26","Ability|Modifier","26","9","","6","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Wild Shape"""
"27","Ability|Score","27","9","","6","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Wild Shape"""
"28","Ability Modifier = (Total Ability Score - 10) ÷ 2    (Round down)","28","7","","4","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Character Info - simple"""
"29","XP","29","8","","5","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"""
"30","Player","30","7","","4","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Character Info - simple"""
"31","Campaign","31","7","","4","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Character Info - simple"""
"37","pp","37","6","","5","""Character Info - Simple"", ""Character Info - simple"", ""Inventory without"", ""Inventory"", ""Party Funds"""
"40","gp","40","6","","5","""Character Info - Simple"", ""Character Info - simple"", ""Inventory without"", ""Inventory"", ""Party Funds"""
"43","sp","43","6","","5","""Character Info - Simple"", ""Character Info - simple"", ""Inventory without"", ""Inventory"", ""Party Funds"""
"45","cp","45","6","","5","""Character Info - Simple"", ""Character Info - simple"", ""Inventory without"", ""Inventory"", ""Party Funds"""
"46","SKILLS","46","8","","5","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"""
"47","CHARACTER","47","7","","4","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Character Info - simple"""
"48","LANGUAGES","48","7","","4","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Character Info - simple"""
"49","MONEY","49","5","","4","""Character Info - Simple"", ""Character Info - simple"", ""Inventory without"", ""Inventory"""
"50","MALE","50","8","","5","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"""
"51","FEMALE","51","8","","5","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"""
"52","Size|Modifier","52","17","","9","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Combat - Simple"", ""Combat"", ""Animal Companion"", ""Character Info - simple"", ""Combat - simple"", ""Wild Shape"""
"53","Size","53","9","","6","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Wild Shape"""
"54","Race","54","7","","4","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Character Info - simple"""
"55","Name","55","8","","5","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Character Info - simple"", ""Paladin"""
"56","SURVIVAL","56","6","","4","""Character Info - Simple"", ""Character Info"", ""Animal Companion"", ""Character Info - simple"""
"57","Class Skills","57","7","","4","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Character Info - simple"""
"58","Trained","58","6","","4","""Character Info - Simple"", ""Character Info"", ""Animal Companion"", ""Character Info - simple"""
"59","Track","59","6","","4","""Character Info - Simple"", ""Character Info"", ""Animal Companion"", ""Character Info - simple"""
"76","Knowledge:","76","5","","3","""Character Info - Simple"", ""Character Info"", ""Character Info - simple"""
"77","Use Rope","77","5","","3","""Character Info - Simple"", ""Character Info"", ""Character Info - simple"""
"79","Use Magic Device","79","5","","3","""Character Info - Simple"", ""Character Info"", ""Character Info - simple"""
"81","Tumble","81","5","","3","""Character Info - Simple"", ""Character Info"", ""Character Info - simple"""
"84","Swim","84","6","","4","""Character Info - Simple"", ""Character Info"", ""Animal Companion"", ""Character Info - simple"""
"88","Survival","88","6","","4","""Character Info - Simple"", ""Character Info"", ""Animal Companion"", ""Character Info - simple"""
"90","Spot","90","6","","4","""Character Info - Simple"", ""Character Info"", ""Animal Companion"", ""Character Info - simple"""
"93","Spellcraft","93","5","","3","""Character Info - Simple"", ""Character Info"", ""Character Info - simple"""
"95","Sleight of Hand","95","5","","3","""Character Info - Simple"", ""Character Info"", ""Character Info - simple"""
"98","Sense Motive","98","6","","4","""Character Info - Simple"", ""Character Info"", ""Animal Companion"", ""Character Info - simple"""
"100","Search","100","6","","4","""Character Info - Simple"", ""Character Info"", ""Animal Companion"", ""Character Info - simple"""
"102","Ride","102","5","","3","""Character Info - Simple"", ""Character Info"", ""Character Info - simple"""
"104","Open Lock","104","5","","3","""Character Info - Simple"", ""Character Info"", ""Character Info - simple"""
"106","Move Silently","106","6","","4","""Character Info - Simple"", ""Character Info"", ""Animal Companion"", ""Character Info - simple"""
"109","Listen","109","6","","4","""Character Info - Simple"", ""Character Info"", ""Animal Companion"", ""Character Info - simple"""
"111","Jump","111","6","","4","""Character Info - Simple"", ""Character Info"", ""Animal Companion"", ""Character Info - simple"""
"114","Intimidate","114","5","","3","""Character Info - Simple"", ""Character Info"", ""Character Info - simple"""
"115","- Size|  mod x4","115","5","","3","""Character Info - Simple"", ""Character Info"", ""Character Info - simple"""
"116","- 1 per 5lb| carried","116","4","","3","""Character Info - Simple"", ""Character Info"", ""Character Info - simple"""
"117","+ Size|  diff x4","117","5","","3","""Character Info - Simple"", ""Character Info"", ""Character Info - simple"""
"119","Hide","119","6","","4","""Character Info - Simple"", ""Character Info"", ""Animal Companion"", ""Character Info - simple"""
"122","Heal","122","5","","3","""Character Info - Simple"", ""Character Info"", ""Character Info - simple"""
"124","Handle Animal","124","5","","3","""Character Info - Simple"", ""Character Info"", ""Character Info - simple"""
"126","Gather Information","126","5","","3","""Character Info - Simple"", ""Character Info"", ""Character Info - simple"""
"128","Forgery","128","5","","3","""Character Info - Simple"", ""Character Info"", ""Character Info - simple"""
