"Frame number","Original","Translation","Count","Part of","File count","Files"
"0","d00","0","1","","1",""""""
"1","INVENTORY","1","6","","5","""Character Info - Simple"", ""Character Info - simple"", ""Inventory without"", ""Inventory"", ""Psionic Inventory"""
"2","ABILITIES","2","12","","9","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Wild Shape"", ""Psicrystal"", ""Psionic Character Info"", ""Shadowcaster"""
"3","Value","3","11","","6","""Character Info - Simple"", ""Character Info - simple"", ""Inventory without"", ""Inventory"", ""Party Funds"", ""Psionic Inventory"""
"4","Weight","4","23","","10","""Character Info - Simple"", ""Combat - Simple"", ""Animal Companion"", ""Character Info - simple"", ""Combat - simple"", ""Inventory without"", ""Inventory"", ""Party Funds"", ""Character Background"", ""Psionic Inventory"""
"5","CHA","5","142","","35","""Character Info - Simple"", ""Character Info"", ""Spirit Shaman"", ""Sorcerer + Metamagic"", ""Blank Character Info"", ""Battle Dancer"", ""Death Master"", ""Jester"", ""Mountebank"", ""Sha'ir"", ""Urban Druid"", ""Soulborn"", ""Dragon Shaman"", ""Divine Mind"", ""Psicrystal"", ""Psionic Character Info"", ""Animal Companion"", ""Wilder"", ""Anima Mage"", ""Binder"", ""Crusader"", ""Truenamer"", ""Bard"", ""Dread Necromancer"", ""Character Info - simple"", ""Cleric"", ""Paladin"", ""Ranger"", ""Sorcerer"", ""Extended Cleric"", ""Extended Paladin"", ""Factotum"", ""Hexblade"", ""Shugenja"", ""Spellthief"""
"8","WIS","8","91","","26","""Character Info - Simple"", ""Character Info"", ""Incarnate"", ""Ardent"", ""Blank Character Info"", ""Divine Mind"", ""Psicrystal"", ""Psionic Character Info"", ""Psionic Combat"", ""Psychic Warrior"", ""Swordsage"", ""Combat - Simple"", ""Monk"", ""Combat"", ""Animal Companion"", ""Character Info - simple"", ""Cleric"", ""Combat - simple"", ""Druid"", ""Archivist"", ""Artificer"", ""Extended Cleric"", ""Factotum"", ""Favoured Soul"", ""Ninja"", ""Spirit Shaman"""
"11","INT","11","100","","19","""Character Info - Simple"", ""Character Info"", ""Psionic Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Bard"", ""Character Info - simple"", ""Wizard"", ""Beguiler"", ""Duskblade"", ""Factotum"", ""Warmage"", ""Wu Jen"", ""Focused Specialist Wizard"", ""Sorcerer + Metamagic"", ""Savant"", ""Lurk"", ""Psicrystal"", ""Psion"""
"14","DEX","14","136","","15","""Character Info - Simple"", ""Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Combat - simple"", ""Wild Shape"", ""Factotum"", ""Psicrystal"", ""Psionic Character Info"", ""Psionic Combat"", ""Soulknife v2"", ""Soulknife"", ""Blank Character Info"", ""Combat - Simple"", ""Combat"""
"17","CON","17","51","","17","""Character Info - Simple"", ""Character Info"", ""Combat - Simple"", ""Combat"", ""Animal Companion"", ""Character Info - simple"", ""Combat - simple"", ""Wild Shape"", ""Dragon Shaman"", ""Dragonfire Adept"", ""Incarnate"", ""Soulborn"", ""Totemist"", ""Psicrystal"", ""Psionic Character Info"", ""Psionic Combat"", ""Blank Character Info"""
"20","STR","20","67","","16","""Character Info - Simple"", ""Character Info"", ""Combat"", ""Animal Companion"", ""Character Info - simple"", ""Combat - simple"", ""Monk"", ""Wild Shape"", ""Factotum"", ""Psicrystal"", ""Psionic Character Info"", ""Psionic Combat"", ""Soulknife v2"", ""Soulknife"", ""Blank Character Info"", ""Combat - Simple"""
"23","Temp|Modifier","23","7","","5","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Character Info - simple"", ""Psionic Character Info"""
"24","Temp|Bonus","24","10","","8","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Wild Shape"", ""Psicrystal"", ""Psionic Character Info"""
"25","Item|Bonus","25","10","","7","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Wild Shape"", ""Psionic Character Info"""
"26","Ability|Modifier","26","11","","8","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Wild Shape"", ""Psicrystal"", ""Psionic Character Info"""
"27","Ability|Score","27","11","","8","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Wild Shape"", ""Psicrystal"", ""Psionic Character Info"""
"28","Ability Modifier = (Total Ability Score - 10) ÷ 2    (Round down)","28","8","","5","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Character Info - simple"", ""Psionic Character Info"""
"29","XP","29","9","","6","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Psionic Character Info"""
"30","Player","30","8","","5","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Character Info - simple"", ""Psionic Character Info"""
"31","Campaign","31","8","","5","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Character Info - simple"", ""Psionic Character Info"""
"37","pp","37","7","","6","""Character Info - Simple"", ""Character Info - simple"", ""Inventory without"", ""Inventory"", ""Party Funds"", ""Psionic Inventory"""
"40","gp","40","7","","6","""Character Info - Simple"", ""Character Info - simple"", ""Inventory without"", ""Inventory"", ""Party Funds"", ""Psionic Inventory"""
"43","sp","43","7","","6","""Character Info - Simple"", ""Character Info - simple"", ""Inventory without"", ""Inventory"", ""Party Funds"", ""Psionic Inventory"""
"45","cp","45","7","","6","""Character Info - Simple"", ""Character Info - simple"", ""Inventory without"", ""Inventory"", ""Party Funds"", ""Psionic Inventory"""
"46","SKILLS","46","10","","7","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Psicrystal"", ""Psionic Character Info"""
"47","CHARACTER","47","8","","5","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Character Info - simple"", ""Psionic Character Info"""
"48","LANGUAGES","48","8","","5","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Character Info - simple"", ""Psionic Character Info"""
"49","MONEY","49","6","","5","""Character Info - Simple"", ""Character Info - simple"", ""Inventory without"", ""Inventory"", ""Psionic Inventory"""
"50","MALE","50","10","","7","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Character Background"", ""Psionic Character Info"""
"51","FEMALE","51","10","","7","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Character Background"", ""Psionic Character Info"""
"52","Size|Modifier","52","21","","12","""Character Info - Simple"", ""Character Info"", ""Wild Shape"", ""Psicrystal"", ""Psionic Character Info"", ""Psionic Combat"", ""Blank Character Info"", ""Combat - Simple"", ""Combat"", ""Animal Companion"", ""Character Info - simple"", ""Combat - simple"""
"53","Size","53","10","","7","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Wild Shape"", ""Psionic Character Info"""
"54","Race","54","9","","6","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Character Info - simple"", ""Character Background"", ""Psionic Character Info"""
"55","Name","55","15","","12","""Character Info - Simple"", ""Character Info"", ""Psion"", ""Psionic Character Info"", ""Psychic Warrior"", ""Wilder"", ""Blank Character Info"", ""Character Info - simple"", ""Paladin"", ""Character Background"", ""Extended Paladin"", ""Hexblade"""
"56","SURVIVAL","56","8","","6","""Character Info - Simple"", ""Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Psicrystal"", ""Psionic Character Info"""
"57","Class Skills","57","8","","5","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Character Info - simple"", ""Psionic Character Info"""
"58","Trained","58","8","","6","""Character Info - Simple"", ""Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Psicrystal"", ""Psionic Character Info"""
"59","Track","59","8","","6","""Character Info - Simple"", ""Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Psicrystal"", ""Psionic Character Info"""
"76","Knowledge:","76","5","","3","""Character Info - Simple"", ""Character Info"", ""Character Info - simple"""
"77","Use Rope","77","7","","5","""Character Info - Simple"", ""Character Info"", ""Character Info - simple"", ""Psicrystal"", ""Psionic Character Info"""
"79","Use Magic Device","79","7","","5","""Character Info - Simple"", ""Character Info"", ""Character Info - simple"", ""Psicrystal"", ""Psionic Character Info"""
"81","Tumble","81","7","","5","""Character Info - Simple"", ""Character Info"", ""Character Info - simple"", ""Psicrystal"", ""Psionic Character Info"""
