"Frame number","Original","Translation","Count","Part of","File count","Files"
"1","d00","1","11","","2",""""", """""
"2","FEATS & SPECIAL ABILITIES","2","63","","6","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""World Walker - Character Info"", ""Psionics - Character Info"", ""Character Info"""
"3","LANGUAGES","3","88","","12","""Character Info"", ""Barbarian - Character Info"", ""Character Info"", ""Blank Character Info"", ""Character Info - simple"", ""Psionic Character Info"", ""Ranger - Character Info"", ""World Walker - Character Info"", ""NPC Group"", ""Party"", ""Psionics - Character Info"", ""Character Info - Simple"""
"4","SKILLS","4","1710","","23","""Character Info"", ""Animal Companion"", ""Blank Character Info"", ""Animal Companion"", ""NPC Group"", ""Character Info - simple"", ""Psicrystal"", ""Psionic Character Info"", ""NPC"", ""Party"", ""Psionics - Character Info"", ""Shaman"", ""Cavalier"", ""Witch Hunter"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Inquisitor"", ""Eidolon"", ""Ronin"", ""Samurai"", ""World Walker - Character Info"", ""Character Info - Simple"", ""Character Info"""
"5","CHARACTER","5","68","","10","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""World Walker - Character Info"", ""Psionics - Character Info"", ""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Character Info - simple"", ""Psionic Character Info"""
"6","ABILITIES","6","1412","","22","""Character Info"", ""Animal Companion"", ""Wild Shape"", ""Psicrystal"", ""NPC"", ""Psionic Character Info"", ""Shadowcaster"", ""Psionics - Character Info"", ""Panther Warrior"", ""Barbarian - Character Info"", ""Wild Shape"", ""Ranger - Character Info"", ""Samurai"", ""Cavalier"", ""Eidolon"", ""Lycanthrope"", ""World Walker - Character Info"", ""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"""
"7","MALE","7","1310","","18","""Character Info"", ""Animal Companion"", ""Character Background"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"", ""Character Background - Extra"", ""World Walker - Character Info"", ""Build Character"", ""NPC"", ""Psionics - Character Info"", ""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Character Background"", ""Psionic Character Info"""
"8","FEMALE","8","1310","","18","""Character Info"", ""Animal Companion"", ""Character Background"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"", ""Character Background - Extra"", ""World Walker - Character Info"", ""Build Character"", ""NPC"", ""Psionics - Character Info"", ""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Character Background"", ""Psionic Character Info"""
"9","Size|Modifier","9","6321","","30","""Character Info"", ""Combat"", ""Character Info - Simple"", ""Character Info"", ""Eidolon"", ""Psionic Character Info"", ""Psionic Combat"", ""Blank Character Info"", ""Combat - Simple"", ""Combat"", ""Animal Companion"", ""Character Info - simple"", ""Animal Companion"", ""Combat - simple"", ""Wild Shape"", ""Psicrystal"", ""Lycanthrope"", ""World Walker - Character Info"", ""Monk - Combat (without Flurry of Blows)"", ""Build Character"", ""NPC"", ""Psionics - Character Info"", ""Panther Warrior"", ""Barbarian - Character Info"", ""Barbarian - Combat"", ""Wild Shape"", ""Monk - Combat"", ""Ranger - Character Info"", ""Ranger - Combat"", ""Eidolon - Combat"""
"10","Size","10","1210","","15","""Character Info"", ""Barbarian - Character Info"", ""Build Character"", ""Kingdom"", ""Psionics - Character Info"", ""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Wild Shape"", ""Psionic Character Info"", ""Ranger - Character Info"", ""Eidolon"", ""World Walker - Character Info"""
"11","Race","11","99","","14","""Character Info"", ""Barbarian - Character Info"", ""Psionics - Character Info"", ""Character Background"", ""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Character Info - simple"", ""Character Background"", ""Psionic Character Info"", ""Ranger - Character Info"", ""Character Background - Extra"", ""World Walker - Character Info"", ""NPC"""
"12","Name","12","4515","","56","""Character Info"", ""Paladin"", ""Falconer"", ""Horse Lord"", ""Ronin"", ""Infiltrator"", ""Shapeshifter"", ""Skirmisher"", ""Ranger - Archery"", ""Trapper"", ""Urban Ranger"", ""Party"", ""Oath against the Wyrm"", ""Cryptic"", ""Dread"", ""Psionics - Character Info"", ""Samurai"", ""Psychic Warrior"", ""Wilder"", ""High Guard"", ""Imperial Man-at-arms"", ""Ranger - Character Info"", ""Khalid Asad"", ""Oath against Undeath"", ""Protectorate Artillerist"", ""Wyrdcaster"", ""Character Background"", ""Ranger - Two-weapon fighting"", ""Character Background - Extra"", ""Ranger"", ""Cavalier"", ""Witch"", ""Eidolon"", ""Character Info - Simple"", ""Barbarian - Character Info"", ""Character Info"", ""Psychic Warrior"", ""Wilder"", ""Blank Character Info"", ""Character Info - simple"", ""World Walker - Character Info"", ""Paladin"", ""Character Background"", ""Extended Paladin"", ""Hexblade"", ""Oath of Chastity"", ""Psion"", ""Psionic Character Info"", ""Antipaladin"", ""Oath against Corruption"", ""Oath against Fiends"", ""Oath against Savagery"", ""Oath of Loyalty"", ""Oath of Vengeance"", ""Oathbound Paladin"", ""Deep Walker"""
"13","rks","13","8","","6","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""World Walker - Character Info"", ""Build Character"", ""Psionics - Character Info"""
"14","hp","14","4133","","28","""Character Info"", ""Combat"", ""Psicrystal"", ""Psionic Combat"", ""World Walker - Character Info"", ""Animal Companion"", ""Combat - simple"", ""Monk"", ""Paladin"", ""Dragon Shaman"", ""Dread Necromancer"", ""Extended Paladin"", ""Barbarian - Combat"", ""Death Master"", ""Monk - Combat (without Flurry of Blows)"", ""Horse Lord"", ""Build Character"", ""NPC"", ""Psionics - Character Info"", ""Animal Companion"", ""Barbarian - Character Info"", ""Monk - Combat"", ""Ranger - Character Info"", ""Ranger - Combat"", ""Eidolon - Combat"", ""Savage Skald"", ""Combat - Simple"", ""Combat"""
"15","SURVIVAL","15","88","","13","""Character Info"", ""Animal Companion"", ""Character Info - Simple"", ""Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Psicrystal"", ""Psionic Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"", ""World Walker - Character Info"", ""Psionics - Character Info"""
"16","Class|Skills","16","7","Class|Skills|+3","6","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"", ""World Walker - Character Info"", ""Psionics - Character Info"""
"17","Track","17","328","","37","""Character Info"", ""Animal Companion"", ""Psionics - Character Info"", ""High Guard"", ""Battle Scout"", ""Imperial Man-at-arms"", ""Khalid Asad"", ""Protectorate Artillerist"", ""Ranger - Archery"", ""Wyrdcaster"", ""Ranger - Character Info"", ""Ranger - Two-weapon fighting"", ""Skirmisher"", ""Ranger"", ""Inquisitor"", ""Eidolon"", ""Beast Master"", ""World Walker - Character Info"", ""Character Info - Simple"", ""Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Psicrystal"", ""Spirit Ranger"", ""Psionic Character Info"", ""Deep Walker"", ""Falconer"", ""Guide"", ""Horse Lord"", ""Infiltrator"", ""Shapeshifter"", ""Barbarian - Character Info"", ""Trapper"", ""Trophy Hunter"", ""Urban Ranger"", ""Warden"", ""Wild Stalker"""
"18","INT","18","162100","","73","""Character Info"", ""Animal Companion"", ""Poisoner"", ""Rake"", ""Ninja"", ""Roof Runner"", ""Sanctified Rogue"", ""Scout"", ""Wizard"", ""Sniper"", ""Spy"", ""Survivalist"", ""Chameleon"", ""Swashbuckler"", ""Thug"", ""Trapsmith"", ""Feats"", ""Archmage"", ""Champion"", ""Guardian"", ""Hierophant"", ""Barbarian - Character Info"", ""Marshal"", ""Charlatan"", ""Mythic"", ""Trickster"", ""Build Character"", ""NPC"", ""Lycanthrope"", ""Kingdom"", ""Aegis"", ""Cryptic"", ""Dread"", ""Psion (old)"", ""Rogue"", ""Ranger - Character Info"", ""Psion"", ""Psionics - Character Info"", ""Apothecary"", ""Protectorate Artillerist"", ""Spell Book (Large)"", ""Alchemist"", ""Witch"", ""Eidolon"", ""Magus"", ""Cutpurse"", ""Character Info - Simple"", ""Character Info"", ""Warmage"", ""Wu Jen"", ""Focused Specialist Wizard"", ""Sorcerer + Metamagic"", ""World Walker - Character Info"", ""Savant"", ""Lurk"", ""Psicrystal"", ""Driver"", ""Psion"", ""Psionic Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Bard"", ""Character Info - simple"", ""Wizard"", ""Acrobat"", ""Beguiler"", ""Duskblade"", ""Investigator"", ""Factotum"", ""Bandit"", ""Burglar"", ""Knife Master"", ""Pirate"""
