"Frame number","Original","Translation","Count","Part of","File count","Files"
"0","d00","0","1","","1",""""""
"2","FEATS & SPECIAL ABILITIES","2","4","","3","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"""
"3","LANGUAGES","3","4","","3","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"""
"4","SKILLS","4","5","","4","""Character Info"", ""Animal Companion"", ""Barbarian - Character Info"", ""Ranger - Character Info"""
"5","CHARACTER","5","4","","3","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"""
"6","ABILITIES","6","6","","5","""Character Info"", ""Animal Companion"", ""Barbarian - Character Info"", ""Wild Shape"", ""Ranger - Character Info"""
"7","MALE","7","5","","4","""Character Info"", ""Animal Companion"", ""Barbarian - Character Info"", ""Ranger - Character Info"""
"8","FEMALE","8","5","","4","""Character Info"", ""Animal Companion"", ""Barbarian - Character Info"", ""Ranger - Character Info"""
"9","Size|Modifier","9","40","","9","""Character Info"", ""Combat"", ""Animal Companion"", ""Barbarian - Character Info"", ""Barbarian - Combat"", ""Wild Shape"", ""Monk - Combat"", ""Ranger - Character Info"", ""Ranger - Combat"""
"10","Size","10","4","","3","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"""
"11","Race","11","4","","3","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"""
"12","Name","12","8","","7","""Character Info"", ""Paladin"", ""Barbarian - Character Info"", ""Ranger - Archery"", ""Ranger - Character Info"", ""Ranger - Two-weapon fighting"", ""Ranger"""
"13","rks","13","4","","3","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"""
"14","hp","14","26","","8","""Character Info"", ""Combat"", ""Animal Companion"", ""Barbarian - Character Info"", ""Barbarian - Combat"", ""Monk - Combat"", ""Ranger - Character Info"", ""Ranger - Combat"""
"16","SURVIVAL","16","5","","4","""Character Info"", ""Animal Companion"", ""Barbarian - Character Info"", ""Ranger - Character Info"""
"17","Class|Skills","17","4","Class|Skills|+3","3","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"""
"18","Track","18","8","","7","""Character Info"", ""Animal Companion"", ""Barbarian - Character Info"", ""Ranger - Archery"", ""Ranger - Character Info"", ""Ranger - Two-weapon fighting"", ""Ranger"""
"29","INT","29","49","","6","""Character Info"", ""Animal Companion"", ""Rogue"", ""Wizard"", ""Barbarian - Character Info"", ""Ranger - Character Info"""
"35","CHA","35","55","","13","""Character Info"", ""Animal Companion"", ""Druid (Animal Companion)"", ""Druid (Domain)"", ""Ranger - Archery"", ""Ranger - Character Info"", ""Ranger - Two-weapon fighting"", ""Ranger"", ""Bard"", ""Cleric"", ""Paladin"", ""Sorcerer"", ""Barbarian - Character Info"""
"36","Use Magical Device","36","4","","3","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"""
