"Frame number","Original","Translation","Count","Part of","File count","Files"
"0","d00","0","1","","1",""""""
"2","FEATS & SPECIAL ABILITIES","2","6","","5","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""World Walker - Character Info"", ""Psionics - Character Info"""
"3","LANGUAGES","3","8","","7","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""World Walker - Character Info"", ""NPC Group"", ""Party"", ""Psionics - Character Info"""
"4","SKILLS","4","17","","16","""Character Info"", ""Animal Companion"", ""Cavalier"", ""Inquisitor"", ""Eidolon"", ""Ronin"", ""Samurai"", ""World Walker - Character Info"", ""NPC Group"", ""NPC"", ""Party"", ""Psionics - Character Info"", ""Shaman"", ""Witch Hunter"", ""Barbarian - Character Info"", ""Ranger - Character Info"""
"5","CHARACTER","5","6","","5","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""World Walker - Character Info"", ""Psionics - Character Info"""
"6","ABILITIES","6","14","","13","""Character Info"", ""Animal Companion"", ""Samurai"", ""Lycanthrope"", ""World Walker - Character Info"", ""NPC"", ""Psionics - Character Info"", ""Panther Warrior"", ""Barbarian - Character Info"", ""Wild Shape"", ""Ranger - Character Info"", ""Cavalier"", ""Eidolon"""
"7","MALE","7","13","","11","""Character Info"", ""Animal Companion"", ""Psionics - Character Info"", ""Character Background"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"", ""Character Background - Extra"", ""World Walker - Character Info"", ""Build Character"", ""NPC"""
"8","FEMALE","8","13","","11","""Character Info"", ""Animal Companion"", ""Psionics - Character Info"", ""Character Background"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"", ""Character Background - Extra"", ""World Walker - Character Info"", ""Build Character"", ""NPC"""
"9","Size|Modifier","9","63","","18","""Character Info"", ""Combat"", ""Animal Companion"", ""Barbarian - Character Info"", ""Barbarian - Combat"", ""Wild Shape"", ""Monk - Combat"", ""Ranger - Character Info"", ""Ranger - Combat"", ""Eidolon - Combat"", ""Eidolon"", ""Lycanthrope"", ""World Walker - Character Info"", ""Monk - Combat (without Flurry of Blows)"", ""Build Character"", ""NPC"", ""Psionics - Character Info"", ""Panther Warrior"""
"10","Size","10","12","","8","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"", ""World Walker - Character Info"", ""Build Character"", ""Kingdom"", ""Psionics - Character Info"""
"11","Race","11","9","","8","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Character Background - Extra"", ""World Walker - Character Info"", ""NPC"", ""Psionics - Character Info"", ""Character Background"""
"12","Name","12","45","","44","""Character Info"", ""Paladin"", ""Oath against the Wyrm"", ""Oath against Undeath"", ""Barbarian - Character Info"", ""Oath of Chastity"", ""Oath of Loyalty"", ""Oath of Vengeance"", ""Oathbound Paladin"", ""Deep Walker"", ""Falconer"", ""Horse Lord"", ""Ronin"", ""Infiltrator"", ""Shapeshifter"", ""Skirmisher"", ""Ranger - Archery"", ""Trapper"", ""Urban Ranger"", ""Party"", ""Cryptic"", ""Dread"", ""Psionics - Character Info"", ""Samurai"", ""Psychic Warrior"", ""Wilder"", ""High Guard"", ""Imperial Man-at-arms"", ""Ranger - Character Info"", ""Khalid Asad"", ""Protectorate Artillerist"", ""Wyrdcaster"", ""Character Background"", ""Ranger - Two-weapon fighting"", ""Character Background - Extra"", ""Ranger"", ""Cavalier"", ""Witch"", ""Eidolon"", ""World Walker - Character Info"", ""Antipaladin"", ""Oath against Corruption"", ""Oath against Fiends"", ""Oath against Savagery"""
"13","rks","13","8","","6","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""World Walker - Character Info"", ""Build Character"", ""Psionics - Character Info"""
"14","hp","14","41","","16","""Character Info"", ""Combat"", ""Barbarian - Combat"", ""Monk - Combat"", ""Ranger - Character Info"", ""Ranger - Combat"", ""Eidolon - Combat"", ""Savage Skald"", ""World Walker - Character Info"", ""Monk - Combat (without Flurry of Blows)"", ""Horse Lord"", ""Build Character"", ""NPC"", ""Psionics - Character Info"", ""Animal Companion"", ""Barbarian - Character Info"""
"16","SURVIVAL","16","8","","7","""Character Info"", ""Animal Companion"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"", ""World Walker - Character Info"", ""Psionics - Character Info"""
"17","Class|Skills","17","7","Class|Skills|+3","6","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"", ""World Walker - Character Info"", ""Psionics - Character Info"""
"18","Track","18","32","","31","""Character Info"", ""Animal Companion"", ""Skirmisher"", ""Spirit Ranger"", ""Barbarian - Character Info"", ""Trapper"", ""Trophy Hunter"", ""Urban Ranger"", ""Warden"", ""Wild Stalker"", ""Psionics - Character Info"", ""High Guard"", ""Battle Scout"", ""Imperial Man-at-arms"", ""Khalid Asad"", ""Protectorate Artillerist"", ""Ranger - Archery"", ""Wyrdcaster"", ""Ranger - Character Info"", ""Ranger - Two-weapon fighting"", ""Ranger"", ""Inquisitor"", ""Eidolon"", ""Beast Master"", ""World Walker - Character Info"", ""Deep Walker"", ""Falconer"", ""Guide"", ""Horse Lord"", ""Infiltrator"", ""Shapeshifter"""
"29","INT","29","162","","54","""Character Info"", ""Animal Companion"", ""Chameleon"", ""Charlatan"", ""Rogue"", ""Cutpurse"", ""Driver"", ""Investigator"", ""Knife Master"", ""Pirate"", ""Poisoner"", ""Rake"", ""Ninja"", ""Roof Runner"", ""Sanctified Rogue"", ""Scout"", ""Wizard"", ""Sniper"", ""Spy"", ""Survivalist"", ""Swashbuckler"", ""Thug"", ""Trapsmith"", ""Feats"", ""Archmage"", ""Champion"", ""Guardian"", ""Hierophant"", ""Barbarian - Character Info"", ""Marshal"", ""Mythic"", ""Trickster"", ""Build Character"", ""NPC"", ""Lycanthrope"", ""Kingdom"", ""Aegis"", ""Cryptic"", ""Dread"", ""Psion (old)"", ""Ranger - Character Info"", ""Psion"", ""Psionics - Character Info"", ""Apothecary"", ""Protectorate Artillerist"", ""Spell Book (Large)"", ""Alchemist"", ""Witch"", ""Eidolon"", ""Magus"", ""World Walker - Character Info"", ""Acrobat"", ""Bandit"", ""Burglar"""
