"Frame number","Original","Translation","Count","Part of","Files","File count"
"3","RAGE!|Modifier","","1","","Character Info","1"
"3","RAGE!","","1","RAGE!|Modifier","Character Info","1"
"3","Modifier","","1","RAGE!|Modifier","Character Info","1"
"6","Fatigue|Modifier","","2","","Character Info","1"
"7","Damage Reduction 3/―","","1","","Character Info","1"
"7","Damage Reduction 3/","","1","Damage Reduction 3/―","Character Info","1"
"9","Trap Sense +5","","2","","Character Info","1"
"11","Indomitable Will","","2","","Character Info","1"
"13","Damage Reduction 5/―","","1","","Character Info","1"
"13","Damage Reduction 5/","","1","Damage Reduction 5/―","Character Info","1"
"16","Rage 6/day","","2","","Character Info","1"
"17","Mighty RAGE!","","2","","Character Info, Combat","2"
"17","Mighty","","2","Mighty RAGE!","Character Info, Combat","2"
"17","RAGE!","","2","Mighty RAGE!","Character Info, Combat","2"
"19","Trap Sense +6","","2","","Character Info","1"
"21","Tireless RAGE!","","1","","Character Info","1"
"21","Tireless","","1","Tireless RAGE!","Character Info","1"
"21","RAGE!","","1","Tireless RAGE!","Character Info","1"
"23","Greater RAGE!","","2","","Character Info, Combat","2"
"23","Greater","","2","Greater RAGE!","Character Info, Combat","2"
"23","RAGE!","","2","Greater RAGE!","Character Info, Combat","2"
"25","Rage 3/day","","2","","Character Info","1"
"28","Damage Reduction 4/―","","1","","Character Info","1"
"28","Damage Reduction 4/","","1","Damage Reduction 4/―","Character Info","1"
"29","Rage 5/day","","2","","Character Info","1"
"31","Damage Reduction 2/―","","1","","Character Info","1"
"31","Damage Reduction 2/","","1","Damage Reduction 2/―","Character Info","1"
"33","Trap Sense +3","","2","","Character Info","1"
"35","Damage Reduction 1/―","","1","","Character Info","1"
"35","Damage Reduction 1/","","1","Damage Reduction 1/―","Character Info","1"
"37","Trap Sense +2","","2","","Character Info","1"
"39","Improved Uncanny Dodge","","4","","Character Info, Combat","2"
"42","Trap Sense +4","","2","","Character Info","1"
"43","Rage 4/day","","2","","Character Info","1"
"45","Rage 2/day","","2","","Character Info","1"
"47","Trap Sense +1","","2","","Character Info","1"
"49","Uncanny Dodge","","4","","Character Info, Combat","2"
"52","Barbarian|Level","","2","","Character Info","1"
"53","RAGE! 1/day","","1","","Character Info","1"
"53","RAGE!","","1","RAGE! 1/day","Character Info","1"
"53","1/day","","1","RAGE! 1/day","Character Info","1"
"54","Illiteracy","","2","","Character Info","1"
"55","Fast Movement","","2","","Character Info","1"
"57","SKILLS","","22","","Character Info, Animal Companion, Blank Character Info, Extended Character Info, NPC Group, NPC, Party, Psicrystal, Psionic Character Info","9"
"58","CHARACTER","","12","","Character Info, Blank Character Info, Extended Character Info, Psionic Character Info","4"
"59","NOTES","","4","","Character Info, Party Funds","2"
"60","LANGUAGES","","18","","Character Info, Blank Character Info, Extended Character Info, NPC Group, Party, Psionic Character Info","6"
"61","BARBARIAN","","4","","Character Info, Cover","2"
"62","ABILITIES","","24","","Character Info, Animal Companion, Blank Character Info, Extended Character Info, Wild Shape, NPC, Psicrystal, Psionic Character Info, Shadowcaster","9"
"63","MALE","","18","","Character Info, Animal Companion, Blank Character Info, Extended Character Info, NPC, Character Background, Psionic Character Info","7"
"64","FEMALE","","18","","Character Info, Animal Companion, Blank Character Info, Extended Character Info, NPC, Character Background, Psionic Character Info","7"
"65","Size|Modifier","","42","","Character Info, Combat, Animal Companion, Blank Character Info, Extended Character Info, Extended Combat, Wild Shape, NPC, Psicrystal, Psionic Character Info, Psionic Combat","11"
"66","Size","","18","","Character Info, Animal Companion, Blank Character Info, Extended Character Info, Wild Shape, NPC, Psionic Character Info","7"
"67","Race","","16","","Character Info, Blank Character Info, Extended Character Info, NPC, Character Background, Psionic Character Info","6"
"68","Name","","28","","Character Info, Blank Character Info, Extended Character Info, Paladin, Party, Character Background, Extended Paladin, Hexblade, Psion, Psionic Character Info, Psychic Warrior, Wilder","12"
"69","SURVIVAL","","14","","Character Info, Animal Companion, Extended Character Info, Psicrystal, Psionic Character Info","5"
"70","Class Skills","","12","","Character Info, Blank Character Info, Extended Character Info, Psionic Character Info","4"
"71","Trained","","14","","Character Info, Animal Companion, Extended Character Info, Psicrystal, Psionic Character Info","5"
"72","Track","","14","","Character Info, Animal Companion, Extended Character Info, Psicrystal, Psionic Character Info","5"
"82","Barbarian","","2","","Character Info","1"
"89","DEX","","254","","Character Info, Combat, Animal Companion, Blank Character Info, Extended Character Info, Extended Combat, Wild Shape, NPC, Factotum, Psicrystal, Psionic Character Info, Psionic Combat, Soulknife v2, Soulknife","14"
"90","Knowledge:","","8","","Character Info, Extended Character Info","2"
"91","Use Rope","","12","","Character Info, Extended Character Info, Psicrystal, Psionic Character Info","4"
"92","CHA","","262","","Character Info, Animal Companion, Bard, Blank Character Info, Cleric, Extended Character Info, Paladin, Ranger, Sorcerer, NPC, Battle Dancer, Death Master, Jester, Mountebank, Sha'ir, Urban Druid, Dragon Shaman, Dread Necromancer, Extended Cleric, Extended Paladin, Factotum, Hexblade, Shugenja, Spellthief, Spirit Shaman, Soulborn, Divine Mind, Psicrystal, Psionic Character Info, Wilder, Anima Mage, Binder, Crusader, Truenamer, Sorcerer + Metamagic","35"
"93","Use Magic Device","","16","","Character Info, Extended Character Info, NPC Group, Party, Psicrystal, Psionic Character Info","6"
"95","Tumble","","12","","Character Info, Extended Character Info, Psicrystal, Psionic Character Info","4"
"97","STR","","126","","Character Info, Combat, Animal Companion, Blank Character Info, Extended Character Info, Extended Combat, Monk, Wild Shape, NPC, Factotum, Psicrystal, Psionic Character Info, Psionic Combat, Soulknife v2, Soulknife","15"
"98","Swim","","18","","Character Info, Animal Companion, Extended Character Info, NPC, Savant, Psicrystal, Psionic Character Info","7"
"100","x 2","","4","","Character Info, Extended Character Info","2"
"101","WIS","","172","","Character Info, Combat, Animal Companion, Blank Character Info, Cleric, Druid, Extended Character Info, Extended Combat, Monk, NPC, Archivist, Artificer, Extended Cleric, Factotum, Favoured Soul, Ninja, Spirit Shaman, Incarnate, Ardent, Divine Mind, Psicrystal, Psionic Character Info, Psionic Combat, Psychic Warrior, Swordsage","25"
"102","Survival","","20","","Character Info, Animal Companion, Extended Character Info, NPC Group, NPC, Party, Psicrystal, Psionic Character Info","8"
"104","Spot","","22","","Character Info, Animal Companion, Extended Character Info, NPC Group, NPC, Party, Savant, Psicrystal, Psionic Character Info","9"
"105","INT","","180","","Character Info, Animal Companion, Bard, Blank Character Info, Extended Character Info, Wizard, NPC, Savant, Beguiler, Duskblade, Factotum, Warmage, Wu Jen, Lurk, Psicrystal, Psion, Psionic Character Info, Focused Specialist Wizard, Sorcerer + Metamagic","19"
"107","Spellcraft","","16","","Character Info, Extended Character Info, NPC Group, Party, Psicrystal, Psionic Character Info","6"
"109","Sleight of Hand","","12","","Character Info, Extended Character Info, Psicrystal, Psionic Character Info","4"
"112","Sense Motive","","20","","Character Info, Animal Companion, Extended Character Info, NPC Group, NPC, Party, Psicrystal, Psionic Character Info","8"
"114","Search","","16","","Character Info, Animal Companion, Extended Character Info, NPC, Psicrystal, Psionic Character Info","6"
"116","Ride","","18","","Character Info, Extended Character Info, NPC Group, Party, Savant, Psicrystal, Psionic Character Info","7"
"118","Open Lock","","12","","Character Info, Extended Character Info, Psicrystal, Psionic Character Info","4"
"120","Move Silently","","20","","Character Info, Animal Companion, Extended Character Info, NPC Group, NPC, Party, Psicrystal, Psionic Character Info","8"
"123","Listen","","22","","Character Info, Animal Companion, Extended Character Info, NPC Group, NPC, Party, Savant, Psicrystal, Psionic Character Info","9"
"125","Jump","","16","","Character Info, Animal Companion, Extended Character Info, NPC, Psicrystal, Psionic Character Info","6"
"128","Intimidate","","12","","Character Info, Extended Character Info, Psicrystal, Psionic Character Info","4"
"129","- Size|  mod x4","","9","","Character Info, Extended Character Info, Psionic Character Info","3"
"130","+ Size|  diff x4","","9","","Character Info, Extended Character Info, Psionic Character Info","3"
"132","Hide","","22","","Character Info, Animal Companion, Extended Character Info, NPC Group, NPC, Party, Savant, Psicrystal, Psionic Character Info","9"
"135","Heal","","16","","Character Info, Extended Character Info, NPC Group, Party, Psicrystal, Psionic Character Info","6"
"137","Handle Animal","","16","","Character Info, Extended Character Info, NPC Group, Party, Psicrystal, Psionic Character Info","6"
"139","Gather Information","","16","","Character Info, Extended Character Info, NPC Group, Party, Psicrystal, Psionic Character Info","6"
"141","Forgery","","16","","Character Info, Extended Character Info, NPC Group, Party, Psicrystal, Psionic Character Info","6"
"143","Escape Artist","","16","","Character Info, Animal Companion, Extended Character Info, NPC, Psicrystal, Psionic Character Info","6"
"146","Disguise","","18","","Character Info, Extended Character Info, NPC Group, Party, Savant, Psicrystal, Psionic Character Info","7"
"148","Disable Device","","12","","Character Info, Extended Character Info, Psicrystal, Psionic Character Info","4"
"150","Diplomacy","","16","","Character Info, Extended Character Info, NPC Group, Party, Psicrystal, Psionic Character Info","6"
"152","Decipher Script","","16","","Character Info, Extended Character Info, NPC Group, Party, Psicrystal, Psionic Character Info","6"
"153","CON","","92","","Character Info, Combat, Animal Companion, Blank Character Info, Extended Character Info, Extended Combat, Wild Shape, NPC, Dragon Shaman, Dragonfire Adept, Incarnate, Soulborn, Totemist, Psicrystal, Psionic Character Info, Psionic Combat","16"
"154","Concentration","","16","","Character Info, Extended Character Info, NPC Group, Party, Psicrystal, Psionic Character Info","6"
"156","Climb","","20","","Character Info, Animal Companion, Extended Character Info, NPC Group, NPC, Party, Psicrystal, Psionic Character Info","8"
"159","Bluff","","12","","Character Info, Extended Character Info, Psicrystal, Psionic Character Info","4"
"161","Balance","","22","","Character Info, Animal Companion, Extended Character Info, NPC Group, NPC, Party, Savant, Psicrystal, Psionic Character Info","9"
"164","Appraise","","16","","Character Info, Extended Character Info, NPC Group, Party, Psicrystal, Psionic Character Info","6"
"165","= ECL + 3","","12","","Character Info, Blank Character Info, Extended Character Info, Psionic Character Info","4"
"166","Untrained","","14","","Character Info, Blank Character Info, Extended Character Info, Psicrystal, Psionic Character Info","5"
"168","Hit Die","","12","","Character Info, Blank Character Info, Extended Character Info, Psionic Character Info","4"
"169","Level|Adjustment","","14","","Character Info, Animal Companion, Blank Character Info, Extended Character Info, Psionic Character Info","5"
"170","Skill Ranks","","12","","Character Info, Blank Character Info, Extended Character Info, Psionic Character Info","4"
"171","Forbidden|During|RAGE!","","1","","Character Info","1"
"171","Forbidden|During","","1","Forbidden|During|RAGE!","Character Info","1"
"171","RAGE!","","1","Forbidden|During|RAGE!","Character Info","1"
"172","Armour|Check|Penalty","","10","","Character Info, Extended Character Info, Psionic Character Info","3"
"173","Misc","","164","","Character Info, Combat, Animal Companion, Bard, Blank Character Info, Cleric, Extended Character Info, Extended Combat, Monk, Paladin, Ranger, Wild Shape, NPC, Death Master, Jester, Mountebank, Savant, Dragon Shaman, Dread Necromancer, Duskblade, Extended Cleric, Extended Paladin, Factotum, Hexblade, Incarnate, Soulborn, Totemist, Ardent, Divine Mind, Lurk, Psicrystal, Psion, Psionic Character Info, Psionic Combat, Psychic Warrior, Soulknife v2, Soulknife, Wilder, Truenamer, Sorcerer + Metamagic","40"
"174","Skill|Bonus","","14","","Character Info, Blank Character Info, Extended Character Info, Psicrystal, Psionic Character Info","5"
"175","Racial,|Feats,|Synergy","","12","","Character Info, Blank Character Info, Extended Character Info, Psionic Character Info","4"
"176","Ranks","","18","","Character Info, Animal Companion, Blank Character Info, Extended Character Info, NPC, Psionic Character Info","6"
"177","Knowledge - INT|Profession - WIS","","12","","Character Info, Blank Character Info, Extended Character Info, Psionic Character Info","4"
"178","Other skills:|Craft - INT|Perform - CHA","","12","","Character Info, Blank Character Info, Extended Character Info, Psionic Character Info","4"
"179","Level","","56","","Character Info, Blank Character Info, Extended Character Info, Spell Book (Dense), Spell Book (Large), Spell Book, NPC, Artificer, Dragonfire Adept, Factotum, Warlock, Ardent, Divine Mind, Lurk, Psion, Psionic Character Info, Psychic Warrior, Wilder, Truenamer","19"
"180","CLASSES","","16","","Character Info, Blank Character Info, Cover, Extended Character Info, Psionic Character Info","5"
"181","Effective|Character|Level","","12","","Character Info, Blank Character Info, Extended Character Info, Psionic Character Info","4"
"182","Max|Ranks","","12","","Character Info, Blank Character Info, Extended Character Info, Psionic Character Info","4"
"183","EVIL","","86","","Character Info, Animal Companion, Blank Character Info, Cleric, Druid, Extended Character Info, Paladin, NPC Group, NPC, Party, Mountebank, Urban Druid, Archivist, Blank Spellcaster 2, Blank Spellcaster 3, Blank Spellcaster, Character Background, Dragon Shaman, Extended Cleric, Extended Paladin, Favoured Soul, Hexblade, Incarnate, Soulborn, Ardent, Divine Mind, Lurk, Psionic Character Info, Anima Mage, Binder, Shadowcaster","31"
"184","GOOD","","86","","Character Info, Animal Companion, Blank Character Info, Cleric, Druid, Extended Character Info, Paladin, NPC Group, NPC, Party, Mountebank, Urban Druid, Archivist, Blank Spellcaster 2, Blank Spellcaster 3, Blank Spellcaster, Character Background, Dragon Shaman, Extended Cleric, Extended Paladin, Favoured Soul, Hexblade, Incarnate, Soulborn, Ardent, Divine Mind, Lurk, Psionic Character Info, Anima Mage, Binder, Shadowcaster","31"
"185","CHAOTIC","","86","","Character Info, Animal Companion, Blank Character Info, Cleric, Druid, Extended Character Info, Paladin, NPC Group, NPC, Party, Mountebank, Urban Druid, Archivist, Blank Spellcaster 2, Blank Spellcaster 3, Blank Spellcaster, Character Background, Dragon Shaman, Extended Cleric, Extended Paladin, Favoured Soul, Hexblade, Incarnate, Soulborn, Ardent, Divine Mind, Lurk, Psionic Character Info, Anima Mage, Binder, Shadowcaster","31"
"186","LAWFUL","","86","","Character Info, Animal Companion, Blank Character Info, Cleric, Druid, Extended Character Info, Paladin, NPC Group, NPC, Party, Mountebank, Urban Druid, Archivist, Blank Spellcaster 2, Blank Spellcaster 3, Blank Spellcaster, Character Background, Dragon Shaman, Extended Cleric, Extended Paladin, Favoured Soul, Hexblade, Incarnate, Soulborn, Ardent, Divine Mind, Lurk, Psionic Character Info, Anima Mage, Binder, Shadowcaster","31"
"199","Item|Bonus","","18","","Character Info, Animal Companion, Blank Character Info, Extended Character Info, Wild Shape, NPC, Psionic Character Info","7"
"200","Ability|Modifier","","20","","Character Info, Animal Companion, Blank Character Info, Extended Character Info, Wild Shape, NPC, Psicrystal, Psionic Character Info","8"
"201","Ability|Score","","20","","Character Info, Animal Companion, Blank Character Info, Extended Character Info, Wild Shape, NPC, Psicrystal, Psionic Character Info","8"
"202","Ability Modifier = (Total Ability Score - 10) ÷ 2    (Round down)","","10","","Character Info, Blank Character Info, Extended Character Info, Psionic Character Info","4"
"203","CHARACTER SHEET","","12","","Character Info, Blank Character Info, Extended Character Info, Psionic Character Info","4"
