"Frame number","Original","Translation","Count","Part of","Files","File count"
"3","RAGE!|Modifier","","3","","Character Info, Barbarian - Character Info","2"
"3","RAGE!","","3","RAGE!|Modifier","Character Info, Barbarian - Character Info","2"
"3","Modifier","","3","RAGE!|Modifier","Character Info, Barbarian - Character Info","2"
"6","Fatigue|Modifier","","6","","Character Info, Barbarian - Character Info","2"
"7","Damage Reduction 3/―","","16","","Character Info, Fist of the Dragon, Armoured Hulk, Breaker, Brutal Pugilist, Drunken Brute, Elemental Kin, Hurler, Mounted Fury, Scarred Rager, Sea Reaver, Titan Mauler, True Primitive, Urban Barbarian, Wild Rager, Barbarian","16"
"7","Damage Reduction 3/","","16","Damage Reduction 3/―","Character Info, Fist of the Dragon, Armoured Hulk, Breaker, Brutal Pugilist, Drunken Brute, Elemental Kin, Hurler, Mounted Fury, Scarred Rager, Sea Reaver, Titan Mauler, True Primitive, Urban Barbarian, Wild Rager, Barbarian","16"
"9","Trap Sense +5","","14","","Character Info, Drunken Brute, Hurler, Mounted Fury, Urban Barbarian, Wild Rager, Barbarian","7"
"11","Indomitable Will","","36","","Character Info, Fist of the Dragon, Armoured Hulk, Breaker, Brutal Pugilist, Drunken Brute, Elemental Kin, Hurler, Invulnerable Rager, Mounted Fury, Savage Barbarian, Scarred Rager, Sea Reaver, Superstitious Barbarian, True Primitive, Urban Barbarian, Wild Rager, Barbarian","18"
"13","Damage Reduction 5/―","","16","","Character Info, Fist of the Dragon, Armoured Hulk, Breaker, Brutal Pugilist, Drunken Brute, Elemental Kin, Hurler, Mounted Fury, Scarred Rager, Sea Reaver, Titan Mauler, True Primitive, Urban Barbarian, Wild Rager, Barbarian","16"
"13","Damage Reduction 5/","","16","Damage Reduction 5/―","Character Info, Fist of the Dragon, Armoured Hulk, Breaker, Brutal Pugilist, Drunken Brute, Elemental Kin, Hurler, Mounted Fury, Scarred Rager, Sea Reaver, Titan Mauler, True Primitive, Urban Barbarian, Wild Rager, Barbarian","16"
"16","Rage 6/day","","2","","Character Info","1"
"17","Mighty RAGE!","","19","","Character Info, Combat, Fist of the Dragon, Armoured Hulk, Breaker, Brutal Pugilist, Drunken Brute, Elemental Kin, Hurler, Invulnerable Rager, Mounted Fury, Savage Barbarian, Scarred Rager, Sea Reaver, Superstitious Barbarian, Titan Mauler, True Primitive, Wild Rager, Barbarian","19"
"17","Mighty","","19","Mighty RAGE!","Character Info, Combat, Fist of the Dragon, Armoured Hulk, Breaker, Brutal Pugilist, Drunken Brute, Elemental Kin, Hurler, Invulnerable Rager, Mounted Fury, Savage Barbarian, Scarred Rager, Sea Reaver, Superstitious Barbarian, Titan Mauler, True Primitive, Wild Rager, Barbarian","19"
"17","RAGE!","","19","Mighty RAGE!","Character Info, Combat, Fist of the Dragon, Armoured Hulk, Breaker, Brutal Pugilist, Drunken Brute, Elemental Kin, Hurler, Invulnerable Rager, Mounted Fury, Savage Barbarian, Scarred Rager, Sea Reaver, Superstitious Barbarian, Titan Mauler, True Primitive, Wild Rager, Barbarian","19"
"19","Trap Sense +6","","14","","Character Info, Drunken Brute, Hurler, Mounted Fury, Urban Barbarian, Wild Rager, Barbarian","7"
"21","Tireless RAGE!","","18","","Character Info, Fist of the Dragon, Armoured Hulk, Breaker, Brutal Pugilist, Drunken Brute, Elemental Kin, Hurler, Invulnerable Rager, Mounted Fury, Savage Barbarian, Scarred Rager, Sea Reaver, Superstitious Barbarian, Titan Mauler, True Primitive, Wild Rager, Barbarian","18"
"21","Tireless","","18","Tireless RAGE!","Character Info, Fist of the Dragon, Armoured Hulk, Breaker, Brutal Pugilist, Drunken Brute, Elemental Kin, Hurler, Invulnerable Rager, Mounted Fury, Savage Barbarian, Scarred Rager, Sea Reaver, Superstitious Barbarian, Titan Mauler, True Primitive, Wild Rager, Barbarian","18"
"21","RAGE!","","18","Tireless RAGE!","Character Info, Fist of the Dragon, Armoured Hulk, Breaker, Brutal Pugilist, Drunken Brute, Elemental Kin, Hurler, Invulnerable Rager, Mounted Fury, Savage Barbarian, Scarred Rager, Sea Reaver, Superstitious Barbarian, Titan Mauler, True Primitive, Wild Rager, Barbarian","18"
"23","Greater RAGE!","","19","","Character Info, Combat, Fist of the Dragon, Armoured Hulk, Breaker, Brutal Pugilist, Drunken Brute, Elemental Kin, Hurler, Invulnerable Rager, Mounted Fury, Savage Barbarian, Scarred Rager, Sea Reaver, Superstitious Barbarian, Titan Mauler, True Primitive, Wild Rager, Barbarian","19"
"23","Greater","","19","Greater RAGE!","Character Info, Combat, Fist of the Dragon, Armoured Hulk, Breaker, Brutal Pugilist, Drunken Brute, Elemental Kin, Hurler, Invulnerable Rager, Mounted Fury, Savage Barbarian, Scarred Rager, Sea Reaver, Superstitious Barbarian, Titan Mauler, True Primitive, Wild Rager, Barbarian","19"
"23","RAGE!","","19","Greater RAGE!","Character Info, Combat, Fist of the Dragon, Armoured Hulk, Breaker, Brutal Pugilist, Drunken Brute, Elemental Kin, Hurler, Invulnerable Rager, Mounted Fury, Savage Barbarian, Scarred Rager, Sea Reaver, Superstitious Barbarian, Titan Mauler, True Primitive, Wild Rager, Barbarian","19"
"25","Rage 3/day","","2","","Character Info","1"
"28","Damage Reduction 4/―","","16","","Character Info, Fist of the Dragon, Armoured Hulk, Breaker, Brutal Pugilist, Drunken Brute, Elemental Kin, Hurler, Mounted Fury, Scarred Rager, Sea Reaver, Titan Mauler, True Primitive, Urban Barbarian, Wild Rager, Barbarian","16"
"28","Damage Reduction 4/","","16","Damage Reduction 4/―","Character Info, Fist of the Dragon, Armoured Hulk, Breaker, Brutal Pugilist, Drunken Brute, Elemental Kin, Hurler, Mounted Fury, Scarred Rager, Sea Reaver, Titan Mauler, True Primitive, Urban Barbarian, Wild Rager, Barbarian","16"
"29","Rage 5/day","","2","","Character Info","1"
"31","Damage Reduction 2/―","","16","","Character Info, Fist of the Dragon, Armoured Hulk, Breaker, Brutal Pugilist, Drunken Brute, Elemental Kin, Hurler, Mounted Fury, Scarred Rager, Sea Reaver, Titan Mauler, True Primitive, Urban Barbarian, Wild Rager, Barbarian","16"
"31","Damage Reduction 2/","","16","Damage Reduction 2/―","Character Info, Fist of the Dragon, Armoured Hulk, Breaker, Brutal Pugilist, Drunken Brute, Elemental Kin, Hurler, Mounted Fury, Scarred Rager, Sea Reaver, Titan Mauler, True Primitive, Urban Barbarian, Wild Rager, Barbarian","16"
"33","Trap Sense +3","","14","","Character Info, Drunken Brute, Hurler, Mounted Fury, Urban Barbarian, Wild Rager, Barbarian","7"
"35","Damage Reduction 1/―","","16","","Character Info, Fist of the Dragon, Armoured Hulk, Breaker, Brutal Pugilist, Drunken Brute, Elemental Kin, Hurler, Mounted Fury, Scarred Rager, Sea Reaver, Titan Mauler, True Primitive, Urban Barbarian, Wild Rager, Barbarian","16"
"35","Damage Reduction 1/","","16","Damage Reduction 1/―","Character Info, Fist of the Dragon, Armoured Hulk, Breaker, Brutal Pugilist, Drunken Brute, Elemental Kin, Hurler, Mounted Fury, Scarred Rager, Sea Reaver, Titan Mauler, True Primitive, Urban Barbarian, Wild Rager, Barbarian","16"
"37","Trap Sense +2","","14","","Character Info, Drunken Brute, Hurler, Mounted Fury, Urban Barbarian, Wild Rager, Barbarian","7"
"39","Improved Uncanny Dodge","","30","","Character Info, Combat, Fist of the Dragon, Breaker, Drunken Brute, Elemental Kin, Hurler, Invulnerable Rager, Savage Barbarian, Superstitious Barbarian, True Primitive, Urban Barbarian, Rogue, Barbarian, Ninja","15"
"42","Trap Sense +4","","14","","Character Info, Drunken Brute, Hurler, Mounted Fury, Urban Barbarian, Wild Rager, Barbarian","7"
"43","Rage 4/day","","2","","Character Info","1"
"45","Rage 2/day","","2","","Character Info","1"
"47","Trap Sense +1","","14","","Character Info, Drunken Brute, Hurler, Mounted Fury, Urban Barbarian, Wild Rager, Barbarian","7"
"49","Uncanny Dodge","","30","","Character Info, Combat, Fist of the Dragon, High Guard, Breaker, Drunken Brute, Elemental Kin, Hurler, Savage Barbarian, Superstitious Barbarian, True Primitive, Urban Barbarian, Rogue, Barbarian, Ninja","15"
"52","Barbarian|Level","","246","","Character Info, Fist of the Dragon, Armoured Hulk, Breaker, Brutal Pugilist, Drunken Brute, Elemental Kin, Hurler, Invulnerable Rager, Mounted Fury, Savage Barbarian, Scarred Rager, Sea Reaver, Superstitious Barbarian, Titan Mauler, True Primitive, Urban Barbarian, Wild Rager, Wild Stalker, Barbarian","20"
"53","RAGE! 1/day","","1","","Character Info","1"
"53","RAGE!","","1","RAGE! 1/day","Character Info","1"
"53","1/day","","1","RAGE! 1/day","Character Info","1"
"54","Illiteracy","","2","","Character Info","1"
"55","Fast Movement","","18","","Character Info, Fist of the Dragon, Brutal Pugilist, Elemental Kin, Invulnerable Rager, Savage Barbarian, Superstitious Barbarian, Wild Rager, Barbarian","9"
"57","SKILLS","","62","","Character Info, Animal Companion, Blank Character Info, Extended Character Info, NPC Group, NPC, Party, Psicrystal, Psionic Character Info, Barbarian - Character Info, Ranger - Character Info, Cavalier, Inquisitor, Eidolon, Psionics - Character Info, Shaman, Witch Hunter, Ronin, Samurai","19"
"58","CHARACTER","","30","","Character Info, Blank Character Info, Extended Character Info, Psionic Character Info, Barbarian - Character Info, Ranger - Character Info, Psionics - Character Info","7"
"59","NOTES","","10","","Character Info, Party Funds, Notes, NPC","4"
"60","LANGUAGES","","40","","Character Info, Blank Character Info, Extended Character Info, NPC Group, Party, Psionic Character Info, Barbarian - Character Info, Ranger - Character Info, Psionics - Character Info","9"
"61","BARBARIAN","","40","","Character Info, Cover, Fist of the Dragon, Armoured Hulk, Breaker, Brutal Pugilist, Drunken Brute, Elemental Kin, Hurler, Invulnerable Rager, Mounted Fury, Savage Barbarian, Scarred Rager, Sea Reaver, Superstitious Barbarian, Titan Mauler, True Primitive, Urban Barbarian, Wild Rager, Barbarian","20"
"62","ABILITIES","","58","","Character Info, Animal Companion, Blank Character Info, Extended Character Info, Wild Shape, NPC, Psicrystal, Psionic Character Info, Shadowcaster, Barbarian - Character Info, Ranger - Character Info, Panther Warrior, Cavalier, Eidolon, Lycanthrope, Psionics - Character Info, Samurai","17"
"63","MALE","","44","","Character Info, Animal Companion, Blank Character Info, Extended Character Info, NPC, Character Background, Psionic Character Info, Barbarian - Character Info, Ranger - Character Info, Eidolon, Psionics - Character Info","11"
"64","FEMALE","","44","","Character Info, Animal Companion, Blank Character Info, Extended Character Info, NPC, Character Background, Psionic Character Info, Barbarian - Character Info, Ranger - Character Info, Eidolon, Psionics - Character Info","11"
"65","Size|Modifier","","192","","Character Info, Combat, Animal Companion, Blank Character Info, Extended Character Info, Extended Combat, Wild Shape, NPC, Psicrystal, Psionic Character Info, Psionic Combat, Barbarian - Character Info, Barbarian - Combat, Ranger - Character Info, Ranger - Combat, Panther Warrior, Eidolon - Combat, Eidolon, Monk - Combat, Lycanthrope, Psionics - Character Info","21"
"66","Size","","38","","Character Info, Animal Companion, Blank Character Info, Extended Character Info, Wild Shape, NPC, Psionic Character Info, Barbarian - Character Info, Ranger - Character Info, Eidolon, Psionics - Character Info","11"
"67","Race","","34","","Character Info, Blank Character Info, Extended Character Info, NPC, Character Background, Psionic Character Info, Barbarian - Character Info, Ranger - Character Info, Psionics - Character Info","9"
"68","Name","","124","","Character Info, Blank Character Info, Extended Character Info, Paladin, Party, Character Background, Extended Paladin, Hexblade, Psion, Psionic Character Info, Psychic Warrior, Wilder, Barbarian - Character Info, Ranger - Archery, Ranger - Character Info, Ranger - Two-weapon fighting, Ranger, High Guard, Imperial Man-at-arms, Khalid Asad, Protectorate Artillerist, Wyrdcaster, Cavalier, Witch, Eidolon, Antipaladin, Oath against Corruption, Oath against Fiends, Oath against Savagery, Oath against the Wyrm, Oath against Undeath, Oath of Chastity, Oath of Loyalty, Oath of Vengeance, Oathbound Paladin, Deep Walker, Falconer, Horse Lord, Infiltrator, Shapeshifter, Skirmisher, Trapper, Urban Ranger, Psionics - Character Info, Ronin, Samurai","46"
"69","SURVIVAL","","36","","Character Info, Animal Companion, Extended Character Info, Psicrystal, Psionic Character Info, Barbarian - Character Info, Ranger - Character Info, Eidolon, Psionics - Character Info","9"
"70","Class Skills","","14","","Character Info, Blank Character Info, Extended Character Info, Psionic Character Info, Psychic Warrior","5"
"71","Trained","","36","","Character Info, Animal Companion, Extended Character Info, Psicrystal, Psionic Character Info, Barbarian - Character Info, Ranger - Character Info, Eidolon, Psionics - Character Info","9"
"72","Track","","90","","Character Info, Animal Companion, Extended Character Info, Psicrystal, Psionic Character Info, Barbarian - Character Info, Ranger - Archery, Ranger - Character Info, Ranger - Two-weapon fighting, Ranger, High Guard, Imperial Man-at-arms, Khalid Asad, Protectorate Artillerist, Wyrdcaster, Inquisitor, Eidolon, Battle Scout, Beast Master, Deep Walker, Falconer, Guide, Horse Lord, Infiltrator, Shapeshifter, Skirmisher, Spirit Ranger, Trapper, Trophy Hunter, Urban Ranger, Warden, Wild Stalker, Psionics - Character Info","33"
"82","Barbarian","","2","","Character Info","1"
"89","DEX","","700","","Character Info, Combat, Animal Companion, Blank Character Info, Extended Character Info, Extended Combat, Wild Shape, NPC, Factotum, Psicrystal, Psionic Character Info, Psionic Combat, Soulknife v2, Soulknife, Barbarian - Character Info, Barbarian - Combat, Fist of the Dragon, Ranger - Character Info, Ranger - Combat, Panther Warrior, Alchemist, Eidolon - Combat, Eidolon, Armoured Hulk, Breaker, Brutal Pugilist, Drunken Brute, Elemental Kin, Hurler, Invulnerable Rager, Mounted Fury, Savage Barbarian, Scarred Rager, Sea Reaver, Superstitious Barbarian, Titan Mauler, True Primitive, Urban Barbarian, Wild Rager, Wild Stalker, Fighter, Barbarian, Monk - Combat, Feats, Lycanthrope, Psionics - Character Info, Gunslinger","47"
"90","Knowledge:","","8","","Character Info, Extended Character Info","2"
"91","Use Rope","","12","","Character Info, Extended Character Info, Psicrystal, Psionic Character Info","4"
"92","CHA","","852","","Character Info, Animal Companion, Bard, Blank Character Info, Cleric, Extended Character Info, Paladin, Ranger, Sorcerer, NPC, Battle Dancer, Death Master, Jester, Mountebank, Sha'ir, Urban Druid, Dragon Shaman, Dread Necromancer, Extended Cleric, Extended Paladin, Factotum, Hexblade, Shugenja, Spellthief, Spirit Shaman, Soulborn, Divine Mind, Psicrystal, Psionic Character Info, Wilder, Anima Mage, Binder, Crusader, Truenamer, Sorcerer + Metamagic, Barbarian - Character Info, Ranger - Archery, Ranger - Character Info, Ranger - Two-weapon fighting, High Guard, Imperial Man-at-arms, Khalid Asad, Protectorate Artillerist, Wyrdcaster, Alchemist, Oracle, Eidolon, Summoner, Animal Speaker, Arcane Duelist, Archaologist, Archivist, Celebrity, Court Bard, Daredevil, Demagogue, Dervish Dancer, Detective, Dirge Bard, Geisha, Magician, Sandman, Savage Skald, Sea Singer, Songhealer, Sound Striker, Street Performer, Blight Druid (Domain), Blight Druid (Familiar), Antipaladin, Oath against Corruption, Oath against Fiends, Oath against Savagery, Oath against the Wyrm, Oath against Undeath, Oath of Charity, Oath of Chastity, Oath of Loyalty, Oath of Vengeance, Oathbound Paladin, Battle Scout, Beast Master, Deep Walker, Guide, Horse Lord, Infiltrator, Shapeshifter, Skirmisher, Spirit Ranger, Trapper, Urban Ranger, Warden, Wild Stalker, Crossblooded Sorcerer, Druid (Animal Companion), Druid (Domain), Feats, Lycanthrope, Psionics - Character Info, Priest, Shaman, Witch Hunter, Ninja","103"
"93","Use Magic Device","","16","","Character Info, Extended Character Info, NPC Group, Party, Psicrystal, Psionic Character Info","6"
"95","Tumble","","12","","Character Info, Extended Character Info, Psicrystal, Psionic Character Info","4"
"97","STR","","434","","Character Info, Combat, Animal Companion, Blank Character Info, Extended Character Info, Extended Combat, Monk, Wild Shape, NPC, Factotum, Psicrystal, Psionic Character Info, Psionic Combat, Soulknife v2, Soulknife, Barbarian - Character Info, Barbarian - Combat, Fist of the Dragon, Ranger - Character Info, Ranger - Combat, Panther Warrior, Alchemist, Eidolon - Combat, Eidolon, Armoured Hulk, Breaker, Brutal Pugilist, Drunken Brute, Elemental Kin, Hurler, Invulnerable Rager, Mounted Fury, Savage Barbarian, Scarred Rager, Sea Reaver, Superstitious Barbarian, Titan Mauler, True Primitive, Urban Barbarian, Wild Rager, Wild Stalker, Fighter, Barbarian, Monk - Combat, Feats, Lycanthrope, Psionics - Character Info","47"
"98","Swim","","48","","Character Info, Animal Companion, Extended Character Info, NPC, Savant, Psicrystal, Psionic Character Info, Barbarian - Character Info, Ranger - Character Info, Eidolon, NPC Group, Party, Psionics - Character Info","13"
"100","x 2","","4","","Character Info, Extended Character Info","2"
"101","WIS","","540","","Character Info, Combat, Animal Companion, Blank Character Info, Cleric, Druid, Extended Character Info, Extended Combat, Monk, NPC, Archivist, Artificer, Extended Cleric, Factotum, Favoured Soul, Ninja, Spirit Shaman, Incarnate, Ardent, Divine Mind, Psicrystal, Psionic Character Info, Psionic Combat, Psychic Warrior, Swordsage, Cleric of the Kaga, Janissary, Barbarian - Character Info, Barbarian - Combat, Ranger - Archery, Ranger - Character Info, Ranger - Combat, Ranger - Two-weapon fighting, Ranger, High Guard, Imperial Man-at-arms, Khalid Asad, Protectorate Artillerist, Wyrdcaster, Alchemist, Inquisitor, Eidolon - Combat, Eidolon, Blight Druid (Domain), Blight Druid (Familiar), Battle Scout, Beast Master, Deep Walker, Falconer, Guide, Horse Lord, Infiltrator, Shapeshifter, Skirmisher, Spirit Ranger, Trapper, Trophy Hunter, Urban Ranger, Warden, Wild Stalker, Druid (Animal Companion), Druid (Domain), Monk - Combat, Feats, Lycanthrope, Psionics - Character Info, Priest, Witch Hunter, Gunslinger","69"
"102","Survival","","48","","Character Info, Animal Companion, Extended Character Info, NPC Group, NPC, Party, Psicrystal, Psionic Character Info, Barbarian - Character Info, Ranger - Character Info, Eidolon, Psionics - Character Info","12"
"104","Spot","","22","","Character Info, Animal Companion, Extended Character Info, NPC Group, NPC, Party, Savant, Psicrystal, Psionic Character Info","9"
