Original,Part of,Translation
Enforce law and order,"Enforce law and order – If present, -1 unrest at upkeep",Egzekwuje prawo i porządek
"– If present,","Enforce law and order – If present, -1 unrest at upkeep","- Jeśli obecny, "
unrest at upkeep,"Enforce law and order – If present, -1 unrest at upkeep",zamieszek na utrzymanie
TOUCH,TOUCH ARMOUR CLASS,DOTYK
ARMOUR CLASS,TOUCH ARMOUR CLASS,KLASA PANCERZA
RAGE,"If you fail a will save against a mind-affecting effect,|at the start of your next turn you can try again.|If you succeed, you RAGE and are CONFUSED.",SZAŁ
Two-weapon Defence,Two-weapon Defence    +1 shield bonus to AC for using two weapons (+2 if fighting defensively),Obronna Waka Dwoma Orężami
+1 shield bonus to AC for using two weapons (+2 if fighting defensively),Two-weapon Defence    +1 shield bonus to AC for using two weapons (+2 if fighting defensively),+1 premii z tarczy do KP za używanie dwóch broni (+2 jeśli walczy defensywnie)
POINTS,MIND BLADE SPECIAL ABILITY POINTS,PUNKTY
CRITICAL,CRITICAL EFFECTS,KRYTYCZNE
EFFECTS,CRITICAL EFFECTS,EFEKTY
Double Slice,Double Slice    No damage penalty,Podwójne Cięcie
No damage penalty,Double Slice    No damage penalty,Brak kar do obrażeń
ADJUSTMENT,MAX DEFENSIVE|ADJUSTMENT,DOSTOSOWANIE
Level,25’+ 5’ × (Level ÷ 2),Poziom
DURATION,NAUSEATED|DURATION,CZAS TRWANIA
CMD,CMD BONUS,OMB
BONUS,CMD BONUS,PREMIA
Fast Movement,Fast Movement +40 ft,Szybkie Poruszanie się
+40 ft,Fast Movement +40 ft,+12m
Hammer the Gap,Hammer the Gap    On a successful attack,Młotem w Pysk
On a successful attack,Hammer the Gap    On a successful attack,Przy udanym ataku
HEALING,HEALING|HIT POINTS,LECZENIE
HIT POINTS,HEALING|HIT POINTS,PW
1 pt per extra range increment,Cost: 1 pt per extra range increment,1 ptk na przyrost zasięgu
Wild Empathy,Wild Empathy|Improve the attitude of an animal,Empatia z Dziczą
Improve the attitude of an animal,Wild Empathy|Improve the attitude of an animal,Doskonali postępowanie ze zwierzętami
2 ki points,Heal somebody else’s wounds - 2 ki points,2 punkty ki
Duration,RAGE|Duration,Czas Trwania
CHANNEL,CHANNEL RANGE,KIERUNKOWANIE
Pack Attack,Pack Attack    Ally’s attack allows you to take 5ft step,Sfora
Ally’s attack allows you to take,Pack Attack    Ally’s attack allows you to take 5ft step,Atak sprzymierzeńca pozwala Ci wykonać
5ft,Pack Attack    Ally’s attack allows you to take 5ft step,"1,5m"
step,Pack Attack    Ally’s attack allows you to take 5ft step,krok
