Original,Part of,Translation
Level,"",Poziom
Misc,"",Inne
CHA,"",CHA
WIS,"",RZT
DEX,"",ZR
INT,"",INT
ft,"",m
PREPARED SPELLS,"",PRZYGOTOWANE CZARY
sq,"",cm
Domain Spell,"",Czar Domenowy
Caster|Level,"",Poziom|Czarującego
STR,"",S
(Round down),"",(Zaokrąglane w dół)
AC,"",KP
Spell|Save DC,"",ST Rzutu|Obronnego
Base|Spells,"",Czary|Bazowe
SPELLS,"",CZARY
Spells|per day,"",Czary|na dzień
rds,"",rund
DC,"",ST
Rogue|Level,"",Poziom|Łotrzyka
CON,"",BD
Ranger|Level,"",Poziom|Tropiciela
Barbarian|Level,"",Poziom|Barbarzyńcy
SCROLLS,"",ZWOJE
Concentration,"",Koncentracja
POTIONS,"",MIKSTURY
Monk|Level,"",Poziom|Mnicha
Druid|Level,"",Poziom|Druida
EVIL,"",ZŁY
LAWFUL,"",PRAWORZĄDNY
CHAOTIC,"",CHAOTYCZNY
GOOD,"",DOBRY
Paladin|Level,"",Poziom|Paladyna
lb,"",kg
Attack Bonus,"",Premia do ataku
Damage,"",Obrażenia
Range,"",Zasięg
(Round up),"",(Zaokrąglane w górę)
Bard|Level,"",Poziom|Barda
Critical,"",Krytyk
d6,"",k6
Monk Level,"",Poziom Mnicha
Spell Save DC = 10 + WIS + Spell Level,"",ST Rz. Obr. = 10 + RZT + Poziom Czaru
Bonus Spells,"",Premiowe Czary
Tier,"",Poziom
Type,"",Rodzaj
Size|Modifier,"",Modyfikator|z Rozmiaru
RAGE!,"",SZAŁ!
CHARGES,"",ŁADUNKI
Level|Bonus,"",Poziomy|Premiowe
hp,"",pw
Granted Power,"",Zesłana Moc
WANDS,"",RÓŻDŻKI
Name,"",Imię
Evasion,"",Uchylanie
Uses|per day,"",Użycia|na dzień
Domain,"",Doemna
WILD EMPATHY,"",WIĘŹ Z DZICZĄ
WIS - 4,"",RZT - 4
WIS - 12,"",RZT - 12
WIS - 8,"",RZT - 8
