Original,Part of,Translation
90 ft,Slow Fall 90 ft,27m
Wild Shape,Wild Shape|Become any small or medium animal,Forma Selvagem
Become any small or medium animal,Wild Shape|Become any small or medium animal,Torna-se qualquer animal médio ou pequeno
TALENTS,TALENTS|KNOWN,TALENTOS
KNOWN,TALENTS|KNOWN,CONHECIDOS
+20 ft,Fast Movement +20 ft,+6m
FLAT-FOOTED,FLAT-FOOTED ARMOUR CLASS,SURPRESA
ARMOUR CLASS,FLAT-FOOTED ARMOUR CLASS,CLASSE DE ARMADURA
USES,USES|PER DAY,USOS
PER DAY,USES|PER DAY,POR DIA
DAMAGE,DAMAGE|REDUCTION,Redução de
REDUCTION,DAMAGE|REDUCTION,Dano
ft,20 ft  4 sq,m
Darkvision 60ft,Darkvision 60ft| • Can see without any light at all| • Invisible objects are still invisible| • Darkvision is black and white,Visão no Escuro 18m
WILL,WILL|SAVE DC,VONTADE
WILL|SAVE,WILL|SAVE DC,VONTADE|RESISTÊNCIA
SAVE DC,WILL|SAVE DC,CD DE RESISTÊNCIA
DC,WILL|SAVE DC,CD
REFLEX,REFLEX SAVE,REFLEXO
SAVE,REFLEX SAVE,RESISTÊNCIA
Bonus Spells,Bonus Spells|WIS,Magias Bônus
WIS,Bonus Spells|WIS,SAB
20ft,Treat unarmed attacks as magic weapons|Increase range of a thrown object 20ft - 1 ki point,6m
KI POOL,KI POOL|CAPACITY,PISCINA DE KI
CAPACITY,KI POOL|CAPACITY,CAPACIDADE
RAGE!,RAGE!  DURATION|PER DAY,FÚRIA!
DURATION,RAGE!  DURATION|PER DAY,DURAÇÃO
PER DAY,RAGE!  DURATION|PER DAY,POR DIA
RAGE!,RAGE!|TODAY,FÚRIA!
TODAY,RAGE!|TODAY,HOJE
DURATION,DURATION|PER DAY,DURAÇÃO
PER DAY,DURATION|PER DAY,POR DIA
Acrobatics DC = Opponent’s,Acrobatics DC = Opponent’s CMD,CD de Acrobacia = do Oponente
CMD,Acrobatics DC = Opponent’s CMD,MCD
80 ft,Slow Fall 80 ft,24m
CONSTITUTION|SCORE,CONSTITUTION|SCORE|BONUS,CONSTITUIÇÃO
