Original,Part of,Translation
Level,"",Nível
Misc,"",Outros
CHA,"",CAR
WIS,"",SAB
DEX,"",DES
INT,"",INT
ft,"",m
PREPARED SPELLS,"",MAGIAS PREPARADAS
sq,"",m²
Domain Spell,"",Magia do Donínio
Caster|Level,"",Conjurador|Nível
STR,"",FOR
(Round down),"",(Arredonda para Baixo)
AC,"",CA
Spell|Save DC,"",Teste de|Resistência CD
Base|Spells,"",Base|Magia
SPELLS,"",MAGIAS
Spells|per day,"",Magias|por dia
rds,"",rds
DC,"",CD
Rogue|Level,"",Nível de|Ladino
CON,"",CON
Ranger|Level,"",Nível de|Ranger
Barbarian|Level,"",Nível de|Bárbaro
SCROLLS,"",PERGAMINHOS
Concentration,"",Concentração
POTIONS,"",POÇÕES
Monk|Level,"",Nível de|Monge
Druid|Level,"",Nível de|Druida
GOOD,"",BOM
LAWFUL,"",LEAL
CHAOTIC,"",CAÓTICO
EVIL,"",MAL
Paladin|Level,"",Nível de|Paladino
lb,"",kg
Attack Bonus,"",Bônus de Ataque
Damage,"",Dano
Range,"",Alcance
(Round up),"",(Arredonda para Cima)
Bard|Level,"",Nível de|Bardo
Critical,"",Crítico
d6,"",d6
Monk Level,"",Nível de Monge
Bonus Spells,"",Magias Bônus
Spell Save DC = 10 + WIS + Spell Level,"",Teste de Resistência CD = 10 + SAB + Nível da Magia
Tier,"",Nível
Type,"",Tipo
Size|Modifier,"",Modificador de|Tamanho
RAGE!,"",FÚRIA!
CHARGES,"",CARGAS
Level|Bonus,"",Nível|Bônus
hp,"",hp
Granted Power,"",Poder Garantido
WANDS,"",VARINHAS
Name,"",Nome
Uses|per day,"",Usos|Diários
Evasion,"",Evasão
WILD EMPATHY,"",EMPATIA COM A NATUREZA
Domain,"",Domínio
WIS - 4,"",SAB - 4
WIS - 12,"",SAB - 12
WIS - 8,"",SAB - 8
WILD EMPATHY,WILD EMPATHY|BONUS,EMPATIA COM A NATUREZA
BONUS,WILD EMPATHY|BONUS,BÔNUS
Manifester|Level,"",Nível de|Manifestação
Druid Level,"",Nível de Druida
ANIMAL COMPANION,"",COMPANHEIRO ANIMAL
ARCANE SPELL FAILURE,ARCANE SPELL FAILURE THRESHOLD,FALHA ARCANA
THRESHOLD,ARCANE SPELL FAILURE THRESHOLD,LIMIAR
Creature Type,"",Tipo da Criatura
Speciality Spell,"",Magia Especializada
Damage Reduction,"",Redução de Dano
No action this round|Lose,No action this round|Lose DEX bonus to AC; -2 AC,Sem ação nesta rodada|Perde
DEX,No action this round|Lose DEX bonus to AC; -2 AC,DES
bonus to,No action this round|Lose DEX bonus to AC; -2 AC,e ganha
AC,No action this round|Lose DEX bonus to AC; -2 AC,CA
CMD,"",DMC
WILD SHAPE,"",FORMA SELVAGEM
+ Level,"",+ Nível
Properties,"",Patrimônio
Track,"",Rastrear
Distance,"",Distância
KNOWN SPELLS,"",MAGIAS CONHECIDAS
Spell Save DC = 10 + CHA + Spell Level,"",Resistência a Magia CD = 10 + CAR + Nível da Magia
5ft,"",1.5m
Times Today,"",Hoje
at half speed,"",com metade da velocidade
Times per day,"",Vezes por dia
+10 to move at full speed,"",+3m ao mover-se em velocidade máxima
10ft,"",3m
Spells|Known,"",Magias|Conhecidas
ARMOUR CLASS,"",CLASSE DE ARMADURA
Weight,"",Peso
Bard Level,"",Nível de Bardo
KI POOL,"",Piscina de KI
NATURE BOND,"",LIGAÇÃO COM A NATUREZA
Spell Resistance,"",Resistência Mágica
Uncanny Dodge,"",Esquiva Sobrenatural
Improved Uncanny Dodge,"",Esquiva Sobrenatural Aprimorada
Wild Empathy,Wild Empathy|Improve the attitude of an animal,Empatia com a Natureza
Improve the attitude of an animal,Wild Empathy|Improve the attitude of an animal,Melhora a Atitude de um Animal
or,"",ou
CHA - 8,"",CAR - 8
Timeless Body,"Timeless Body|No longer age, cannot be magically aged",Corpo Atemporal
"No longer age, cannot be magically aged","Timeless Body|No longer age, cannot be magically aged","Não envelhece, ignora magias de envelhecimento"
BONUS FEATS,"",TALENTO BÔNUS
CHA - 12,"",CHA - 12
Nature Sense,Nature Sense|+2 to Knowledge (nature) and Survival,Senso da Natureza
+2 to Knowledge (nature) and Survival,Nature Sense|+2 to Knowledge (nature) and Survival,+2 em Conhecimento (natureza) e em Sobrevivência
CHA - 4,"",CHA - 4
Cleric|Level,"",Nível de|Clérigo
2d8,"",2d8
SPEED,"",VELOCIDADE
FORTITUDE|SAVE,FORTITUDE|SAVE DC,Fortitude|Resistência
DC,FORTITUDE|SAVE DC,CD
Wild Shape,Wild Shape|Become any small or medium animal,Forma Selvagem
Become any small or medium animal,Wild Shape|Become any small or medium animal,Torna-se qualquer animal médio ou pequeno
d8,"",d8
Acrobatics,"",Acrobacia
Deflection|Modifier,"",Modificador de|Deflexão
Cost,"",Custo
2d6,"",2d6
BAB,"",BBA
d10,"",d10
DRUID,"",DRÚIDA
Conditional Modifiers,"",Modificadores Condicionais
ROGUE TALENTS,"",TALENTOS DE LADINO
TALENTS,TALENTS|KNOWN,TALENTOS
KNOWN,TALENTS|KNOWN,CONHECIDOS
SKILLS,"",PERÍCIAS
Ammo,"",Munição
SNEAK ATTACK,"",ATAQUE FURTIVO
Bonus Spells,Bonus Spells|WIS,Magias Bônus
WIS,Bonus Spells|WIS,SAB
Racial,"",Racial
MASTER STRIKE,MASTER STRIKE|FORTITUDE DC,ATAQUE MESTRE
FORTITUDE DC,MASTER STRIKE|FORTITUDE DC,Fortitude CD
MASTER STRIKE,"",ATAQUE MESTRE
SNEAK DAMAGE,SNEAK DAMAGE|BONUS,DANO FURTIVO
BONUS,SNEAK DAMAGE|BONUS,BÔNUS
Base|Attack Bonus,"",Bônus|Base de Ataque
Uses Today,"",Hoje
DEITY,"",DIVINDADE
Advanced Talents,"",Talentos Avançados
"Master strike cannot be used again on the same target within|24 hours, whether they pass the Fortitude save or not.","","Ataque mestre não pode ser usado novamente no mesmo alvo em|24h, passando ou não no teste de Fortitude."
FORTITUDE,FORTITUDE SAVE,Fortitude
SAVE,FORTITUDE SAVE,Resistência
Special Ammo,"",Munição Especial
Unarmed Strike,"",Ataque Desarmado
Survival|Bonus,"",Sobrevivência|Bônus
"From level 10, a Rogue|can take Advanced Talents","","No nível 10, um Ladino|pode adquirir Talentos Avançados"
WILL,WILL SAVE DC,VONTADE
SAVE DC,WILL SAVE DC,RESISTÊNCIA CD
