Original,Part of,Translation
Two-weapon Defence,Two-weapon Defence    +1 shield bonus to AC for using two weapons (+2 if fighting defensively),Defensa con dos armas
+1 shield bonus to AC for using two weapons (+2 if fighting defensively),Two-weapon Defence    +1 shield bonus to AC for using two weapons (+2 if fighting defensively),+1 bonus escudo a CA por usar 2 armas (+2 si luchas defensivamente)
1 ki point,Treat unarmed attacks as magic weapons|Increase range of attack by 50ft - 1 ki point,1 punto ki
FLURRY OF BLOWS,FLURRY OF BLOWS|BASE ATTACK BONUS,BONUS ATAQUE BASE
BASE ATTACK BONUS,FLURRY OF BLOWS|BASE ATTACK BONUS,RÁFAGA DE GOLPES
"stability,","+3 stability, +4bp consumption","Estabilidad,"
+4bp,"+3 stability, +4bp consumption",+4bp
consumption,"+3 stability, +4bp consumption",consumo
BONUS,NATURAL TOUGHNESS|BONUS,BONUS
Double Slice,Double Slice    Add your full STR to damage with an off-hand weapon,Doble tajo
Add your full,Double Slice    Add your full STR to damage with an off-hand weapon,Añada tu completo
STR,Double Slice    Add your full STR to damage with an off-hand weapon,FUE
to damage with an off-hand weapon,Double Slice    Add your full STR to damage with an off-hand weapon,al daño con arma en mano torpe
"If target charged, gain +2 on","If target charged, gain +2 on CMB and +2 to the save DC","Si el objetivo ha cargado, gana +2 a"
CMB,"If target charged, gain +2 on CMB and +2 to the save DC",BMC
and +2 to the save DC,"If target charged, gain +2 on CMB and +2 to the save DC",y +2 a la CD de Salv.
Feint Partner,"Feint Partner    When ally feints, enemy loses DEX bonus to AC",Compañero de finta
"When ally feints, enemy loses","Feint Partner    When ally feints, enemy loses DEX bonus to AC","Cuando el aliado finta, el enemigo pierde "
DEX,"Feint Partner    When ally feints, enemy loses DEX bonus to AC",DES
bonus to,"Feint Partner    When ally feints, enemy loses DEX bonus to AC",bonus a
AC,"Feint Partner    When ally feints, enemy loses DEX bonus to AC",CA
DEFLECTION,DEFLECTION|BONUS,BON
BONUS,DEFLECTION|BONUS,DESVÍO
TRICKS,TRICKS|KNOWN,TRUCOS
KNOWN,TRICKS|KNOWN,CONOCIDOS
RAGE!,RAGE! POWERS |KNOWN,PODERES
POWERS,RAGE! POWERS |KNOWN,CONOCIDOS
KNOWN,RAGE! POWERS |KNOWN,FURIA!
BONUS,DEVICE|BONUS,BONUS
Inflict extra damage -,Inflict extra damage - 1 ki point,Inflige daño extra -
1 ki point,Inflict extra damage - 1 ki point,1 punto ki
WILL|SAVE,WILL|SAVE|BONUS,SALV|VOL
BONUS,WILL|SAVE|BONUS,BONUS
MAX HIT DICE,TO DESTROY CREATURE |MAX HIT DICE,DADOS DE GOLPE MAX.
Death or Glory,"Death or Glory    +4 (+1 at levels 11, 16, 20)",Muerte o Gloria
"at levels 11, 16, 20)","Death or Glory    +4 (+1 at levels 11, 16, 20)","a niveles 11, 16, 20)"
Escape Route,Escape Route    Don’t provoke AoO when adjacent to an ally,Ruta de Escape
Don’t provoke AoO when adjacent to an ally,Escape Route    Don’t provoke AoO when adjacent to an ally,No provoca AdO cuando está adyacente a un aliado
DC,DC    5,CD
BONUS,AGILE|BONUS,BONUS
OPPOSED,OPPOSED SCHOOLS,OPUESTAS
SCHOOLS,OPPOSED SCHOOLS,ESCUELAS
TRAPS,TRAPS|PER DAY,TRAMPAS
PER DAY,TRAPS|PER DAY,AL DÍA
Fast Movement,Fast Movement +60 ft,Movimiento Rápido
+60 ft,Fast Movement +60 ft,+60 ft
ft,30 ft,pies
RAGE!,RAGE! CONVERSION,FURIA!
CONVERSION,RAGE! CONVERSION,CONVERSIÓN
DAMAGE,DAMAGE BONUS,DAÑO
BONUS,DAMAGE BONUS,BONUS
MILITARY,MILITARY    Create armed units (comes from allocation for settling towns),MILITAR
Create armed units (comes from allocation for settling towns),MILITARY    Create armed units (comes from allocation for settling towns),Crea unidades armadas (viene de 
RAGE,RAGE POWERS |KNOWN,FURIA
POWERS,RAGE POWERS |KNOWN,PODERES
KNOWN,RAGE POWERS |KNOWN,CONOCIDOS
AC,"Mounted Shield    Add your shield bonus to mount’s AC, and to Mounted Combat",CA
EVIL DAMAGE,EVIL DAMAGE|BONUS,BONUS DAÑO
BONUS,EVIL DAMAGE|BONUS,MALIGNO
Precise Strike,Precise Strike    When flanking,Golpe Preciso
When flanking,Precise Strike    When flanking,Cuando flanquea
Sneaking Precision,Sneaking Precision    Apply a critical effect to the,Precisión furtiva
Apply a critical effect to the,Sneaking Precision    Apply a critical effect to the,Aplicas un efecto crítico al
Gain 1hp on a successful melee attack|Gain,Gain 1hp on a successful melee attack|Gain WIS hp on a confirmed critical attack,Gana 1pg con golpe melee exitoso|Gana
WIS,Gain 1hp on a successful melee attack|Gain WIS hp on a confirmed critical attack,SAB
hp on a confirmed critical attack,Gain 1hp on a successful melee attack|Gain WIS hp on a confirmed critical attack,pg en crítico confirmado
BONUS,NAKED COURAGE|BONUS,BONUS
GOOD DAMAGE,GOOD DAMAGE|BONUS,DAÑO BUENO
BONUS,GOOD DAMAGE|BONUS,BONUS
CMD,CMD BONUS,BONUS
BONUS,CMD BONUS,BMC
BONUS,MAGICAL TALENT|BONUS,BONUS
HEALING,SPIRIT|HEALING,CURACIÓN
"On a hit, Fort (DC 10 + ½ level +","On a hit, Fort (DC 10 + ½ level + WIS) or stunned for 1 round","Si golpeado, Fort (CD 10 + ½ Nivel +"
WIS,"On a hit, Fort (DC 10 + ½ level + WIS) or stunned for 1 round",SAB
) or stunned for 1 round,"On a hit, Fort (DC 10 + ½ level + WIS) or stunned for 1 round",) o aturdido durante 1 asalto
DC,DC 20,CD
POOL,ENHANCEMENT|POOL,RESERVA
AC,"As a swift action, make a wisdom check (above). If successful, gain +2 to attack |until the end of your turn, and ignore damage reduction and hardness.|Alternatively, add half your level to Sense Motive, Reflex saves and a dodge bonus to AC until your next turn.",CA
STABILITY,"STABILITY   On success, -1 unrest or add 1bp; on failure, +1 unrest; on failure by 4, +d4 unrest",ESTABILIDAD
"On success, -1 unrest or add 1bp; on failure, +1 unrest; on failure by 4, +d4 unrest","STABILITY   On success, -1 unrest or add 1bp; on failure, +1 unrest; on failure by 4, +d4 unrest","Con éxito, -1 al malestar o añade 1 pc; con fallo, +1 al malestar; Con fallo por +4, +d4 malestar"
HIT POINTS,BASIC HEALING|HIT POINTS,PUNTOS GOLPE
Slow Fall,Slow Fall 50 ft,Caída lentificada
50 ft,Slow Fall 50 ft,50 ft
MASTER STRIKE,MASTER STRIKE|FORTITUDE DC,CD FORTALEZA
FORTITUDE DC,MASTER STRIKE|FORTITUDE DC,GOLPE MAESTRO
Damage Reduction 5/,Damage Reduction 5/―,Reducción Daño 5/
RAGE,RAGE  DURATION|PER DAY,FURIA
DURATION,RAGE  DURATION|PER DAY,DURACIÓN
PER DAY,RAGE  DURATION|PER DAY,AL DÍA
Guides higher learning and magic,"Guides higher learning and magic – If vacant, -4 economy",Guía el aprendizaje superior y la magia
"– If vacant,","Guides higher learning and magic – If vacant, -4 economy","- Si vacante, "
economy,"Guides higher learning and magic – If vacant, -4 economy",economía
Damage resistance,Damage resistance  10 / psionic,Reducción de daño
10 / psionic,Damage resistance  10 / psionic,10 / psiónico
Greater Penetrating Strike,Greater Penetrating Strike    Ignore damage reduction up to 10/—,Golpe perforante Mejorado
Ignore damage reduction up to,Greater Penetrating Strike    Ignore damage reduction up to 10/—,Ignora reducción de daño hasta
MIGHTY,MIGHTY RAGE!,FURIA
RAGE!,MIGHTY RAGE!,PODEROSA!
Double Slice,Double Slice    No damage penalty,Doble tajo
No damage penalty,Double Slice    No damage penalty,Sin penal. al daño
Physical Resistance,Physical Resistance -2,Resistencia Física
RAGE,Alcoholic drinks allow you to maintain RAGE for this round |without counting against your rounds per day.,FURIA
CMB,"This bonus can be applied to each manoeuvre only twice, once|to CMB and once to CMD.",BMC
CMD,"This bonus can be applied to each manoeuvre only twice, once|to CMB and once to CMD.",BMC
CURRENT,CURRENT|FEATS,ACTUAL
FEATS,CURRENT|FEATS,DOTES
STUNNING FIST,STUNNING FIST|PER DAY,PUÑETAZO ATURDIDOR
PER DAY,STUNNING FIST|PER DAY,AL DÍA
ARMOUR,ARMOUR BONUS,ARMADURA
BONUS,ARMOUR BONUS,BONUS
Resist Nature’s Lure,Resist Nature’s Lure|+4 to saves against the fey and plants,Resistir la atracción de la Naturaleza
+4 to saves against the fey and plants,Resist Nature’s Lure|+4 to saves against the fey and plants,+4 a salvaciones contra fatas y plantas
TOTAL HIT DICE,MAX CONTROL UNDEAD|TOTAL HIT DICE,DADOS DE GOLPE TOTALES
OR,SPELLBANE OR CURSEBREAKER|PER DAY,O
PER DAY,SPELLBANE OR CURSEBREAKER|PER DAY,AL DÍA
Cost:,Cost: 1 pt,Coste:
1 pt,Cost: 1 pt,1 pt
ARMOUR CHECK|PENALTY,ARMOUR CHECK|PENALTY REDUCTION,REDUCCIÓN|PENALIZACIÓN
REDUCTION,ARMOUR CHECK|PENALTY REDUCTION,USO ARMADURA
RANGED ATTACK,RANGED ATTACK|BONUS,BONUS ATAQUE
BONUS,RANGED ATTACK|BONUS,A DISTANCIA
AC,+2 shield bonus to AC and CMD while stationary,CA
and,+2 shield bonus to AC and CMD while stationary,y
CMD,+2 shield bonus to AC and CMD while stationary,BMC
