"File","Count","Complete","Completeness %"
"Character Info","62","33","53"
"Barbarian - Character Info","64","33","52"
"Ranger - Character Info","66","33","50"
"Animal Companion","63","42","67"
"Wild Shape","29","22","76"
"Combat","50","36","72"
"Barbarian - Combat","49","34","69"
"Monk - Combat","57","35","61"
"Ranger - Combat","50","35","70"
"Paladin","20","18","90"
"Ranger - Archery","37","18","49"
"Ranger - Two-weapon fighting","39","18","46"
"Ranger","21","18","86"
"Rogue","19","8","42"
"Wizard","11","6","55"
"Bard","57","55","96"
"Cleric","33","12","36"
"Sorcerer","9","9","100"
"Druid (Animal Companion)","34","10","29"
"Druid (Domain)","36","12","33"
"Fighter","154","2","1"
"Barbarian","27","9","33"
"Monk","180","5","3"
"Inventory without","49","12","24"
"Inventory","43","12","28"
"Party Funds","23","4","17"
