"Frame number","Original","Translation","Count","Part of","File count","Files"
"1","INVENTORY","","5","","4","""Character Info - Simple"", ""Character Info - simple"", ""Inventory without"", ""Inventory"""
"2","ABILITIES","","9","","6","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Wild Shape"""
"3","Value","","10","","5","""Character Info - Simple"", ""Character Info - simple"", ""Inventory without"", ""Inventory"", ""Party Funds"""
"4","Weight","","19","","8","""Character Info - Simple"", ""Combat - Simple"", ""Animal Companion"", ""Character Info - simple"", ""Combat - simple"", ""Inventory without"", ""Inventory"", ""Party Funds"""
"5","CHA","","68","","10","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Bard"", ""Character Info - simple"", ""Cleric"", ""Paladin"", ""Ranger"", ""Sorcerer"""
"8","WIS","","60","","11","""Character Info - Simple"", ""Character Info"", ""Monk"", ""Blank Character Info"", ""Combat - Simple"", ""Combat"", ""Animal Companion"", ""Character Info - simple"", ""Cleric"", ""Combat - simple"", ""Druid"""
"11","INT","","60","","7","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Bard"", ""Character Info - simple"", ""Wizard"""
"14","DEX","","101","","9","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Combat - Simple"", ""Combat"", ""Animal Companion"", ""Character Info - simple"", ""Combat - simple"", ""Wild Shape"""
"17","CON","","37","","9","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Combat - Simple"", ""Combat"", ""Animal Companion"", ""Character Info - simple"", ""Combat - simple"", ""Wild Shape"""
"20","STR","","51","","10","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Combat - Simple"", ""Combat"", ""Animal Companion"", ""Character Info - simple"", ""Combat - simple"", ""Monk"", ""Wild Shape"""
"23","Temp|Modifier","","6","","4","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Character Info - simple"""
"24","Temp|Bonus","","8","","6","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Wild Shape"""
"25","Item|Bonus","","9","","6","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Wild Shape"""
"26","Ability|Modifier","","9","","6","""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Wild Shape"""
