"Original","Part of","Count","File","Volume","Game","Level"
"Size|Modifier","","6","Animal Companion","","Pathfinder","1"
"Dodge|Modifier","","1","Animal Companion","","Pathfinder","1"
"BAB","","1","Animal Companion","","Pathfinder","1"
"Base|Attack Bonus","","1","Animal Companion","","Pathfinder","1"
"Deflection|Modifier","","2","Animal Companion","","Pathfinder","1"
"Misc","","10","Animal Companion","","Pathfinder","1"
"Morale|Bonus","","2","Animal Companion","","Pathfinder","1"
"CMD","","2","Animal Companion","","Pathfinder","1"
"COMBAT MANOEUVRE","COMBAT MANOEUVRE|DEFENCE","1","Animal Companion","","Pathfinder","1"
"DEFENCE","COMBAT MANOEUVRE|DEFENCE","1","Animal Companion","","Pathfinder","1"
"CMB","","2","Animal Companion","","Pathfinder","1"
"COMBAT MANOEUVRES","","1","Animal Companion","","Pathfinder","1"
"DEX","","16","Animal Companion","","Pathfinder","1"
"STR","","8","Animal Companion","","Pathfinder","1"
"Base|Attack","","3","Animal Companion","","Pathfinder","1"
"COMBAT MANOEUVRE","COMBAT MANOEUVRE|BONUS","1","Animal Companion","","Pathfinder","1"
"BONUS","COMBAT MANOEUVRE|BONUS","1","Animal Companion","","Pathfinder","1"
"Ammo","","1","Animal Companion","","Pathfinder","1"
"ATTACKS","","2","Animal Companion","","Pathfinder","1"
"Damage","","7","Animal Companion","","Pathfinder","1"
"Critical","","7","Animal Companion","","Pathfinder","1"
"sq","","13","Animal Companion","","Pathfinder","1"
"ft","","14","Animal Companion","","Pathfinder","1"
"Range","","7","Animal Companion","","Pathfinder","1"
"Attack Bonus","","7","Animal Companion","","Pathfinder","1"
"COMBAT","","1","Animal Companion","","Pathfinder","1"
"Temp Damage","","2","Animal Companion","","Pathfinder","1"
"Temp Attack","","2","Animal Companion","","Pathfinder","1"
"INIT","","2","Animal Companion","","Pathfinder","1"
"INITIATIVE","INITIATIVE BONUS","2","Animal Companion","","Pathfinder","1"
"BONUS","INITIATIVE BONUS","2","Animal Companion","","Pathfinder","1"
"BASE ATTACK","","3","Animal Companion","","Pathfinder","1"
"Temp Speed","","1","Animal Companion","","Pathfinder","1"
"Climb Speed","","1","Animal Companion","","Pathfinder","1"
"Burrow Speed","","1","Animal Companion","","Pathfinder","1"
"Fly Speed","","1","Animal Companion","","Pathfinder","1"
"Swim Speed","","1","Animal Companion","","Pathfinder","1"
