"Frame number","Original","Translation","Count","Part of","File count","Files"
"0","d00","","1","","1",""""""
"2","FEATS & SPECIAL ABILITIES","","5","","4","""Character Info"", ""Animal Companion"", ""Barbarian - Character Info"", ""Ranger - Character Info"""
"3","LANGUAGES","","4","","3","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"""
"4","SKILLS","","10","","9","""Character Info"", ""Animal Companion"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Cavalier"", ""Inquisitor"", ""Eidolon"", ""Ronin"", ""Samurai"""
"5","CHARACTER","","4","","3","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"""
"6","ABILITIES","","10","","9","""Character Info"", ""Animal Companion"", ""Barbarian - Character Info"", ""Wild Shape"", ""Ranger - Character Info"", ""Cavalier"", ""Eidolon"", ""Samurai"", ""Lycanthrope"""
"7","MALE","","7","","6","""Character Info"", ""Animal Companion"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"", ""Character Background - Extra"""
"8","FEMALE","","7","","6","""Character Info"", ""Animal Companion"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"", ""Character Background - Extra"""
"9","Size|Modifier","","46","","12","""Character Info"", ""Combat"", ""Eidolon"", ""Lycanthrope"", ""Animal Companion"", ""Barbarian - Character Info"", ""Barbarian - Combat"", ""Wild Shape"", ""Monk - Combat"", ""Ranger - Character Info"", ""Ranger - Combat"", ""Eidolon - Combat"""
"10","Size","","5","","4","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"""
"11","Race","","5","","4","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Character Background - Extra"""
"12","Name","","20","","16","""Character Info"", ""Paladin"", ""Ronin"", ""Samurai"", ""Character Background - Extra"", ""Mini (Large)"", ""Mini (Medium)"", ""Mini (Small)"", ""Barbarian - Character Info"", ""Ranger - Archery"", ""Ranger - Character Info"", ""Ranger - Two-weapon fighting"", ""Ranger"", ""Cavalier"", ""Witch"", ""Eidolon"""
"13","rks","","4","","3","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"""
"14","hp","","26","","9","""Character Info"", ""Combat"", ""Animal Companion"", ""Barbarian - Character Info"", ""Barbarian - Combat"", ""Monk - Combat"", ""Ranger - Character Info"", ""Ranger - Combat"", ""Eidolon - Combat"""
"16","SURVIVAL","","6","","5","""Character Info"", ""Animal Companion"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"""
"17","Class|Skills","","5","Class|Skills|+3","4","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"""
"18","Track","","10","","9","""Character Info"", ""Animal Companion"", ""Barbarian - Character Info"", ""Ranger - Archery"", ""Ranger - Character Info"", ""Ranger - Two-weapon fighting"", ""Ranger"", ""Inquisitor"", ""Eidolon"""
"29","INT","","88","","16","""Character Info"", ""Animal Companion"", ""Feats"", ""Lycanthrope"", ""Mini (Large)"", ""Mini (Medium)"", ""Mini (Small)"", ""Spell Book (Large)"", ""Rogue"", ""Wizard"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Alchemist"", ""Witch"", ""Eidolon"", ""Magus"""
"35","CHA","","84","","25","""Character Info"", ""Animal Companion"", ""Ranger - Character Info"", ""Ranger - Two-weapon fighting"", ""Ranger"", ""Alchemist"", ""Oracle"", ""Eidolon"", ""Summoner"", ""Ninja"", ""Character Background - Extra"", ""Feats"", ""Bard"", ""Lycanthrope"", ""Mini (Large)"", ""Mini (Medium)"", ""Mini (Small)"", ""Spell Book (Large)"", ""Cleric"", ""Paladin"", ""Sorcerer"", ""Barbarian - Character Info"", ""Druid (Animal Companion)"", ""Druid (Domain)"", ""Ranger - Archery"""
"36","Use Magical Device","","5","","4","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"""
"37","STR","","77","","20","""Character Info"", ""Combat"", ""Ranger - Character Info"", ""Ranger - Combat"", ""Alchemist"", ""Eidolon - Combat"", ""Eidolon"", ""Feats"", ""Lycanthrope"", ""Mini (Large)"", ""Mini (Medium)"", ""Mini (Small)"", ""Animal Companion"", ""Fighter (Ranged)"", ""Fighter"", ""Barbarian - Character Info"", ""Barbarian - Combat"", ""Barbarian"", ""Wild Shape"", ""Monk - Combat"""
"38","Swim","","6","","5","""Character Info"", ""Animal Companion"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"""
"39","WIS","","87","","26","""Character Info"", ""Combat"", ""Ranger - Archery"", ""Ranger - Character Info"", ""Ranger - Combat"", ""Ranger - Two-weapon fighting"", ""Ranger"", ""Alchemist"", ""Inquisitor"", ""Eidolon - Combat"", ""Eidolon"", ""Gunslinger"", ""Animal Companion"", ""Feats"", ""Lycanthrope"", ""Mini (Large)"", ""Mini (Medium)"", ""Mini (Small)"", ""Spell Book (Large)"", ""Cleric"", ""Barbarian - Character Info"", ""Barbarian - Combat"", ""Druid (Animal Companion)"", ""Druid (Domain)"", ""Monk - Combat"", ""Monk"""
"40","Knowledge: The Planes","","5","","4","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"""
"41","Knowledge: Nature","","5","","4","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"""
"42","Knowledge: Religion","","5","","4","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"""
"43","Knowledge: Dungeoneering","","5","","4","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"""
"44","Knowledge: Arcana","","5","","4","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"""
"45","Survival","","6","","5","""Character Info"", ""Animal Companion"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"""
"46","DEX","","126","","21","""Character Info"", ""Combat"", ""Ranger - Character Info"", ""Ranger - Combat"", ""Alchemist"", ""Eidolon - Combat"", ""Eidolon"", ""Gunslinger"", ""Feats"", ""Lycanthrope"", ""Mini (Large)"", ""Mini (Medium)"", ""Animal Companion"", ""Mini (Small)"", ""Fighter (Ranged)"", ""Fighter"", ""Barbarian - Character Info"", ""Barbarian - Combat"", ""Barbarian"", ""Wild Shape"", ""Monk - Combat"""
"47","Stealth","","6","","5","""Character Info"", ""Animal Companion"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"""
"50","Spellcraft","","5","","4","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"""
"52","Sleight of Hand","","5","","4","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"""
