"Frame number","Original","Translation","Count","Part of","Files","File count"
"1","FRIENDS AND FOES","","2","","""Character Background - Extra"", ""Character Background""","2"
"2","AFFILIATIONS","","2","","""Character Background - Extra"", ""Character Background""","2"
"3","ORIGINS","","2","","""Character Background - Extra"", ""Character Background""","2"
"4","PERSONALITY","","2","","""Character Background - Extra"", ""Character Background""","2"
"5","APPEARANCE","","2","","""Character Background - Extra"", ""Character Background""","2"
"6","PORTRAIT","","2","","""Character Background - Extra"", ""Character Background""","2"
"7","HOSTILE","","5","","""Character Background - Extra"", ""Character Background""","2"
"8","FRIENDLY","","5","","""Character Background - Extra"", ""Character Background""","2"
"9","EVIL","","6","","""Character Background - Extra"", ""Character Background""","2"
"10","GOOD","","6","","""Character Background - Extra"", ""Character Background""","2"
"11","CHAOTIC","","6","","""Character Background - Extra"", ""Character Background""","2"
"12","LAWFUL","","6","","""Character Background - Extra"", ""Character Background""","2"
"13","Gifts","","1","","""Character Background - Extra""","1"
"14","Events","","1","","""Character Background - Extra""","1"
"15","Insults","","1","","""Character Background - Extra""","1"
"16","Bonus","","2","","""Character Background - Extra"", ""Feats""","2"
"17","Background","","1","","""Character Background - Extra""","1"
"18","CHA","","8","","""Character Background - Extra"", ""Feats"", ""Lycanthrope"", ""Spell Book (Large)""","4"
"19","RIVAL","","1","","""Character Background - Extra""","1"
"20","FRIEND","","1","","""Character Background - Extra""","1"
"21","Affiliation","","4","","""Character Background - Extra"", ""Character Background""","2"
"22","Current Country","","2","","""Character Background - Extra"", ""Character Background""","2"
"23","/  Town","","4","","""Character Background - Extra"", ""Character Background""","2"
"24","/  Region","","4","","""Character Background - Extra"", ""Character Background""","2"
"25","Country","","2","","""Character Background - Extra"", ""Character Background""","2"
"26","Parents","","2","","""Character Background - Extra"", ""Character Background""","2"
"27","Employer","","2","","""Character Background - Extra"", ""Character Background""","2"
"28","Religion","","2","","""Character Background - Extra"", ""Character Background""","2"
"29","CHARACTER|BACKGROUND","","2","","""Character Background - Extra"", ""Character Background""","2"
"30","MALE","","2","","""Character Background - Extra"", ""Character Background""","2"
"31","FEMALE","","2","","""Character Background - Extra"", ""Character Background""","2"
"32","Race","","2","","""Character Background - Extra"", ""Character Background""","2"
"33","Hair","","2","","""Character Background - Extra"", ""Character Background""","2"
