"Frame number","Original","Translation","Count","Part of","Files","File count"
"1","TOME OF SECRETS","","4","","""Artificer"", ""Priest"", ""Shaman"", ""Witch Hunter""","4"
"2","Salvage Value","","1","","""Artificer""","1"
"3","SALVAGE","","1","","""Artificer""","1"
"4","Forge Ring","","1","","""Artificer""","1"
"5","Craft Staff","","1","","""Artificer""","1"
"6","Craft Rod","","1","","""Artificer""","1"
"7","Craft Wand","","1","","""Artificer""","1"
"8","Craft Magic Arms and Armour","","1","","""Artificer""","1"
"9","Craft Wondrous Item","","1","","""Artificer""","1"
"10","Brew Potion","","1","","""Artificer""","1"
"11","Weird Science","","1","","""Artificer""","1"
"12","Scribe Scroll","","1","","""Artificer""","1"
"13","Exemplar","","1","","""Artificer""","1"
"14","Bonus Feat","","5","","""Artificer""","1"
"15","Widen Spell","","1","Widen Spell  +3","""Artificer""","1"
"16","Still Spell","","1","Still Spell  +1","""Artificer""","1"
"17","Skill Focus","","1","","""Artificer""","1"
"18","Silent Spell","","1","Silent Spell  +1","""Artificer""","1"
"19","Quicken Spell","","1","Quicken Spell  +4","""Artificer""","1"
"20","Maximise Spell","","1","Maximise Spell  +3","""Artificer""","1"
"21","Magical Aptitude","","1","","""Artificer""","1"
"22","Heighten Spell","","1","","""Artificer""","1"
"23","Extend Spell","","1","Extend Spell  +1","""Artificer""","1"
"24","Enlarge Spell","","1","Enlarge Spell  +1","""Artificer""","1"
"25","Empower Spell","","1","Empower Spell  +2","""Artificer""","1"
"26","Improved Jack of All Trades","","1","","""Artificer""","1"
"27","Improved Metamagic Science","","1","","""Artificer""","1"
"28","Metamagic Science","","1","","""Artificer""","1"
"29","Salvage","","1","","""Artificer""","1"
"30","Crafting|Abilities","","1","","""Artificer""","1"
"31","Elbow|Grease","","1","","""Artificer""","1"
"32","Jack of All Trades","","1","","""Artificer""","1"
"33","Item Creation","","1","","""Artificer""","1"
"34","Artificer|Level","","3","","""Artificer""","1"
"35","Artifier|Level","","1","","""Artificer""","1"
"36","CRAFT","","1","","""Artificer""","1"
"37","USE MAGICAL DEVICE","","1","","""Artificer""","1"
"38","INVENTION USES","","1","INVENTION USES |PER DAY","""Artificer""","1"
"38","PER DAY","","1","INVENTION USES |PER DAY","""Artificer""","1"
"39","(Round up)","","2","","""Artificer"", ""Priest""","2"
"40","CHARGES","","2","","""Artificer""","1"
"41","WANDS","","2","","""Artificer""","1"
"42","POTIONS","","2","","""Artificer""","1"
"43","SCROLLS","","2","","""Artificer""","1"
"44","MAGIC ITEMS","","1","","""Artificer""","1"
"45","MATERIALS","","1","","""Artificer""","1"
"46","ARTIFICER KNOWLEDGE","","1","","""Artificer""","1"
"47","CRAFT RESERVE","","1","","""Artificer""","1"
"48","CRAFT MAGIC ITEM","","1","","""Artificer""","1"
"49","INVENTIONS","","1","","""Artificer""","1"
"50","INFUSIONS","","1","","""Artificer""","1"
"51","BONUS FEATS","","3","","""Artificer"", ""Shaman"", ""Witch Hunter""","3"
"52","ARTIFICER","","2","","""Artificer""","1"
"53","KNOWN INFUSIONS","","1","","""Artificer""","1"
"54","WIS","","7","","""Artificer"", ""Priest"", ""Witch Hunter""","3"
"55","ARTIFICER KNOWLEDGE","","1","ARTIFICER KNOWLEDGE|BONUS","""Artificer""","1"
"55","BONUS","","1","ARTIFICER KNOWLEDGE|BONUS","""Artificer""","1"
"56","Metamagic feats apply a spell level increase","","1","","""Artificer""","1"
"57","Select a bonus feat from this list at 3rd, 8th, 12th, 16th and 19th levels:","","1","","""Artificer""","1"
"58","DC","","5","DC 25","""Artificer"", ""Shaman"", ""Witch Hunter""","3"
"59","plus the number of effects","","1","","""Artificer""","1"
"60","To use several magical effects at once","","1","","""Artificer""","1"
"61","When deconstructing a wand with some spent charges, the value|recovered is an equivalent fraction of the cost of the wand.","","1","","""Artificer""","1"
"62","Salvaging a magical item takes one day, and recovers the a value|equal to the cost of the materials that can be used to craft other|items. It cannot be spent.","","1","","""Artificer""","1"
"63","DC","","11","DC 20","""Artificer"", ""Shaman"", ""Witch Hunter""","3"
"64","plus 3× modified caster level","","1","","""Artificer""","1"
"65","To create magical item with metamagic","","1","","""Artificer""","1"
"66","plus required caster level","","1","","""Artificer""","1"
"67","To create a magical item","","1","","""Artificer""","1"
"68","rising 1 each time it’s used","","1","","""Artificer""","1"
"69","To use an invention when its uses are spent","","1","","""Artificer""","1"
"70","DC","","11","DC 15","""Artificer"", ""Shaman"", ""Witch Hunter""","3"
"71","To use an invention crafted by someone else","","1","","""Artificer""","1"
"72","Bonus|Inventions|INT","","1","","""Artificer""","1"
"73","Base|Inventions","","1","","""Artificer""","1"
"74","Inventions|per day","","1","","""Artificer""","1"
"75","Level","","4","","""Artificer"", ""Witch Hunter""","2"
"76","Invention|Save DC","","1","","""Artificer""","1"
"77","=  4 hours per spell level","","1","","""Artificer""","1"
"78","=  10 + INT + Spell Level","","1","","""Artificer""","1"
"79","Invention time","","1","","""Artificer""","1"
"80","Invention Save DC","","1","","""Artificer""","1"
"81","Bonus|Infusions|INT","","1","","""Artificer""","1"
"82","Base|Infusions","","1","","""Artificer""","1"
"83","Infusions|per day","","1","","""Artificer""","1"
"84","Infusion|Save DC","","1","","""Artificer""","1"
"85","Craft Reserve points can be spent in place of XP|when crafting magic items.|Point are completely replenished each level;|unspent points are lost.","","1","","""Artificer""","1"
"86","Learnimg a new infusion requires a Spellcraft check|with DC 20 + Spell Level","","1","","""Artificer""","1"
"87","Spell Save DC = 10 + INT + Spell Level","","1","","""Artificer""","1"
"88","CRAFT RESERVE","","1","CRAFT RESERVE POINTS","""Artificer""","1"
"88","POINTS","","1","CRAFT RESERVE POINTS","""Artificer""","1"
