"Frame number","Original","Translation","Count","Part of","File count","Files"
"1","FEATS & SPECIAL ABILITIES","","53","","5","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Psionics - Character Info"", ""Character Info"""
"2","LANGUAGES","","78","","11","""Character Info"", ""Barbarian - Character Info"", ""Character Info - simple"", ""Psionic Character Info"", ""Ranger - Character Info"", ""NPC Group"", ""Party"", ""Psionics - Character Info"", ""Character Info - Simple"", ""Character Info"", ""Blank Character Info"""
"3","SKILLS","","1710","","23","""Character Info"", ""Animal Companion"", ""Blank Character Info"", ""Animal Companion"", ""NPC"", ""Character Info - simple"", ""Psicrystal"", ""Psionic Character Info"", ""Party"", ""Kingdom Info"", ""Psionics - Character Info"", ""Shaman"", ""Cavalier"", ""Witch Hunter"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Inquisitor"", ""Eidolon"", ""Ronin"", ""Samurai"", ""NPC Group"", ""Character Info - Simple"", ""Character Info"""
"4","CHARACTER","","58","","9","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Psionics - Character Info"", ""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Character Info - simple"", ""Psionic Character Info"""
"5","ABILITIES","","1312","","21","""Character Info"", ""Animal Companion"", ""Psicrystal"", ""Psionic Character Info"", ""Psionics - Character Info"", ""Shadowcaster"", ""Panther Warrior"", ""Barbarian - Character Info"", ""Wild Shape"", ""Ranger - Character Info"", ""Cavalier"", ""Eidolon"", ""Lycanthrope"", ""Samurai"", ""NPC"", ""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Wild Shape"""
"6","MALE","","1110","","16","""Character Info"", ""Animal Companion"", ""Eidolon"", ""Character Background - Extra"", ""Character Background"", ""NPC"", ""Psionics - Character Info"", ""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Character Background"", ""Psionic Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"""
"7","FEMALE","","1110","","16","""Character Info"", ""Animal Companion"", ""Eidolon"", ""Character Background - Extra"", ""Character Background"", ""NPC"", ""Psionics - Character Info"", ""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Character Background"", ""Psionic Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"""
"8","Size|Modifier","","6121","","28","""Character Info"", ""Combat"", ""Psionic Character Info"", ""Psionic Combat"", ""Eidolon"", ""Blank Character Info"", ""Combat - Simple"", ""Combat"", ""Animal Companion"", ""Character Info - simple"", ""Combat - simple"", ""Wild Shape"", ""Barbarian - Combat"", ""Psicrystal"", ""Lycanthrope"", ""Monk - Combat (without Flurry of Blows)"", ""NPC"", ""Psionics - Character Info"", ""Panther Warrior"", ""Animal Companion"", ""Barbarian - Character Info"", ""Wild Shape"", ""Monk - Combat"", ""Ranger - Character Info"", ""Ranger - Combat"", ""Eidolon - Combat"", ""Character Info - Simple"", ""Character Info"""
"9","Size","","910","","13","""Character Info"", ""Barbarian - Character Info"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Wild Shape"", ""Psionic Character Info"", ""Ranger - Character Info"", ""Eidolon"", ""Kingdom Info"", ""Psionics - Character Info"", ""Character Info - Simple"""
"10","Race","","89","","13","""Character Info"", ""Barbarian - Character Info"", ""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Character Info - simple"", ""Character Background"", ""Psionic Character Info"", ""Ranger - Character Info"", ""Character Background - Extra"", ""Character Background"", ""NPC"", ""Psionics - Character Info"""
"11","Name","","4315","","54","""Character Info"", ""Paladin"", ""Falconer"", ""Horse Lord"", ""Ronin"", ""Infiltrator"", ""Shapeshifter"", ""Skirmisher"", ""Ranger - Archery"", ""Trapper"", ""Urban Ranger"", ""Party"", ""Oath against the Wyrm"", ""Cryptic"", ""Psionics - Character Info"", ""Psychic Warrior"", ""Samurai"", ""Wilder"", ""High Guard"", ""Imperial Man-at-arms"", ""Khalid Asad"", ""Ranger - Character Info"", ""Protectorate Artillerist"", ""Oath against Undeath"", ""Wyrdcaster"", ""Ranger - Two-weapon fighting"", ""Ranger"", ""Cavalier"", ""Character Background - Extra"", ""Witch"", ""Eidolon"", ""Character Info - Simple"", ""Character Info"", ""Psychic Warrior"", ""Barbarian - Character Info"", ""Wilder"", ""Blank Character Info"", ""Character Info - simple"", ""Paladin"", ""Character Background"", ""Character Background"", ""Extended Paladin"", ""Hexblade"", ""Psion"", ""Psionic Character Info"", ""Oath of Chastity"", ""Antipaladin"", ""Oath against Corruption"", ""Oath against Fiends"", ""Oath against Savagery"", ""Oath of Loyalty"", ""Oath of Vengeance"", ""Oathbound Paladin"", ""Deep Walker"""
"12","rks","","5","","4","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Psionics - Character Info"""
"13","hp","","3833","","26","""Character Info"", ""Combat"", ""Animal Companion"", ""Combat - simple"", ""Monk - Combat (without Flurry of Blows)"", ""Monk"", ""Paladin"", ""Dragon Shaman"", ""Dread Necromancer"", ""Extended Paladin"", ""Death Master"", ""Horse Lord"", ""Ranger - Character Info"", ""NPC"", ""Psionics - Character Info"", ""Animal Companion"", ""Barbarian - Character Info"", ""Barbarian - Combat"", ""Monk - Combat"", ""Ranger - Combat"", ""Eidolon - Combat"", ""Savage Skald"", ""Combat - Simple"", ""Combat"", ""Psicrystal"", ""Psionic Combat"""
"14","SURVIVAL","","88","","13","""Character Info"", ""Animal Companion"", ""Character Info - Simple"", ""Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Psicrystal"", ""Psionic Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"", ""Kingdom Info"", ""Psionics - Character Info"""
"15","Class|Skills","","7","Class|Skills|+3","6","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"", ""Kingdom Info"", ""Psionics - Character Info"""
"16","Trained","","88","","13","""Character Info"", ""Animal Companion"", ""Character Info - Simple"", ""Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Psicrystal"", ""Psionic Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"", ""Kingdom Info"", ""Psionics - Character Info"""
"17","Track","","328","","37","""Character Info"", ""Animal Companion"", ""Psionics - Character Info"", ""High Guard"", ""Beast Master"", ""Imperial Man-at-arms"", ""Khalid Asad"", ""Protectorate Artillerist"", ""Ranger - Archery"", ""Wyrdcaster"", ""Ranger - Character Info"", ""Ranger - Two-weapon fighting"", ""Spirit Ranger"", ""Ranger"", ""Inquisitor"", ""Eidolon"", ""Deep Walker"", ""Battle Scout"", ""Character Info - Simple"", ""Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Psicrystal"", ""Trapper"", ""Psionic Character Info"", ""Falconer"", ""Guide"", ""Horse Lord"", ""Infiltrator"", ""Shapeshifter"", ""Skirmisher"", ""Barbarian - Character Info"", ""Trophy Hunter"", ""Urban Ranger"", ""Warden"", ""Wild Stalker"", ""Kingdom Info"""
"18","INT","","125100","","43","""Character Info"", ""Animal Companion"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Ninja"", ""Alchemist"", ""Witch"", ""Eidolon"", ""Magus"", ""Character Info - Simple"", ""Character Info"", ""Warmage"", ""Cryptic"", ""Wu Jen"", ""Focused Specialist Wizard"", ""Sorcerer + Metamagic"", ""Feats"", ""Savant"", ""Lurk"", ""Psicrystal"", ""Psion"", ""Psionic Character Info"", ""Blank Character Info"", ""Psion (old)"", ""Animal Companion"", ""Bard"", ""Character Info - simple"", ""Wizard"", ""Lycanthrope"", ""Beguiler"", ""Duskblade"", ""Factotum"", ""Spell Book (Large)"", ""Scout"", ""Rogue"", ""NPC"", ""Kingdom Info"", ""Aegis"", ""Psion"", ""Psionics - Character Info"", ""Apothecary"", ""Protectorate Artillerist"", ""Wizard"""
"19","CHA","","275142","","116","""Character Info"", ""Animal Companion"", ""Binder"", ""Extended Cleric"", ""Extended Paladin"", ""Factotum"", ""Hexblade"", ""Shugenja"", ""Ninja"", ""Spellthief"", ""Spirit Shaman"", ""Sorcerer + Metamagic"", ""Blank Character Info"", ""Crusader"", ""Battle Dancer"", ""Death Master"", ""Jester"", ""Mountebank"", ""Sha'ir"", ""Urban Druid"", ""Truenamer"", ""Feats"", ""Bard"", ""Character Info - simple"", ""Cleric"", ""Paladin"", ""Ranger"", ""Sorcerer"", ""Character Background - Extra"", ""Bard"", ""Lycanthrope"", ""Spell Book (Large)"", ""Animal Speaker"", ""Arcane Duelist"", ""Archaeologist"", ""Archivist"", ""Celebrity"", ""Ranger - Character Info"", ""Court Bard"", ""Soulborn"", ""Daredevil"", ""Demagogue"", ""Cleric"", ""Dervish Dancer"", ""Detective"", ""Dirge Bard"", ""Geisha"", ""Magician"", ""Sandman"", ""Ranger - Two-weapon fighting"", ""Divine Mind"", ""Savage Skald"", ""Sea Singer"", ""Songhealer"", ""Sound Striker"", ""Paladin"", ""Street Performer"", ""Blight Druid (Domain)"", ""Blight Druid (Familiar)"", ""Antipaladin"", ""Oath against Corruption"", ""Psicrystal"", ""Ranger"", ""Oath against Fiends"", ""Oath against Savagery"", ""Oath against the Wyrm"", ""Oath against Undeath"", ""Oath of Charity"", ""Sorcerer"", ""Oath of Chastity"", ""Oath of Loyalty"", ""Oath of Vengeance"", ""Psionic Character Info"", ""Oathbound Paladin"", ""Alchemist"", ""Battle Scout"", ""Beast Master"", ""Deep Walker"", ""Guide"", ""Horse Lord"", ""Infiltrator"", ""Barbarian - Character Info"", ""Shapeshifter"", ""Animal Companion"", ""Skirmisher"", ""Spirit Ranger"", ""Oracle"", ""Trapper"", ""Urban Ranger"", ""Warden"", ""Wild Stalker"", ""Crossblooded Sorcerer"", ""NPC"", ""Kingdom Info"", ""Wilder"", ""Druid (Animal Companion)"", ""Cryptic"", ""Psionics - Character Info"", ""Eidolon"", ""Wilder"", ""Priest"", ""Shaman"", ""Witch Hunter"", ""High Guard"", ""Imperial Man-at-arms"", ""Anima Mage"", ""Khalid Asad"", ""Protectorate Artillerist"", ""Druid (Domain)"", ""Wyrdcaster"", ""Summoner"", ""Ranger - Archery"", ""Character Info - Simple"", ""Character Info"", ""Dragon Shaman"", ""Dread Necromancer"""
"20","Use Magical Device","","10","","9","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"", ""NPC Group"", ""NPC"", ""Party"", ""Kingdom Info"", ""Psionics - Character Info"""
"21","STR","","13167","","56","""Character Info"", ""Combat"", ""Scarred Rager"", ""Sea Reaver"", ""Ranger - Combat"", ""Superstitious Barbarian"", ""Titan Mauler"", ""True Primitive"", ""Fighter"", ""Urban Barbarian"", ""Wild Rager"", ""Monk - Combat (without Flurry of Blows)"", ""Brutal Pugilist"", ""Wild Stalker"", ""NPC"", ""Kingdom Info"", ""Alchemist"", ""Psionics - Character Info"", ""Soulknife"", ""Fist of the Dragon"", ""Panther Warrior"", ""Barbarian - Character Info"", ""Barbarian - Combat"", ""Drunken Brute"", ""Barbarian"", ""Wild Shape"", ""Monk - Combat"", ""Ranger - Character Info"", ""Eidolon - Combat"", ""Character Info - Simple"", ""Character Info"", ""Factotum"", ""Psicrystal"", ""Psionic Character Info"", ""Animal Companion"", ""Psionic Combat"", ""Soulknife v2"", ""Soulknife"", ""Blank Character Info"", ""Combat - Simple"", ""Eidolon"", ""Combat"", ""Animal Companion"", ""Character Info - simple"", ""Combat - simple"", ""Elemental Kin"", ""Monk"", ""Wild Shape"", ""Feats"", ""Lycanthrope"", ""Armoured Hulk"", ""Breaker"", ""Hurler"", ""Invulnerable Rager"", ""Mounted Fury"", ""Savage Barbarian"""
"22","Swim","","129","","17","""Character Info"", ""Animal Companion"", ""Ranger - Character Info"", ""Eidolon"", ""NPC Group"", ""NPC"", ""Party"", ""Kingdom Info"", ""Psionics - Character Info"", ""Character Info - Simple"", ""Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Savant"", ""Psicrystal"", ""Psionic Character Info"", ""Barbarian - Character Info"""
