"Frame number","Original","Translation","Count","Part of","Files","File count"
"1","ft","","294","","Alchemist, Cavalier, Eidolon - Combat, Armoured Hulk, Hurler, Mounted Fury, Titan Mauler, Dervish Dancer, Animal Companion, Cleric, Combat, Inventory 2, Inventory, Barbarian - Combat, Wild Shape, Monk - Combat, Ranger - Combat, Lycanthrope, Spell Book - Extra, NPC, Psionics - Inventory, Soulknife, Shaman, Witch Hunter, Gunslinger, Ronin, Samurai","27"
"2","Bombs Today","","2","","Alchemist","1"
"4","Level","","1182","","Alchemist, Cavalier, Inquisitor, Witch, Armoured Hulk, Breaker, Brutal Pugilist, Elemental Kin, Invulnerable Rager, Mounted Fury, Savage Barbarian, Scarred Rager, Sea Reaver, Superstitious Barbarian, Titan Mauler, Wild Rager, Animal Speaker, Arcane Duelist, Archaologist, Archivist, Celebrity, Court Bard, Daredevil, Demagogue, Dervish Dancer, Detective, Dirge Bard, Geisha, Magician, Sandman, Savage Skald, Sea Singer, Songhealer, Sound Striker, Street Performer, Blight Druid (Domain), Oath against Corruption, Oath of Chastity, Oath of Loyalty, Oath of Vengeance, Battle Scout, Beast Master, Deep Walker, Falconer, Guide, Horse Lord, Infiltrator, Shapeshifter, Skirmisher, Spirit Ranger, Trapper, Trophy Hunter, Urban Ranger, Warden, Wild Stalker, Bard, Character Info, Cleric, Fighter, Monk, Barbarian - Character Info, Druid (Domain), Ranger - Archery, Ranger - Character Info, Ranger - Two-weapon fighting, Ranger, Extract Formulae, Feats, Spell Book (Dense), Spell Book (Large), Spell Book - Extra, Spell Book, NPC, Psionics - Character Info, Psychic Warrior, Soulknife, Wilder, Artificer, Witch Hunter, Gunslinger, Ninja, Ronin, Samurai, Magus","84"
"8","Misc","","682","","Alchemist, Cavalier, Inquisitor, Eidolon - Combat, Eidolon, Armoured Hulk, Breaker, Brutal Pugilist, Drunken Brute, Elemental Kin, Hurler, Invulnerable Rager, Mounted Fury, Savage Barbarian, Scarred Rager, Sea Reaver, Superstitious Barbarian, Titan Mauler, True Primitive, Urban Barbarian, Wild Rager, Animal Speaker, Arcane Duelist, Archaologist, Archivist, Celebrity, Court Bard, Daredevil, Demagogue, Dervish Dancer, Detective, Dirge Bard, Geisha, Magician, Sandman, Savage Skald, Sea Singer, Songhealer, Sound Striker, Street Performer, Blight Druid (Domain), Blight Druid (Familiar), Antipaladin, Oath against Corruption, Oath against Fiends, Oath against Savagery, Oath against the Wyrm, Oath against Undeath, Oath of Charity, Oath of Chastity, Oath of Loyalty, Oath of Vengeance, Oathbound Paladin, Battle Scout, Beast Master, Deep Walker, Guide, Horse Lord, Infiltrator, Shapeshifter, Skirmisher, Spirit Ranger, Trapper, Urban Ranger, Warden, Wild Stalker, Scout, Animal Companion, Bard, Character Info, Cleric, Combat, Monk, Paladin, Rogue, Barbarian - Character Info, Barbarian - Combat, Barbarian, Druid (Animal Companion), Druid (Domain), Wild Shape, Monk - Combat, Ranger - Archery, Ranger - Character Info, Ranger - Combat, Ranger - Two-weapon fighting, Ranger, Lycanthrope, NPC, Psionics - Character Info, Psychic Warrior, Soulknife, Wilder, Priest, Witch Hunter, Gunslinger, Ninja, Ronin, Samurai, Magus","100"
"9","Alchemist|Level","","12","","Alchemist","1"
"10","INT","","222","","Alchemist, Witch, Eidolon, Scout, Animal Companion, Character Info, Rogue, Wizard, Barbarian - Character Info, Ranger - Character Info, Feats, Lycanthrope, NPC, Psionics - Character Info, Ninja, Magus","16"
"12","BOMBS|PER DAY","","1","","Alchemist","1"
"12","BOMBS","","1","BOMBS|PER DAY","Alchemist","1"
"12","PER DAY","","1","BOMBS|PER DAY","Alchemist","1"
"13","Use this DC for Splash reflex saves,|Discovery fortitude saves etc.","","2","","Alchemist","1"
"19","SAVING|THROW DC","","1","","Alchemist","1"
"19","SAVING","","1","SAVING|THROW DC","Alchemist","1"
"19","THROW DC","","1","SAVING|THROW DC","Alchemist","1"
"20","(Round down)","","146","","Alchemist, Armoured Hulk, Breaker, Brutal Pugilist, Drunken Brute, Elemental Kin, Hurler, Invulnerable Rager, Mounted Fury, Savage Barbarian, Scarred Rager, Sea Reaver, Superstitious Barbarian, Titan Mauler, True Primitive, Urban Barbarian, Wild Rager, Antipaladin, Oath against Corruption, Oath against Fiends, Oath against Savagery, Oath against the Wyrm, Oath against Undeath, Oath of Charity, Oath of Chastity, Oath of Loyalty, Oath of Vengeance, Oathbound Paladin, Scout, Cleric, Fighter, Monk, Paladin, Rogue, Barbarian, Psychic Warrior, Soulknife, Wilder, Priest, Witch Hunter, Gunslinger, Ninja, Ronin, Samurai","44"
"21","Splash|radius","","2","","Alchemist","1"
"24","d6 +","","1","","Alchemist","1"
"24","d6","","1","d6 +","Alchemist","1"
"25","BASIC DAMAGE","","2","","Alchemist","1"
"40","POISON RESISTANCE FORTITUDE SAVE BONUS","","1","","Alchemist","1"
"40","POISON RESISTANCE","","1","POISON RESISTANCE FORTITUDE SAVE BONUS","Alchemist","1"
"40","FORTITUDE SAVE BONUS","","1","POISON RESISTANCE FORTITUDE SAVE BONUS","Alchemist","1"
"61","OTHER DAMAGE","","2","","Alchemist","1"
"63","SPLASH DAMAGE","","2","","Alchemist","1"
"69","DURATION","","2","","Alchemist","1"
"70","DISCOVERIES|KNOWN","","1","","Alchemist","1"
"70","DISCOVERIES","","1","DISCOVERIES|KNOWN","Alchemist","1"
"70","KNOWN","","1","DISCOVERIES|KNOWN","Alchemist","1"
"71","(Round up)","","118","","Alchemist, Cavalier, Inquisitor, Arcane Duelist, Archaologist, Archivist, Celebrity, Court Bard, Daredevil, Demagogue, Dervish Dancer, Detective, Dirge Bard, Geisha, Magician, Sandman, Sea Singer, Songhealer, Sound Striker, Street Performer, Antipaladin, Oath against Corruption, Oath against Fiends, Oath against Savagery, Oath against the Wyrm, Oath against Undeath, Oath of Charity, Oath of Chastity, Oath of Loyalty, Oath of Vengeance, Oathbound Paladin, Guide, Skirmisher, Spirit Ranger, Wild Stalker, Scout, Bard, Cleric, Paladin, Rogue, Artificer, Priest, Ninja, Ronin, Samurai, Magus","46"
"73","Immune to all poisons","","4","","Alchemist, Monk","2"
"74","Natural Armour|Bonus","","2","","Alchemist","1"
"75","CHA","","522","","Alchemist, Oracle, Eidolon, Summoner, Animal Speaker, Arcane Duelist, Archaologist, Archivist, Celebrity, Court Bard, Daredevil, Demagogue, Dervish Dancer, Detective, Dirge Bard, Geisha, Magician, Sandman, Savage Skald, Sea Singer, Songhealer, Sound Striker, Street Performer, Blight Druid (Domain), Blight Druid (Familiar), Antipaladin, Oath against Corruption, Oath against Fiends, Oath against Savagery, Oath against the Wyrm, Oath against Undeath, Oath of Charity, Oath of Chastity, Oath of Loyalty, Oath of Vengeance, Oathbound Paladin, Battle Scout, Beast Master, Deep Walker, Guide, Horse Lord, Infiltrator, Shapeshifter, Skirmisher, Spirit Ranger, Trapper, Urban Ranger, Warden, Wild Stalker, Crossblooded Sorcerer, Animal Companion, Bard, Character Info, Cleric, Paladin, Sorcerer, Barbarian - Character Info, Druid (Animal Companion), Druid (Domain), Ranger - Archery, Ranger - Character Info, Ranger - Two-weapon fighting, Ranger, Feats, Lycanthrope, NPC, Psionics - Character Info, Wilder, Priest, Shaman, Witch Hunter, Ninja","72"
