
Sunday, 13 Jan 2013 02:36:50 GMT (1): Starting script: "~/Documents/GitHub/charactersheets/Scripts/Tools.jsxinc"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "1", -
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "2", "1"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "3", "2"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "4", "3"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "5", "4"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "6", "5"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "7", "6"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "8", "7"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "9", "8"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "10", "9"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "11", "10"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "12", "11"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "13", "12"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "14", "13"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "15", "14"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "16", "15"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "17", "16"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "18", "17"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "19", "18"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "20", "19"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "21", "20"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "22", "21"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "23", "22"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "24", "23"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "25", "24"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "26", "25"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "27", "26"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "28", "27"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "29", "28"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "30", "29"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "31", "30"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "32", "31"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "33", "32"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "34", "33"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "35", "34"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "36", "35"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "37", "36"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "38", "37"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "39", "38"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "40", "39"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "41", "40"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "42", "41"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "43", "42"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "44", "43"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "45", "44"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "46", "45"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "47", "46"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "48", "47"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "49", "48"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "50", "49"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "50", "50"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "51", "50"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "51", "51"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "52", "51"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "53", "52"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "54", "53"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "55", "54"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "56", "55"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "57", "56"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "58", "57"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "59", "58"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "60", "59"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "61", "60"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "62", "61"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "63", "62"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "64", "63"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "65", "64"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "66", "65"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "67", "66"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "68", "67"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "69", "68"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "70", "69"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "71", "70"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "72", "71"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "73", "72"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "74", "73"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "75", "74"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "76", "75"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "77", "76"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "78", "77"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "79", "78"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "80", "79"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "81", "80"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "82", "81"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "83", "82"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "84", "83"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "85", "84"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "85", "85"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "86", "85"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "86", "86"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "87", "86"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "88", "87"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "89", "88"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "90", "89"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "91", "90"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "92", "91"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "92", "92"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "93", "92"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "94", "93"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "95", "94"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "96", "95"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "96", "96"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "97", "96"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "98", "97"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "99", "98"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "100", "99"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "101", "100"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "102", "101"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "103", "102"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "104", "103"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "105", "104"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "106", "105"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "107", "106"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "108", "107"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "109", "108"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "109", "109"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "110", "109"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "110", "110"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "111", "110"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "112", "111"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "113", "112"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "114", "113"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "115", "114"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "116", "115"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "117", "116"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "118", "117"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "119", "118"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "120", "119"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "121", "120"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "121", "121"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "122", "121"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "122", "122"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "123", "122"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "124", "123"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "125", "124"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "126", "125"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "127", "126"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "128", "127"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "129", "128"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "130", "129"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "130", "130"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "131", "130"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "132", "131"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "133", "132"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "134", "133"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "135", "134"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "136", "135"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "137", "136"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "138", "137"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "139", "138"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "140", "139"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "141", "140"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "141", "141"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "142", "141"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "143", "142"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "144", "143"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "144", "144"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "145", "144"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "146", "145"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "147", "146"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "148", "147"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "149", "148"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "150", "149"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "151", "150"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "152", "151"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "153", "152"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "154", "153"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "155", "154"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "155", "155"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "156", "155"
